Firm,Day,@TPP,@TPP adj,@TPP reported
Galaxy,1,54.2042,54.498320265531106,54.0
Newspoll,181,60.002399999999994,59.708329235743875,61.0
Galaxy,204,55.3652,55.65932026553111,57.0
Newspoll,273,58.3944,58.10032923574388,59.0
Newspoll,285,57.678,57.38392923574388,58.0
Galaxy,309,55.8256,56.11972026553111,57.0
Newspoll,365,57.663799999999995,57.369729235743876,59.0
Galaxy,421,53.987399999999994,54.2815202655311,55.0
Newspoll,457,59.32599999999999,59.031929235743874,60.0
Galaxy,469,60.5954,60.889520265531104,61.0
Newspoll,547,53.0958,52.80172923574388,55.0
Galaxy,582,51.1492,51.443320265531106,52.0
Galaxy,625,52.57427911200405,52.85316096086669,53.0
Newspoll,639,52.85168316831683,52.59416097479128,51.0
Galaxy,683,51.075972122636315,51.266471154821836,52.0
Newspoll,731,54.32599999999999,54.208580660941635,57.0
Newspoll,809,49.718,49.60667208939674,53.0
Newspoll,840,49.4336,49.32227208939673,49.0
Newspoll,855,50.30020100502512,50.18887309442186,49.9
