Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,6.0,6.472787025561466
Morgan Phone,2,8.5,8.587783081023776
F2F Morgan,36,7.5,7.972787025561466
Newspoll,46,7.0,6.377662364401225
F2F Morgan,50,6.5,6.972787025561466
Morgan Phone,51,5.0,5.087783081023775
Morgan Phone,58,7.5,7.587783081023775
F2F Morgan,64,5.5,5.972787025561466
Newspoll,74,8.0,7.377662364401225
F2F Morgan,78,5.5,5.972787025561466
Newspoll,88,8.0,7.377662364401225
F2F Morgan,92,5.0,5.472787025561466
Morgan Phone,99,7.0,7.087783081023775
Newspoll,102,7.0,6.377662364401225
F2F Morgan,106,7.0,7.472787025561466
Morgan Phone,117,7.5,7.587783081023775
Newspoll,123,7.0,6.377662364401225
Morgan Phone,128,5.5,5.587783081023775
F2F Morgan,131,6.0,6.472787025561466
Morgan Phone,135,6.0,6.087783081023775
Newspoll,137,6.0,5.377662364401225
F2F Morgan,141,6.5,6.972787025561466
Newspoll,151,7.0,6.377662364401225
F2F Morgan,152,7.0,7.472787025561466
Morgan Phone,157,7.0,7.087783081023775
Nielsen,164,7.0,7.366466494471543
Newspoll,165,7.0,6.377662364401225
F2F Morgan,166,7.5,7.972787025561466
F2F Morgan,173,7.5,7.972787025561466
F2F Morgan,180,7.0,7.472787025561466
Morgan Phone,186,7.5,7.587783081023775
F2F Morgan,187,7.0,7.472787025561466
Nielsen,192,8.0,8.366466494471542
Newspoll,193,9.0,8.377662364401225
Essential,195,10.0,9.270601436373006
F2F Morgan,197,6.0,6.472787025561466
Newspoll,207,7.0,6.377662364401225
F2F Morgan,211,8.5,8.972787025561466
Essential,226,11.0,10.270601436373006
Newspoll,221,8.0,7.377662364401225
F2F Morgan,222,6.0,6.472787025561466
Nielsen,227,7.0,7.366466494471543
F2F Morgan,229,7.5,7.972787025561466
Newspoll,235,6.0,5.377662364401225
Essential,237,9.0,8.270601436373006
F2F Morgan,239,7.0,7.472787025561466
Newspoll,248,6.0,5.377662364401225
F2F Morgan,253,7.0,7.472787025561466
Essential,253,9.0,8.270601436373006
Nielsen,255,9.0,9.366466494471542
Newspoll,263,9.0,8.377662364401225
Essential,264,11.0,10.270601436373006
F2F Morgan,267,6.5,6.972787025561466
Newspoll,277,8.0,7.377662364401225
Essential,278,11.0,10.270601436373006
F2F Morgan,281,9.0,9.472787025561466
Nielsen,290,7.0,7.366466494471543
Newspoll,291,10.0,9.377662364401225
Essential,292,8.0,7.270601436373005
F2F Morgan,295,7.0,7.472787025561466
Morgan Phone,296,11.0,11.087783081023776
F2F Morgan,309,8.5,8.972787025561466
Newspoll,312,8.0,7.377662364401225
Essential,313,8.0,7.270601436373005
Morgan Phone,317,6.0,6.087783081023775
Nielsen,318,7.0,7.366466494471543
F2F Morgan,323,7.5,7.972787025561466
Newspoll,326,8.0,7.377662364401225
Essential,327,8.0,7.270601436373005
F2F Morgan,337,6.5,6.972787025561466
Newspoll,340,9.0,8.377662364401225
Essential,341,9.0,8.270601436373006
Nielsen,346,6.0,6.366466494471543
Galaxy,347,6.0,6.25587989533688
F2F Morgan,351,6.5,6.972787025561466
Newspoll,354,9.0,8.377662364401225
Essential,355,9.0,8.270601436373006
F2F Morgan,365,6.5,6.972787025561466
Newspoll,368,7.0,6.377662364401225
Essential,369,8.0,7.270601436373005
F2F Morgan,379,6.0,6.472787025561466
F2F Morgan,400,5.5,5.972787025561466
Essential,404,8.0,7.270601436373005
