Firm,Day,LNP FP,LNP FP adj
Newspoll,1,34.0,34.04355518056552
F2F Morgan,31,27.0,27.32334222411831
Newspoll,93,30.0,30.043555180565516
Newspoll,182,36.0,36.04355518056552
Newspoll,274,34.0,34.04355518056552
Newspoll,366,37.0,37.04355518056552
Newspoll,458,37.0,37.04355518056552
Newspoll,548,36.0,36.04355518056552
Newspoll,640,41.0,41.04355518056552
Newspoll,732,36.0,36.04355518056552
Newspoll,824,35.0,35.04355518056552
Advertiser,856,37.0,36.93129610290941
Newspoll,991,34.0,34.050278623116334
Advertiser,1065,38.6,38.483048700625
Newspoll,1097,35.0,35.1150681604242
Advertiser,1120,35.0,34.86318212321377
Newspoll,1175,36.0,36.11690182657442
Advertiser,1177,39.0,38.86318212321377
Galaxy,1214,42.0,41.96283911347792
Newspoll,1220,42.5,42.61690182657442
