Firm,Day,ALP TPP,ALP TPP adj
Newspoll,1,49.307,48.957353302886574
Taverner,15,52.63060765673691,52.51671875946611
Nielsen,17,49.438,49.56502570904045
Newspoll,61,50.307,49.957353302886574
Newspoll,122,47.149,46.79935330288657
Taverner,146,43.17907854712054,43.065189649849735
Newspoll,183,48.149,47.79935330288657
Newspoll,244,44.803,44.45335330288657
Newspoll,305,43.247,42.89735330288657
Newspoll,367,45.949999999999996,45.60035330288657
Newspoll,426,48.149,47.79935330288657
Newspoll,487,46.792,46.44235330288657
Newspoll,548,47.307,46.957353302886574
Newspoll,609,45.476,45.12635330288657
Nielsen,662,46.01207834256318,46.139104051603624
Newspoll,670,43.236,42.88635330288657
Galaxy,714,44.949999999999996,45.19808162464032
Newspoll,732,44.506,44.15635330288657
Galaxy,784,44.283105114321515,44.531186738961836
Newspoll,791,46.307,45.957353302886574
Newspoll,852,41.592999999999996,41.24335330288657
Newspoll,913,41.277,40.92735330288657
Essential,974,40.923,41.08804105847593
Newspoll,974,40.721,40.37135330288657
Morgan Phone,1017,36.258,37.05821120893134
Newspoll,1058,41.404999999999994,41.055353302886566
Galaxy,1085,36.435,36.68308162464032
Essential,1097,40.051,40.21604105847593
Newspoll,1097,40.721,40.37135330288657
Essential,1106,36.566,36.73104105847593
Nielsen,1110,36.179,36.30602570904045
Galaxy,1126,38.307,38.55508162464032
Newspoll,1133,39.378,39.02835330288657
Essential,1141,35.408,35.57304105847593
Newspoll,1147,37.991,37.64135330288657
Galaxy,1147,36.991,37.23908162464032
Nielsen,1147,37.634,37.761025709040446
