Firm,Day,LNP FP,LNP FP adj
Newspoll,1,39.0,39.553837094176714
Taverner,15,37.0,36.952104073194896
Nielsen,17,42.0,41.52772667389906
Newspoll,61,38.0,38.553837094176714
Newspoll,122,41.0,41.553837094176714
Taverner,146,47.0,46.952104073194896
Newspoll,183,40.0,40.553837094176714
Newspoll,244,42.0,42.553837094176714
Newspoll,305,43.0,43.553837094176714
Newspoll,367,42.0,42.553837094176714
Newspoll,426,40.0,40.553837094176714
Newspoll,487,41.0,41.553837094176714
Newspoll,548,41.0,41.553837094176714
Newspoll,609,42.0,42.553837094176714
Nielsen,662,43.0,42.52772667389906
Newspoll,670,44.0,44.553837094176714
Galaxy,714,43.0,42.82408002155616
Newspoll,732,42.0,42.553837094176714
Galaxy,784,44.0,43.82408002155616
Newspoll,791,42.0,42.553837094176714
Newspoll,852,46.0,46.553837094176714
Newspoll,913,46.0,46.56319181212204
Essential,974,50.0,49.081783525119114
Newspoll,974,46.0,46.65829811123286
Morgan Phone,1017,53.0,52.36672803427412
Newspoll,1058,45.0,45.74093145308324
Galaxy,1085,51.0,50.61769053611682
Essential,1097,51.0,49.72142579970523
Newspoll,1097,46.0,46.74093145308324
Essential,1106,54.0,52.72142579970523
Nielsen,1110,53.0,52.55161720302604
Galaxy,1126,50.0,49.61769053611682
Newspoll,1133,50.0,50.74093145308324
Essential,1141,55.0,53.72142579970523
Newspoll,1147,50.0,50.74093145308324
Galaxy,1147,51.0,50.61769053611682
Nielsen,1147,50.0,49.55161720302604
