Firm,Day,@TPP,@TPP adj,@TPP reported
Galaxy,1,45.61,45.479,45.0
Galaxy,43,40.968,40.838,41.0
Galaxy,86,46.977,46.846,46.0
Galaxy,166,46.419,46.289,46.0
Galaxy,239,41.734,41.603,41.0
Morgan Phone,273,44.094,43.796,44.5
Galaxy,352,44.704,44.573,45.0
Newspoll,423,42.539,41.948,43.0
Essential,470,38.98,38.868,41.0
Newspoll,515,39.982,39.39,41.0
Galaxy,525,40.281,40.15,40.0
Newspoll,607,50.995,50.404,52.0
Galaxy,610,44.991,44.86,45.0
Galaxy,645,44.733,44.603,45.0
Morgan Phone,661,38.441,38.142,38.5
Newspoll,697,39.398,38.807,40.0
Galaxy,701,39.076,38.945,39.0
Newspoll,788,37.439,36.861,39.0
Galaxy,798,38.05,37.926,37.0
Newspoll,880,43.062,42.546,44.0
Galaxy,883,38.401,38.298,38.0
Galaxy,951,41.374,41.272,41.0
Newspoll,972,40.894,40.383,42.0
Galaxy,972,40.245,40.143,40.0
Galaxy,1001,40.813,40.712,40.0
Morgan Phone,1007,37.47,37.251,38.0
Newspoll,1007,37.696,37.185,39.2
