Firm,Day,LNP FP,LNP FP adj
Galaxy,1,47.0,47.05434726859528
Galaxy,43,48.0,48.05434726859528
Galaxy,86,43.0,43.05434726859528
Galaxy,166,43.0,43.05434726859528
Galaxy,239,48.0,48.05434726859528
Morgan Phone,273,46.5,46.65118660195081
Galaxy,352,44.0,44.05434726859528
Newspoll,423,44.0,45.99183864854396
Essential,470,50.0,49.94994808582151
Newspoll,515,45.0,46.99183864854396
Galaxy,525,48.0,48.05434726859528
Newspoll,607,37.0,38.99183864854396
Galaxy,610,46.0,46.05434726859528
Galaxy,645,47.0,47.05434726859528
Morgan Phone,661,50.5,50.65118660195081
Newspoll,697,51.0,52.99183864854396
Galaxy,701,52.0,52.05434726859528
Newspoll,788,50.0,51.90381389170178
Galaxy,798,52.0,52.087716511830294
Newspoll,880,44.0,45.51818162363129
Galaxy,883,50.0,50.179212823926285
Galaxy,951,49.0,49.1835185327308
Newspoll,972,47.0,48.48884003801723
Galaxy,972,49.0,49.1835185327308
Galaxy,1001,47.0,47.1835185327308
Morgan Phone,1007,51.0,51.36425134539335
Newspoll,1007,50.0,51.48884003801723
