Firm,Day,LIB FP,LIB FP adj
Westpoll,1,49.3,48.50829378694278
Westpoll,120,49.0,48.20829378694278
Newspoll,100,42.0,43.281674086272076
Newspoll,465,40.0,41.281674086272076
Newspoll,555,38.0,39.281674086272076
Newspoll,647,41.0,42.281674086272076
Newspoll,738,43.0,44.281674086272076
Newspoll,830,43.0,44.281674086272076
Newspoll,919,30.0,31.28167408627208
Newspoll,1012,42.0,43.281674086272076
Newspoll,1104,46.0,47.281674086272076
Westpoll,1169,52.0,51.20829378694278
Newspoll,1195,39.0,40.281674086272076
Morgan Phone,1272,53.5,52.530625192495634
Westpoll,1342,47.0,46.21384438012672
Morgan Phone,1359,47.5,46.65357345971
Newspoll,1378,43.0,44.028873517886325
Newspoll,1470,43.0,43.48335650189602
Westpoll,1532,50.0,49.54132937797944
Newspoll,1552,45.0,45.48335650189602
Galaxy,1566,43.0,43.36331799471331
Newspoll,1580,48.0,48.48335650189602
