Firm,Day,ALP TPP,ALP TPP adj
Advertiser,57,56.9394,58.13381263126778
Advertiser,1,47.0424,48.23681263126778
Advertiser,122,47.321200000000005,48.515612631267786
Newspoll,141,50.31039292801751,49.049432515663995
Advertiser,188,40.178799999999995,41.373212631267776
Newspoll,215,48.669700000000006,47.408739587646494
Advertiser,255,39.3758,40.57021263126778
Advertiser,400,46.9243,48.11871263126778
Newspoll,415,48.51820000000001,47.257239587646495
Newspoll,491,50.178799999999995,48.91783958764648
Newspoll,673,45.1182,43.85723958764649
Advertiser,686,45.698600000000006,46.89301263126779
Newspoll,765,49.169700000000006,47.908739587646494
Advertiser,882,39.6788,40.87321263126778
Newspoll,885,47.409099999999995,46.14813958764648
Newspoll,946,59.409099999999995,58.14813958764648
Galaxy,1127,48.278800000000004,48.61134209367463
