Firm,Day,@TPP,@TPP adj,@TPP reported
Morgan Phone,1,32.9365,33.5461503914048,29.5
Newspoll,173,37.307,36.89809802689013,34.0
Newspoll,234,39.149,38.74009802689013,36.0
Newspoll,296,39.664,39.25509802689013,36.0
Morgan Phone,349,39.4065,40.0161503914048,41.5
Newspoll,356,39.961,39.55209802689013,37.0
Morgan Phone,425,38.7225,39.332150391404795,39.0
Morgan Phone,461,33.829,34.4386503914048,35.0
Newspoll,478,41.506,41.09709802689013,39.0
Morgan Phone,488,38.28,38.8896503914048,40.5
Galaxy,522,43.408,43.34247703473497,42.0
Newspoll,539,42.833,42.42409802689013,41.0
Essential,600,40.994,40.76686187539498,40.0
Newspoll,600,43.348,42.93909802689013,41.0
Newspoll,662,41.833,41.42409802689013,40.0
Essential,704,43.152,42.92486187539498,43.0
Nielsen,712,36.705,36.84820049735231,37.0
Newspoll,721,41.22,40.81109802689013,39.0
Newspoll,782,42.021,41.61209802689013,39.0
Newspoll,843,40.735,40.32609802689013,39.0
Newspoll,904,44.735,44.32609802689013,43.0
Essential,949,43.152,42.92486187539498,43.0
Essential,979,47.122,46.89486187539498,47.0
Essential,1010,42.994,42.76686187539498,43.0
Newspoll,1027,43.735,43.32609802689013,42.0
Essential,1041,45.509,45.28186187539498,45.0
Nielsen,1053,49.021,49.16420049735231,51.0
Essential,1069,46.994,46.76686187539498,46.0
Essential,1100,45.994,45.76686187539498,46.0
Essential,1130,48.637,48.40986187539498,49.0
Galaxy,1142,48.438,48.37247703473497,47.0
Newspoll,1147,45.664,45.25509802689013,43.0
Newspoll,1208,48.149,47.74255584656519,46.0
Galaxy,1229,46.438,46.38185687140988,45.0
SMS Morgan,1266,44.8235,45.212898696394376,47.0
Newspoll,1269,47.179,46.82253151329135,45.0
SMS Morgan,1294,45.359,45.796783778576604,44.0
Galaxy,1319,45.438,45.4170312589408,44.0
Ipsos,1319,47.438,47.54835857518649,46.0
SMS Morgan,1322,45.8725,46.35866886075883,45.0
Newspoll,1330,45.893,45.58241081389241,44.0
Essential,1339,47.351,47.02822029680316,48.0
Galaxy,1368,47.438,47.419376218109534,46.0
SMS Morgan,1377,46.6805,47.17185297670693,46.0
Galaxy,1382,46.953,46.934376218109534,46.0
Ipsos,1397,46.081,46.19621494284818,47.0
SMS Morgan,1406,45.686,46.17735297670693,44.5
Galaxy,1410,47.765,47.74637621810953,47.0
Newspoll,1416,47.923,47.61241081389241,46.0
ReachTEL,1417,46.474,46.5050543201424,47.0
ReachTEL,1425,46.693599999999996,46.7246543201424,47.0
Galaxy,1431,47.28,47.26137621810953,46.0
SMS Morgan,1433,45.017,45.50835297670693,44.5
Essential,1435,47.122,46.79922029680316,47.0
Lonergan,1438,45.28,45.621576689260145,45.0
Galaxy,1429,46.795,46.77637621810953,46.0
Ipsos,1439,44.239000000000004,44.35421494284818,46.0
Lonergan,1440,43.408,43.749576689260145,43.0
SMS Morgan,1441,46.521,47.01235297670693,44.0
Galaxy,1444,45.923,45.90437621810953,45.0
Newspoll,1444,46.408,46.09741081389241,45.0
ReachTEL,1445,45.547,45.5780543201424,46.0
SMS Morgan,1445,41.645,42.13635297670693,42.5
