Firm,Day,UAP FP,UAP FP adj
ReachTEL,415,4.5,3.491106897415383
Essential,543,6.0,5.37843748556683
Essential,573,9.0,8.37843748556683
Essential,604,6.0,5.37843748556683
Essential,635,7.0,6.37843748556683
Essential,663,8.0,7.37843748556683
ReachTEL,681,8.0,6.991106897415383
Essential,694,8.0,7.37843748556683
Essential,724,12.0,11.37843748556683
Galaxy,732,5.0,5.660090055286265
ReachTEL,745,13.6,12.600077789951628
ReachTEL,773,15.4,14.525670285459064
ReachTEL,792,13.4,12.610893764553396
ReachTEL,808,12.6,11.882660904843357
Galaxy,814,12.0,12.245320103839669
ReachTEL,836,9.5,8.908253400350793
SMS Morgan,860,6.5,7.075951551497144
ReachTEL,872,7.2,6.729360449590106
SMS Morgan,888,6.0,6.589552400036217
Galaxy,912,7.0,6.959070419038498
SMS Morgan,916,4.0,4.589552400036217
ReachTEL,921,6.5,6.029360449590106
Essential,930,5.0,5.029028135525723
ReachTEL,960,6.3,5.829360449590106
SMS Morgan,971,4.0,4.589552400036217
Essential,972,5.0,5.029028135525723
ReachTEL,974,5.9,5.429360449590106
Galaxy,982,4.0,3.959070419038498
ReachTEL,983,4.4,3.9293604495901064
