Firm,Day,@TPP,@TPP adj,@TPP reported
Essential,1,49.7394,50.50697845726194,51.0
Morgan multi-mode,8,50.33335,49.94267263373766,47.5
Essential,15,48.6788,49.446378457261936,48.0
Morgan multi-mode,22,50.20910000000001,49.81842263373766,50.5
ReachTEL,26,47.5194,47.56045736646373,47.9
Essential,29,48.0394,48.806978457261934,47.0
Morgan multi-mode,36,48.5394,48.148722633737655,48.5
Newspoll,42,45.0394,45.839621957244496,44.0
Essential,43,47.9091,48.676678457261936,47.0
Morgan multi-mode,50,49.92425000000001,49.53357263373766,50.0
Newspoll,56,47.2303,48.030521957244495,47.0
Essential,57,48.20910000000001,48.97667845726194,47.0
Morgan multi-mode,64,49.92425000000001,49.53357263373766,49.0
ReachTEL,68,48.21425000000001,48.25530736646374,49.0
Nielsen,69,51.4,51.28397229741629,52.0
Newspoll,70,49.0394,49.839621957244496,48.0
Essential,71,48.378800000000005,49.14637845726194,48.0
Morgan multi-mode,78,51.059099999999994,50.66842263373765,51.5
Essential,85,48.5485,49.31607845726193,49.0
Newspoll,88,52.4,53.200221957244494,52.0
ReachTEL,92,54.581230000000005,54.62228736646374,52.0
Morgan multi-mode,88,52.53939999999999,52.14872263373765,52.5
Morgan multi-mode,116,53.6894,53.298722633737654,53.0
Essential,121,49.7394,50.50697845726194,49.0
ReachTEL,131,53.187580000000004,53.22863736646374,53.0
Morgan multi-mode,130,52.284850000000006,51.89417263373766,53.0
Essential,135,49.439400000000006,50.20697845726194,50.0
Morgan multi-mode,144,51.454550000000005,51.06387263373766,52.0
Newspoll,147,50.7,51.5002219572445,51.0
Essential,149,51.9091,52.676678457261936,51.0
Nielsen,153,48.2303,48.11427229741629,48.0
Newspoll,161,53.0394,53.839621957244496,54.0
Essential,163,49.439400000000006,50.20697845726194,49.0
Morgan multi-mode,158,50.42425,50.033572633737656,50.5
ReachTEL,166,52.71515,52.756207366463734,53.0
Morgan multi-mode,172,52.46515,52.074472633737656,52.5
Newspoll,175,50.3394,51.13962195724449,51.0
Essential,177,49.2091,49.97667845726193,49.0
Nielsen,181,51.6394,51.523372297416294,49.0
Newspoll,189,52.0606,52.8608219572445,52.0
Essential,191,51.26970000000001,52.03727845726194,51.0
Morgan multi-mode,186,55.7182,55.32752263373766,53.5
Galaxy,196,50.1,50.05895758241966,50.0
Newspoll,203,48.8697,49.6699219572445,49.0
Morgan multi-mode,200,51.609100000000005,51.21842263373766,51.5
Essential,205,50.5697,51.33727845726193,50.0
Nielsen,209,52.4424,52.32637229741629,52.0
Morgan multi-mode,214,51.704550000000005,51.31387263373766,52.0
Essential,219,52.0394,52.806978457261934,52.0
Morgan multi-mode,228,53.40455000000001,53.01387263373766,53.5
ReachTEL,231,53.83727,53.87832736646373,54.0
Newspoll,231,52.300000000000004,53.1002219572445,53.0
Galaxy,230,52.3394,52.298357582419655,52.0
Essential,233,53.6788,54.446378457261936,52.0
ReachTEL,236,54.16061,54.20166736646373,54.0
Galaxy,243,52.97879999999999,52.93775758241965,53.0
Nielsen,244,56.8909,56.774872297416294,56.0
Newspoll,245,54.2788,55.07902195724449,55.0
Morgan multi-mode,246,58.4273,58.03662263373766,56.5
Essential,247,52.20910000000001,52.97667845726194,52.0
Morgan multi-mode,256,54.7485,54.357822633737655,55.0
Newspoll,258,54.109100000000005,54.9093219572445,54.0
Essential,261,53.2091,53.97667845726193,54.0
Morgan Phone,263,52.584849999999996,52.751403192273585,53.5
Morgan multi-mode,267,58.1697,57.779022633737654,59.0
Newspoll,273,52.387899999999995,53.18812195724449,53.0
Morgan multi-mode,274,50.646950000000004,50.25627263373766,54.5
Essential,275,51.6788,52.446378457261936,52.0
Nielsen,279,53.0606,52.94457229741629,53.0
Morgan multi-mode,284,54.31365,53.92297263373766,54.5
ReachTEL,285,52.753640000000004,52.79469736646374,53.0
Newspoll,287,54.9394,55.739621957244495,55.0
Essential,289,53.2091,53.97667845726193,53.0
Morgan multi-mode,298,55.663650000000004,55.27297263373766,56.0
Newspoll,301,53.7485,54.548721957244496,54.0
Essential,303,52.6788,53.446378457261936,52.0
Nielsen,307,54.2909,54.17487229741629,54.0
ReachTEL,310,53.387899999999995,53.42895736646373,52.0
Morgan multi-mode,312,53.689400000000006,53.29872263373766,54.0
Galaxy,314,52.3394,52.298357582419655,52.0
Newspoll,315,53.5788,54.3790219572445,54.0
Essential,317,51.7394,52.50697845726194,51.0
Newspoll,329,51.0,51.800221957244496,52.0
Morgan multi-mode,326,56.1576,55.76692263373766,54.0
Essential,331,51.6788,52.446378457261936,52.0
Morgan multi-mode,340,55.77275,55.38207263373766,54.0
ReachTEL,341,54.88546000000001,54.92651736646374,51.03
Newspoll,343,50.2788,51.07902195724449,51.0
Essential,345,51.6788,52.446378457261936,52.0
Newspoll,357,52.360600000000005,53.1608219572445,52.0
Morgan multi-mode,354,54.742450000000005,54.35177263373766,53.0
Essential,359,52.8697,53.637278457261935,53.0
ReachTEL,369,53.63941,53.68046736646373,51.0
Morgan multi-mode,368,55.0788,54.688122633737656,53.5
Essential,373,52.5697,53.33727845726193,52.0
Newspoll,374,49.8091,50.6093219572445,51.0
Galaxy,386,52.6394,52.59835758241966,51.0
Morgan multi-mode,386,52.813649999999996,52.42297263373765,51.5
Essential,387,52.1,52.867578457261935,52.0
Morgan multi-mode,396,53.313649999999996,52.92297263373765,52.0
Essential,401,52.6788,53.446378457261936,53.0
Newspoll,402,52.300000000000004,53.1002219572445,53.0
ReachTEL,404,54.66365000000001,54.704707366463744,52.0
Ipsos,412,53.169700000000006,53.61891090998505,51.0
Morgan multi-mode,410,54.7894,54.398722633737655,54.5
Essential,415,52.03939999999999,52.80697845726193,52.0
Newspoll,416,53.0,53.800221957244496,54.0
Morgan multi-mode,424,55.1394,54.74872263373766,54.0
Essential,429,52.569700000000005,53.33727845726194,52.0
Newspoll,430,54.8091,55.6093219572445,55.0
ReachTEL,433,54.12243,54.163487366463734,53.0
Morgan multi-mode,438,53.90455,53.513872633737655,53.0
Newspoll,442,54.0,54.800221957244496,54.0
Galaxy,445,54.9303,54.88925758241966,55.0
Ipsos,447,53.1697,53.61891090998504,52.0
Essential,815,52.0394,52.43012948147052,52.0
Morgan multi-mode,817,57.4591,56.74727318966136,56.5
Newspoll,456,54.2303,55.030521957244495,54.0
Morgan multi-mode,467,54.7303,54.339622633737655,56.5
Morgan multi-mode,480,52.8288,52.438122633737656,53.0
Essential,483,53.1,53.867578457261935,53.0
Essential,497,54.20910000000001,54.97667845726194,54.0
Morgan multi-mode,498,54.73030000000001,54.33962263373766,55.5
ReachTEL,500,54.983940000000004,55.02499736646374,54.0
Galaxy,502,58.339400000000005,58.29835758241966,57.0
Ipsos,503,54.367799934394505,54.817010844379546,54.0
Galaxy,509,58.339400000000005,58.29835758241966,57.0
ReachTEL,509,54.97969,55.02074736646373,55.0
Morgan multi-mode,508,57.6394,57.24872263373766,57.5
Newspoll,511,56.7,57.5002219572445,57.0
Essential,511,54.1,54.867578457261935,54.0
Morgan multi-mode,522,54.5394,54.148722633737655,55.0
Newspoll,525,53.7,54.5002219572445,53.0
Essential,525,53.26970000000001,54.03727845726194,53.0
Ipsos,531,50.760600000000004,51.209810909985045,51.0
Morgan multi-mode,536,54.8197,54.42902263373765,53.5
Essential,539,52.20910000000001,52.97667845726194,52.0
Newspoll,540,54.2303,55.030521957244495,55.0
Morgan multi-mode,550,55.104549999999996,54.71387263373765,54.0
Newspoll,553,51.4,52.200221957244494,51.0
Essential,553,53.1,53.867578457261935,53.0
ReachTEL,561,55.174240000000005,55.21529736646374,54.0
Morgan multi-mode,565,52.349999999999994,51.95932263373765,53.0
Essential,567,52.1,52.867578457261935,52.0
Ipsos,573,53.1212,53.57041090998504,54.0
Newspoll,574,50.8697,51.6699219572445,51.0
Morgan multi-mode,578,53.93485,53.54417263373765,54.0
Essential,581,52.5697,53.33727845726193,53.0
ReachTEL,586,53.50787,53.54892736646373,53.53
Morgan multi-mode,592,52.784850000000006,52.39417263373766,53.5
Essential,595,52.46060000000001,53.22817845726194,52.0
Newspoll,597,51.6394,52.4396219572445,52.0
ReachTEL,606,53.51939,53.560447366463734,53.0
Galaxy,607,52.4606,52.41955758241966,52.0
Essential,609,52.1,52.867578457261935,52.0
Newspoll,610,52.2303,53.030521957244495,53.0
Ipsos,610,50.590900000000005,51.040110909985046,50.0
Morgan multi-mode,610,51.61514999999999,51.22447263373765,51.5
Morgan multi-mode,620,52.590900000000005,52.20022263373766,52.0
Essential,623,52.26970000000001,53.03727845726194,52.0
Newspoll,626,52.1212,52.9214219572445,52.0
Ipsos,636,53.421200000000006,53.87041090998505,53.0
Morgan multi-mode,634,54.915150000000004,54.52447263373766,54.5
Essential,637,52.1,52.867578457261935,52.0
Newspoll,640,51.360600000000005,52.1608219572445,51.0
Morgan multi-mode,648,53.59545,53.204772633737655,53.5
ReachTEL,649,51.73453000000001,51.77558736646374,51.77
Essential,651,52.1,52.867578457261935,52.0
Ipsos,657,53.08180000000001,53.53101090998505,53.0
Newspoll2,659,52.590900000000005,52.36998460203633,52.0
Morgan multi-mode,662,51.21060000000001,50.81992263373766,51.0
Essential,665,51.9303,52.697878457261936,52.0
Newspoll2,672,53.2909,53.06998460203633,53.0
Morgan multi-mode,676,53.456050000000005,53.06537263373766,53.5
Essential,679,53.2303,53.99787845726193,53.0
ReachTEL,684,53.507870000000004,53.54892736646374,53.0
ReachTEL,691,53.77181,53.812867366463735,53.0
Essential,693,51.5697,52.33727845726193,52.0
Newspoll2,694,54.1212,53.90028460203633,54.0
Morgan multi-mode,690,55.60605,55.21537263373766,54.5
Ipsos,699,55.4909,55.940110909985044,54.0
Newspoll2,707,55.530300000000004,55.30938460203633,54.0
Essential,707,52.4,53.16757845726193,52.0
Morgan multi-mode,704,53.8303,53.439622633737656,53.5
ReachTEL,712,53.51696,53.55801736646373,53.0
Newspoll2,721,53.760600000000004,53.53968460203633,54.0
Essential,721,52.4,53.16757845726193,52.0
Morgan multi-mode,722,55.171200000000006,54.78052263373766,55.5
Morgan multi-mode,729,56.46060000000001,56.06992263373766,56.5
ReachTEL,731,50.436659999999996,50.47771736646373,50.0
Galaxy,732,50.4,50.358957582419656,49.0
Newspoll2,735,48.9303,48.70938460203633,49.0
Morgan multi-mode,736,46.5,46.109322633737655,46.5
Essential,735,50.4606,51.22817845726193,50.0
Essential,742,48.569700000000005,49.33727845726194,48.0
Morgan multi-mode,747,45.3303,44.939622633737656,45.0
Newspoll2,756,49.760600000000004,49.53968460203633,50.0
Essential,756,49.4606,50.22817845726193,49.0
Ipsos,762,46.421200000000006,46.87041090998505,47.0
Morgan multi-mode,760,45.63635,45.245672633737655,45.0
ReachTEL,768,47.179390000000005,47.22044736646374,47.0
Newspoll2,770,48.4606,48.23968460203633,48.0
Essential,770,47.5697,48.33727845726193,47.0
Morgan multi-mode,774,45.806050000000006,45.41537263373766,45.0
Newspoll2,784,47.1,46.88455550696315,47.0
Essential,784,48.6303,49.35481000288577,48.0
Ipsos,790,44.590900000000005,45.04259802251353,44.0
Morgan multi-mode,788,46.010600000000004,45.55048491609954,45.0
Newspoll2,798,46.9303,46.73400367420704,47.0
Essential,798,48.9303,49.50407041256921,49.0
ReachTEL,803,45.149390000000004,45.20731177739876,45.0
Morgan multi-mode,802,45.860600000000005,45.278968910232834,45.0
Newspoll2,812,47.760600000000004,47.58345184145093,47.0
