Firm,Day,ALP FP,ALP FP adj
Essential,1,37.0,36.46236721275406
Morgan multi-mode,8,34.0,35.34009829493597
Essential,15,35.0,34.46236721275406
Morgan multi-mode,22,37.0,38.34009829493597
ReachTEL,26,35.3,35.268261553398766
Essential,29,34.0,33.46236721275406
Morgan multi-mode,36,34.5,35.84009829493597
Newspoll,42,31.0,33.29361519604177
Essential,43,36.0,35.46236721275406
Morgan multi-mode,50,35.0,36.34009829493597
Newspoll,56,32.0,34.29361519604177
Essential,57,35.0,34.46236721275406
Morgan multi-mode,64,35.0,36.34009829493597
ReachTEL,68,34.2,34.16826155339877
Nielsen,69,37.0,37.87804665711331
Newspoll,70,35.0,37.29361519604177
Essential,71,36.0,35.46236721275406
Morgan multi-mode,78,38.5,39.84009829493597
Essential,85,37.0,36.46236721275406
Newspoll,88,38.0,40.29361519604177
ReachTEL,92,40.4,40.36826155339877
Morgan multi-mode,88,38.5,39.84009829493597
Morgan multi-mode,116,39.0,40.34009829493597
Essential,121,37.0,36.46236721275406
ReachTEL,131,40.6,40.56826155339877
Morgan multi-mode,130,37.0,38.34009829493597
Essential,135,38.0,37.46236721275406
Morgan multi-mode,144,37.0,38.34009829493597
Newspoll,147,35.0,37.29361519604177
Essential,149,40.0,39.46236721275406
Nielsen,153,33.0,33.87804665711331
Newspoll,161,39.0,41.29361519604177
Essential,163,38.0,37.46236721275406
Morgan multi-mode,158,35.5,36.84009829493597
ReachTEL,166,39.2,39.16826155339877
Morgan multi-mode,172,37.0,38.34009829493597
Newspoll,175,35.0,37.29361519604177
Essential,177,36.0,35.46236721275406
Nielsen,181,35.0,35.87804665711331
Newspoll,189,36.0,38.29361519604177
Essential,191,39.0,38.46236721275406
Morgan multi-mode,186,38.5,39.84009829493597
Galaxy,196,37.0,37.03174062320468
Newspoll,203,34.0,36.29361519604177
Morgan multi-mode,200,34.5,35.84009829493597
Essential,205,37.0,36.46236721275406
Nielsen,209,34.0,34.87804665711331
Morgan multi-mode,214,34.0,35.34009829493597
Essential,219,38.0,37.46236721275406
Morgan multi-mode,228,37.0,38.34009829493597
ReachTEL,231,39.6,39.56826155339877
Newspoll,231,34.0,36.29361519604177
Galaxy,230,37.0,37.03174062320468
Essential,233,40.0,39.46236721275406
ReachTEL,236,39.8,39.768261553398766
Galaxy,243,38.0,38.03174062320468
Nielsen,244,40.0,40.87804665711331
Newspoll,245,38.0,40.29361519604177
Morgan multi-mode,246,38.5,39.84009829493597
Essential,247,39.0,38.46236721275406
Morgan multi-mode,256,38.0,39.34009829493597
Newspoll,258,37.0,39.29361519604177
Essential,261,40.0,39.46236721275406
