Firm,Day,GRN FP,GRN FP adj
Essential,1,9.0,10.470661803170493
Morgan multi-mode,8,10.5,9.53064109019581
Essential,15,9.0,10.470661803170493
Morgan multi-mode,22,9.0,8.03064109019581
ReachTEL,26,8.6,8.669798712504676
Essential,29,10.0,11.470661803170493
Morgan multi-mode,36,10.0,9.03064109019581
Newspoll,42,10.0,8.956538882473447
Essential,43,8.0,9.470661803170493
Morgan multi-mode,50,10.5,9.53064109019581
Newspoll,56,12.0,10.956538882473447
Essential,57,9.0,10.470661803170493
Morgan multi-mode,64,10.5,9.53064109019581
ReachTEL,68,9.8,9.869798712504677
Nielsen,69,11.0,8.966823007649985
Newspoll,70,10.0,8.956538882473447
Essential,71,8.0,9.470661803170493
Morgan multi-mode,78,8.5,7.530641090195809
Essential,85,7.0,8.470661803170493
Newspoll,88,11.0,9.956538882473447
ReachTEL,92,8.7,8.769798712504675
Morgan multi-mode,88,10.0,9.03064109019581
Morgan multi-mode,116,10.5,9.53064109019581
Essential,121,9.0,10.470661803170493
ReachTEL,131,9.1,9.169798712504676
Morgan multi-mode,130,11.5,10.53064109019581
Essential,135,8.0,9.470661803170493
Morgan multi-mode,144,10.5,9.53064109019581
Newspoll,147,12.0,10.956538882473447
Essential,149,8.0,9.470661803170493
Nielsen,153,12.0,9.966823007649985
Newspoll,161,10.0,8.956538882473447
Essential,163,8.0,9.470661803170493
Morgan multi-mode,158,10.5,9.53064109019581
ReachTEL,166,10.5,10.569798712504676
Morgan multi-mode,172,12.0,11.03064109019581
Newspoll,175,11.0,9.956538882473447
Essential,177,9.0,10.470661803170493
Nielsen,181,12.0,9.966823007649985
Newspoll,189,13.0,11.956538882473447
Essential,191,9.0,10.470661803170493
Morgan multi-mode,186,11.0,10.03064109019581
Galaxy,196,10.0,9.930136311411733
Newspoll,203,11.0,9.956538882473447
Morgan multi-mode,200,12.0,11.03064109019581
Essential,205,10.0,11.470661803170493
Nielsen,209,17.0,14.966823007649985
Morgan multi-mode,214,13.0,12.03064109019581
Essential,219,10.0,11.470661803170493
Morgan multi-mode,228,12.0,11.03064109019581
ReachTEL,231,11.2,11.269798712504675
