Firm,Day,KAP FP,KAP FP adj
SMS Morgan,1,2.5,2.216909902348837
SMS Morgan,28,2.5,2.216909902348837
SMS Morgan,168,4.0,3.716909902348837
Galaxy,187,4.0,3.7573533823639607
SMS Morgan,197,3.0,2.716909902348837
SMS Morgan,240,4.0,3.716909902348837
Essential,243,3.0,3.109385864659075
Essential,274,2.0,2.109385864659075
SMS Morgan,294,3.5,3.216909902348837
Essential,304,4.0,4.1093858646590755
Essential,335,2.0,2.109385864659075
SMS Morgan,351,3.0,2.716909902348837
Galaxy,362,4.0,3.7573533823639607
Essential,366,2.0,2.109385864659075
Essential,396,2.0,2.109385864659075
SMS Morgan,410,3.5,3.216909902348837
Essential,426,4.0,4.1093858646590755
Essential,456,2.0,2.109385864659075
SMS Morgan,466,4.5,4.216909902348837
Essential,487,4.0,4.1093858646590755
Essential,517,2.0,2.109385864659075
Essential,548,1.0,1.1093858646590753
SMS Morgan,553,2.5,2.216909902348837
Essential,579,1.0,1.1093858646590753
SMS Morgan,595,3.5,3.216909902348837
Essential,609,2.0,2.109385864659075
Essential,640,2.0,2.109385864659075
Essential,670,1.0,1.1093858646590753
Essential,732,1.0,1.1093858646590753
Essential,821,2.0,2.0836781604947934
Essential,882,2.0,2.05031284232413
Essential,913,2.0,2.0437491731758026
Essential,944,2.0,2.0437491731758026
Essential,974,1.0,1.0437491731758024
Essential,1001,1.0,1.0437491731758024
ReachTEL,1008,3.0,2.9062311786312183
