Firm,Day,ONP FP,ONP FP adj
Galaxy,537,16.0,15.074300420242874
SMS Morgan,553,8.5,9.024150641997966
Essential,579,10.0,11.50482930444685
SMS Morgan,595,10.5,11.024150641997966
Essential,609,10.0,11.50482930444685
Galaxy,636,16.0,15.074300420242874
Essential,640,12.0,13.50482930444685
Essential,670,13.0,14.50482930444685
Galaxy,726,23.0,22.074300420242874
ReachTEL,726,22.3,21.558099092451496
Essential,732,15.0,16.50482930444685
Galaxy,803,17.0,16.227325668369943
Essential,821,12.0,13.341217839858905
ReachTEL,839,17.0,16.146834624478196
Essential,882,12.0,13.128871045393696
Galaxy,902,15.0,14.7075083435273
Newspoll2,913,15.0,14.938674640761395
Essential,913,14.0,15.087097905498903
Essential,944,13.0,14.087097905498903
ReachTEL,957,19.6,18.65268776696233
Newspoll2,970,16.0,15.938674640761395
Essential,974,13.0,14.087097905498903
Galaxy,992,18.0,17.7075083435273
Essential,1001,15.0,16.0870979054989
ReachTEL,1008,17.0,16.05268776696233
Newspoll2,1012,13.0,12.938674640761395
Galaxy,1014,12.0,11.7075083435273
