Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,48.954,48.994,49.0
Newspoll,182,49.088,49.128,50.0
Newspoll,274,49.967,50.006,50.0
SMS Morgan,317,47.425,48.211,47.5
SMS Morgan,345,48.459,49.245,47.0
Newspoll,366,50.585,50.625,50.0
SMS Morgan,373,49.386,50.172,48.5
SMS Morgan,428,51.074,51.86,50.5
Newspoll,457,52.152,52.191,52.0
SMS Morgan,457,50.853,51.639,50.0
SMS Morgan,484,51.046,51.832,50.5
SMS Morgan,513,50.982,51.768,50.0
Newspoll,547,51.175,51.215,52.0
SMS Morgan,554,51.737,52.523,51.0
SMS Morgan,582,48.206,48.992,47.5
SMS Morgan,624,51.619,52.405,51.5
SMS Morgan,653,51.007,51.793,50.0
SMS Morgan,696,49.203,49.989,48.5
Essential,730,49.972,50.409,49.0
Newspoll2,731,53.313,51.943,53.0
SMS Morgan,749,51.375,52.161,50.5
SMS Morgan,807,46.364,47.15,45.5
Essential,823,48.838,49.275,48.0
ReachTEL,853,52.648,53.311,56.0
SMS Morgan,862,52.591,53.377,52.0
SMS Morgan,879,50.876,51.662,50.0
Newspoll2,883,54.609,53.239,54.0
Essential,913,51.761,52.198,51.0
SMS Morgan,922,49.348,50.134,49.0
Essential,1004,53.898,54.22,53.0
SMS Morgan,1005,51.272,51.907,51.0
ReachTEL,1035,48.839,50.366,51.0
SMS Morgan,1066,52.648,53.029,52.5
ReachTEL,1077,49.719,51.798,52.0
Newspoll2,1082,53.302,52.563,52.0
Essential,1096,51.398,51.429,51.0
ReachTEL,1154,48.301,50.536,52.0
Newspoll2,1173,53.937,53.243,54.0
Essential,1174,53.114,53.145,nan
Essential,1188,52.53,52.561,52.0
ReachTEL,1188,47.323,49.559,50.0
ReachTEL,1202,50.201,52.436,52.0
Galaxy,1203,54.303,54.375,54.0
Newspoll2,1209,54.033,53.339,54.0
ReachTEL,1210,52.952,55.188,54.0
