Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,48.951,48.863,49.0
Newspoll,182,49.085,48.997,50.0
Newspoll,274,49.971,49.883,50.0
SMS Morgan,317,47.426,48.214,47.5
SMS Morgan,345,48.461,49.249,47.0
Newspoll,366,50.59,50.502,50.0
SMS Morgan,373,49.391,50.179,48.5
SMS Morgan,428,51.077,51.865,50.5
Newspoll,457,52.151,52.063,52.0
SMS Morgan,457,50.853,51.641,50.0
SMS Morgan,484,51.045,51.833,50.5
SMS Morgan,513,50.981,51.77,50.0
Newspoll,547,51.178,51.09,52.0
SMS Morgan,554,51.739,52.527,51.0
SMS Morgan,582,48.208,48.996,47.5
SMS Morgan,624,51.618,52.407,51.5
SMS Morgan,653,51.006,51.794,50.0
SMS Morgan,696,49.205,49.993,48.5
Essential,730,49.974,50.418,49.0
Newspoll2,731,53.314,51.928,53.0
SMS Morgan,749,51.379,52.168,50.5
SMS Morgan,807,46.368,47.156,45.5
Essential,823,48.844,49.288,48.0
ReachTEL,853,52.652,53.341,56.0
SMS Morgan,862,52.595,53.383,52.0
SMS Morgan,879,50.887,51.675,50.0
Newspoll2,883,54.619,53.233,54.0
Essential,913,51.77,52.214,51.0
SMS Morgan,922,49.356,50.144,49.0
Essential,1004,53.903,54.229,53.0
SMS Morgan,1005,51.272,51.905,51.0
ReachTEL,1035,48.842,50.376,51.0
SMS Morgan,1066,52.648,53.021,52.5
ReachTEL,1077,49.723,51.795,52.0
Newspoll2,1082,53.305,52.59,52.0
Essential,1096,51.401,51.427,51.0
ReachTEL,1154,48.301,50.526,52.0
Newspoll2,1173,53.937,53.27,54.0
Essential,1174,53.114,53.139,nan
Essential,1188,52.53,52.555,52.0
ReachTEL,1188,47.323,49.548,50.0
ReachTEL,1202,50.201,52.426,52.0
Galaxy,1203,54.303,54.409,54.0
Newspoll2,1209,54.033,53.366,54.0
ReachTEL,1210,52.952,55.177,54.0
