Firm,Day,ALP TPP,ALP TPP adj
Newspoll,1,55.26648948066124,54.748345960690216
Newspoll,182,53.80560994413358,53.28746642416255
Newspoll,274,54.686402490822545,54.16825897085152
SMS Morgan,317,49.74765121171011,49.98622573262035
SMS Morgan,345,53.5825721390773,53.82114665998754
Newspoll,366,56.907957134085905,56.38981361411488
SMS Morgan,373,54.90308227413946,55.1416567950497
SMS Morgan,428,56.19040093359513,56.42897545450537
Newspoll,457,56.866550565353315,56.34840704538229
SMS Morgan,457,56.36830056535331,56.60687508626355
SMS Morgan,484,56.15961394403974,56.39818846494998
SMS Morgan,513,55.689759277385384,55.928333798295625
Newspoll,547,56.68528865826728,56.167145138296256
SMS Morgan,554,57.64234017679957,57.88091469770981
SMS Morgan,582,53.714311489583295,53.952886010493536
SMS Morgan,624,58.16537650001281,58.40395102092305
SMS Morgan,653,56.51951072157279,56.758085242483034
SMS Morgan,696,52.71682028617586,52.9553948070861
Essential,730,54.68513835156778,54.75049600244848
Newspoll2,731,57.22315751038536,56.36846368508515
SMS Morgan,749,55.29209267457073,55.53066719548097
SMS Morgan,807,52.294895204884234,52.533469725794475
Essential,823,51.96914220671807,52.03449985759877
ReachTEL,853,56.83081327399029,57.69502686424065
SMS Morgan,862,58.92957947389984,59.16815399481008
SMS Morgan,879,55.6245458947229,55.86312041563314
Newspoll2,883,59.35774842294649,58.50305459764628
Essential,913,56.51324341117573,56.57860106205643
SMS Morgan,922,54.900843364820844,55.139417885731085
Essential,1004,57.078015147354336,57.143372798235035
SMS Morgan,1005,56.4725,56.71107452091024
ReachTEL,1035,53.1381650889765,54.002378679226865
SMS Morgan,1066,56.6475,56.88607452091024
ReachTEL,1077,54.57946673235618,55.443680322606546
Newspoll2,1082,58.08226241665732,57.22756859135711
Essential,1096,56.17563387576242,56.24099152664312
ReachTEL,1154,52.666230000000006,53.53044359025037
Newspoll2,1173,57.9371,57.08240617469979
Essential,1188,56.5296,56.5949576508807
ReachTEL,1188,53.995900000000006,54.86011359025037
ReachTEL,1202,55.64108,56.50529359025037
Galaxy,1203,58.302699999999994,57.92822340637843
Newspoll2,1209,58.0333,57.17860617469979
ReachTEL,1210,57.699349999999995,58.56356359025036
