Firm,Day,@TPP,@TPP adj,@TPP reported
Newspoll,1,51.755,52.296,51.0
SMS Morgan,45,50.515,53.408,49.5
SMS Morgan,73,52.772,55.666,52.5
Newspoll,93,54.069,54.609,53.0
SMS Morgan,101,51.937,54.831,51.5
SMS Morgan,156,52.244,55.138,52.0
Newspoll,185,54.583,55.124,54.0
SMS Morgan,185,53.267,56.161,53.0
SMS Morgan,213,53.253,56.146,53.0
SMS Morgan,241,51.319,54.213,51.0
Newspoll,274,54.595,55.135,54.0
SMS Morgan,282,49.898,52.792,49.5
SMS Morgan,310,49.192,52.086,49.0
SMS Morgan,352,51.701,54.595,51.0
SMS Morgan,381,51.454,54.348,50.5
SMS Morgan,424,49.541,52.435,49.0
Essential,458,56.654,53.73,54.0
Newspoll2,458,53.849,53.971,51.0
SMS Morgan,477,47.133,50.026,46.0
SMS Morgan,535,48.234,51.128,47.0
Galaxy,539,49.676,51.742,49.0
Essential,550,56.8,53.876,54.0
SMS Morgan,591,51.386,54.279,50.0
Essential,640,54.168,51.245,51.0
SMS Morgan,646,47.38,50.274,48.0
Essential,732,56.168,53.245,54.0
SMS Morgan,738,46.23,49.124,45.0
Galaxy,761,47.719,49.785,47.0
SMS Morgan,779,47.45,50.343,46.0
Essential,824,53.713,50.789,51.0
Essential,916,55.38,52.457,52.0
Essential,1005,54.63,51.706,52.0
Galaxy,1024,48.834,50.9,50.0
Essential,1097,55.289,52.76,52.0
Newspoll2,1189,50.871,51.181,nan
Essential,1189,53.97,52.742,51.0
SMS Morgan,1247,48.572,49.839,nan
ReachTEL,1264,47.861,48.693,nan
Newspoll2,1294,51.161,51.47,nan
Newspoll2,1308,50.98,51.29,nan
ReachTEL,1309,50.973,51.805,52.0
