Firm,Day,ALP FP,ALP FP adj
Newspoll,1,34.0,35.321
SMS Morgan,45,35.5,37.868
SMS Morgan,73,34.5,36.868
Newspoll,93,35.0,36.321
SMS Morgan,101,35.0,37.368
SMS Morgan,156,38.0,40.368
Newspoll,185,36.0,37.321
SMS Morgan,185,38.0,40.368
SMS Morgan,213,37.5,39.868
SMS Morgan,241,36.5,38.868
Newspoll,274,36.0,37.321
SMS Morgan,282,34.5,36.868
SMS Morgan,310,33.5,35.868
SMS Morgan,352,34.0,36.368
SMS Morgan,381,33.5,35.868
SMS Morgan,424,33.5,35.868
Essential,458,39.0,33.797
Newspoll2,458,38.0,36.938
SMS Morgan,477,26.0,28.368
SMS Morgan,535,27.0,29.368
Galaxy,539,28.0,29.69
Essential,550,37.0,31.797
SMS Morgan,591,27.0,29.368
Essential,640,34.0,28.797
SMS Morgan,646,25.5,27.868
Essential,732,38.0,32.797
SMS Morgan,738,24.5,26.868
Galaxy,761,27.0,28.69
SMS Morgan,779,24.5,26.868
Essential,824,35.0,29.797
Essential,916,35.0,29.797
Essential,1005,36.0,30.797
Galaxy,1024,28.0,29.69
Essential,1097,37.0,32.223
Newspoll2,1189,27.0,27.482
Essential,1189,34.0,30.624
SMS Morgan,1247,23.5,25.317
ReachTEL,1264,26.1,26.76
Newspoll2,1294,30.0,30.482
Newspoll2,1308,31.0,31.482
ReachTEL,1309,31.0,31.66
