Firm,Day,GRN FP,GRN FP adj
Newspoll,1,9.0,9.239
SMS Morgan,45,10.0,9.136
SMS Morgan,73,12.5,11.636
Newspoll,93,10.0,10.239
SMS Morgan,101,13.0,12.136
SMS Morgan,156,10.5,9.636
Newspoll,185,10.0,10.239
SMS Morgan,185,11.5,10.636
SMS Morgan,213,12.5,11.636
SMS Morgan,241,11.0,10.136
Newspoll,274,10.0,10.239
SMS Morgan,282,12.0,11.136
SMS Morgan,310,13.5,12.636
SMS Morgan,352,14.0,13.136
SMS Morgan,381,14.0,13.136
SMS Morgan,424,12.5,11.636
Essential,458,10.0,10.238
Newspoll2,458,9.0,8.98
SMS Morgan,477,10.0,9.136
SMS Morgan,535,9.5,8.636
Galaxy,539,7.0,7.368
Essential,550,9.0,9.238
SMS Morgan,591,10.5,9.636
Essential,640,7.0,7.238
SMS Morgan,646,2.5,1.636
Essential,732,7.0,7.238
SMS Morgan,738,9.5,8.636
Galaxy,761,7.0,7.368
SMS Morgan,779,11.0,10.136
Essential,824,7.0,7.238
Essential,916,6.0,6.238
Essential,1005,7.0,7.238
Galaxy,1024,6.0,6.368
Essential,1097,6.0,6.113
Newspoll2,1189,6.0,6.321
Essential,1189,8.0,7.7
SMS Morgan,1247,9.0,8.18
ReachTEL,1264,5.5,5.693
Newspoll2,1294,7.0,7.321
Newspoll2,1308,8.0,8.321
ReachTEL,1309,8.0,8.193
