Firm,Day,OTH FP,OTH FP adj
Newspoll,1,21.0,18.28241723373739
SMS Morgan,45,14.5,15.351351569190289
SMS Morgan,73,17.5,18.35135156919029
Newspoll,93,22.0,19.28241723373739
SMS Morgan,101,13.5,14.351351569190289
SMS Morgan,156,12.0,12.851351569190289
Newspoll,185,21.0,18.28241723373739
SMS Morgan,185,12.5,13.351351569190289
SMS Morgan,213,12.0,12.851351569190289
SMS Morgan,241,12.5,13.351351569190289
Newspoll,274,21.0,18.28241723373739
SMS Morgan,282,12.0,12.851351569190289
SMS Morgan,310,10.0,10.851351569190289
SMS Morgan,352,12.5,13.351351569190289
SMS Morgan,381,13.0,13.851351569190289
SMS Morgan,424,12.5,13.351351569190289
Essential,458,19.0,20.37484238880723
Newspoll2,458,17.0,17.412357244844326
SMS Morgan,477,27.0,27.85135156919029
SMS Morgan,535,28.0,28.85135156919029
Galaxy,174,32.0,29.598603902037006
Essential,550,25.0,26.37484238880723
SMS Morgan,591,32.5,33.351351569190285
Essential,640,29.0,30.37484238880723
SMS Morgan,646,34.5,35.351351569190285
Essential,732,25.0,26.37484238880723
SMS Morgan,738,29.0,29.85135156919029
Galaxy,761,31.0,28.598603902037006
SMS Morgan,779,28.0,28.85135156919029
Essential,824,25.0,26.37484238880723
Essential,916,30.0,31.37484238880723
Essential,1005,27.0,28.37484238880723
Galaxy,1024,32.0,29.598603902037006
Essential,1097,28.0,29.432327718519996
Newspoll2,1189,38.0,35.95979008660872
Essential,1189,28.0,29.621208087576225
SMS Morgan,1247,35.5,34.74546495200861
ReachTEL,1264,26.700000000000003,26.672763363017555
Newspoll2,1294,31.0,28.95979008660872
Newspoll2,1308,27.0,24.95979008660872
ReachTEL,1309,27.0,26.972763363017553
