Firm,Day,ALP TPP,ALP TPP adj
SMS Morgan,1,58.60935,57.1232562979458
SMS Morgan,19,54.61685,53.1307562979458
SMS Morgan,59,56.03405,54.5479562979458
SMS Morgan,76,54.11685,52.6307562979458
SMS Morgan,117,56.45125,54.9651562979458
Newspoll,126,57.3966,56.73401486204937
SMS Morgan,145,55.85345,54.367356297945804
SMS Morgan,187,55.9191,54.4330062979458
SMS Morgan,216,56.9526,55.4665062979458
SMS Morgan,259,55.08255,53.5964562979458
Essential,262,51.9041,51.45281361493122
Essential,293,52.757799999999996,52.30651361493122
Newspoll2,309,51.7878,51.49453555956474
SMS Morgan,312,53.0019,51.5158062979458
Essential,323,53.6265,53.175213614931224
Essential,354,52.7728,52.32151361493122
SMS Morgan,370,53.0997,51.6136062979458
Essential,385,51.5922,51.14091361493122
Essential,414,53.5922,53.14091361493122
SMS Morgan,426,54.51905,53.0329562979458
Essential,445,52.5922,52.14091361493122
Essential,475,52.9384,52.487113614931225
Essential,507,52.265299999999996,51.81401361493122
SMS Morgan,487,55.33845,53.8523562979458
Essential,567,52.757799999999996,52.30651361493122
SMS Morgan,573,54.71065,53.2245562979458
ReachTEL,584,50.558080000000004,50.804241559465275
SMS Morgan,614,55.562200000000004,54.076106297945806
Essential,628,52.4459,51.994613614931225
Newspoll2,645,52.7878,52.49453555956474
Essential,659,51.9384,51.487113614931225
Galaxy,663,51.265299999999996,51.31235710313118
Essential,689,52.265299999999996,51.81401361493122
Essential,751,52.9384,52.487113614931225
Galaxy,755,50.524,50.57105710313118
ReachTEL,771,44.587450000000004,44.833611559465275
Essential,840,52.265299999999996,51.81401361493122
Galaxy,857,46.450199999999995,46.497257103131176
Essential,901,50.4609,50.009613614931226
Essential,932,52.134,51.682713614931224
Essential,963,54.119,53.66771361493122
Essential,993,51.9384,51.487113614931225
Newspoll2,1024,50.6265,50.33323555956474
Essential,1024,50.6115,50.16021361493122
Essential,1054,48.3146,47.86331361493122
Galaxy,1045,50.161500000000004,50.208557103131184
Newspoll2,1119,51.980900000000005,51.68763555956475
Newspoll2,1175,51.575900000000004,51.282635559564746
ReachTEL,1256,51.07621,51.322371559465275
Galaxy,1291,50.7565,50.80355710313118
Galaxy,1328,54.134,54.18105710313118
ReachTEL,1346,52.54146,52.78762155946527
Galaxy,1369,54.265299999999996,54.31235710313118
Newspoll2,1371,54.4459,54.15263555956474
ReachTEL,1387,54.99607,55.242231559465274
Galaxy,1395,53.4459,53.49295710313118
ReachTEL,1395,54.9354,55.18156155946527
Newspoll2,1395,53.9534,53.66013555956474
SMS Morgan,1397,57.0397,55.553606297945805
