Firm,Day,GRN FP,GRN FP adj
SMS Morgan,1,11.5,10.694
SMS Morgan,19,11.5,10.694
SMS Morgan,59,12.0,11.194
SMS Morgan,76,11.5,10.694
SMS Morgan,117,12.5,11.694
Newspoll,126,14.0,13.209
SMS Morgan,145,13.0,12.194
SMS Morgan,187,14.0,13.194
SMS Morgan,216,16.5,15.694
SMS Morgan,259,14.5,13.694
Essential,262,14.0,13.812
Essential,293,12.0,11.812
Newspoll2,309,12.0,11.711
SMS Morgan,312,13.5,12.694
Essential,323,10.0,9.812
Essential,354,12.0,11.812
SMS Morgan,370,13.0,12.194
Essential,385,13.0,12.812
Essential,414,13.0,12.812
SMS Morgan,426,12.0,11.194
Essential,445,13.0,12.812
Essential,475,11.0,10.812
Essential,507,12.0,11.812
SMS Morgan,487,13.0,12.194
Essential,567,12.0,11.812
SMS Morgan,573,13.5,12.694
ReachTEL,584,10.7,11.262
SMS Morgan,614,13.0,12.194
Essential,628,11.0,10.812
Newspoll2,645,12.0,11.711
Essential,659,11.0,10.812
Galaxy,663,12.0,12.086
Essential,689,12.0,11.812
Essential,751,11.0,10.812
Galaxy,755,10.0,10.086
ReachTEL,771,8.0,8.562
Essential,840,12.0,11.812
Galaxy,857,8.0,8.086
Essential,901,11.0,10.812
Essential,932,10.0,9.812
Essential,963,10.0,9.812
Essential,993,11.0,10.812
Newspoll2,1024,10.0,9.711
Essential,1024,10.0,9.812
Essential,1054,9.0,8.812
Galaxy,1045,10.0,10.086
Newspoll2,1119,11.0,10.711
Newspoll2,1175,11.0,10.753
ReachTEL,1256,10.9,10.893
Galaxy,1291,10.0,9.969
Galaxy,1328,10.0,9.969
ReachTEL,1346,10.9,10.765
Galaxy,1369,12.0,11.969
Newspoll2,1371,11.0,10.992
uComms,1387,10.3,10.337
Galaxy,1395,11.0,10.969
uComms,1395,11.0,11.037
Newspoll2,1395,11.0,10.992
SMS Morgan,1397,12.5,11.916
