Firm,Day,OTH FP,OTH FP adj
SMS Morgan,1,8.5,8.767468410273473
SMS Morgan,19,7.5,7.767468410273473
SMS Morgan,59,6.5,6.767468410273473
SMS Morgan,76,7.5,7.767468410273473
SMS Morgan,117,5.5,5.767468410273473
Newspoll,126,10.0,9.474392338335251
SMS Morgan,145,6.5,6.767468410273473
SMS Morgan,187,7.0,7.267468410273473
SMS Morgan,216,9.0,9.267468410273473
SMS Morgan,259,6.5,6.767468410273473
Essential,262,9.0,9.498558628873626
Essential,293,10.0,10.498558628873626
Newspoll2,309,6.0,6.951844445965433
SMS Morgan,312,8.0,8.267468410273473
Essential,323,9.0,9.498558628873626
Essential,354,8.0,8.498558628873626
SMS Morgan,370,7.0,7.267468410273473
Essential,385,8.0,8.498558628873626
Essential,414,8.0,8.498558628873626
SMS Morgan,426,8.5,8.767468410273473
Essential,445,8.0,8.498558628873626
Essential,475,10.0,10.498558628873626
Essential,507,9.0,9.498558628873626
SMS Morgan,487,8.5,8.767468410273473
Essential,567,10.0,10.498558628873626
SMS Morgan,573,13.5,13.767468410273473
ReachTEL,584,14.6,13.796250332477634
SMS Morgan,614,12.0,12.267468410273473
Essential,628,9.0,9.498558628873626
Newspoll2,645,6.0,6.951844445965433
Essential,659,10.0,10.498558628873626
Galaxy,663,9.0,8.852024658354344
Essential,689,9.0,9.498558628873626
Essential,751,10.0,10.498558628873626
Galaxy,755,12.0,11.852024658354344
ReachTEL,771,15.7,14.896250332477633
Essential,840,9.0,9.498558628873626
Galaxy,857,14.0,13.852024658354344
Essential,901,7.0,7.498558628873626
Essential,932,8.0,8.498558628873626
Essential,963,10.0,10.498558628873626
Essential,993,10.0,10.498558628873626
Newspoll2,1024,9.0,9.951844445965433
Essential,1024,11.0,11.498558628873626
Essential,1054,8.0,8.498558628873626
Galaxy,1045,13.0,12.852024658354344
Newspoll2,1119,13.0,13.951844445965433
Newspoll2,1175,10.0,10.880608577606363
ReachTEL,1256,11.600000000000001,10.924224544794773
Galaxy,1291,10.0,10.171648485931918
Galaxy,1328,8.0,8.171648485931918
ReachTEL,1346,12.0,11.35137058983174
Galaxy,1369,9.0,9.171648485931918
Newspoll2,1371,9.0,9.47693865690497
ReachTEL,1387,12.5,11.85137058983174
Galaxy,1395,9.0,9.171648485931918
ReachTEL,1395,10.4,9.75137058983174
Newspoll2,1395,8.0,8.47693865690497
SMS Morgan,1397,15.0,14.276015095559526
