Firm,Day,ALP TPP,ALP TPP adj
Essential,1,50.80521677457764,51.09666546451809
Essential,15,51.80188394137096,52.09333263131141
Essential,31,52.29526556172026,52.58671425166071
Newspoll2,47,49.95466253686914,49.834455599797124
Essential,45,51.803647347213335,52.09509603715379
Newspoll2,61,49.95425547368351,49.8340485366115
Essential,59,54.80706361524598,55.09851230518643
Essential,73,50.93757277412921,51.22902146406966
Newspoll2,75,52.24874202419154,52.12853508711953
Essential,87,51.756915706502674,52.04836439644313
Newspoll2,89,51.2416303196887,51.12142338261669
Essential,101,52.26397127545522,52.55541996539567
Newspoll2,103,51.82146424901201,51.70125731194
Essential,115,52.26381251598358,52.55526120592403
Newspoll2,117,52.255032001779135,52.13482506470712
Essential,129,52.26408027389635,52.5555289638368
Newspoll2,131,52.89391301071265,52.77370607364064
Ipsos,137,50.577732455350706,50.43245862827712
Essential,143,51.28507652353223,51.576525213472685
Newspoll2,145,51.314074950093165,51.19386801302115
Essential,157,53.103868120874864,53.395316810815316
ReachTEL,185,51.27158796586482,51.23680343823901
Essential,188,51.80050240310268,52.091951093043136
Essential,198,51.12520173652799,51.41665042646844
Newspoll2,208,53.06767270175432,52.947465764682306
Essential,212,51.12590905747101,51.417357747411465
Essential,226,52.705174168566664,52.996622858507116
Newspoll2,229,53.922122602105986,53.801915665033974
Essential,240,52.54495009136946,52.83639878130991
Newspoll2,250,51.102605743433315,50.9823988063613
Ipsos,256,55.43374167456713,55.28846784749354
Essential,254,54.0971166630561,54.38856535299655
Newspoll2,264,52.42892932699362,52.308722389921606
Essential,266,52.10419647871277,52.395645168653225
Essential,280,52.10381376888584,52.395262458826295
Newspoll2,285,51.59395213034927,51.47374519327726
Essential,294,53.26401753556259,53.55546622550304
Ipsos,304,52.98966333771548,52.84438951064189
ReachTEL,304,50.701423337715475,50.666638810089665
Newspoll2,307,52.50143038390979,52.38122344683778
Essential,308,52.26412282581189,52.55557151575234
Newspoll2,321,52.501532247768964,52.38132531069695
Essential,322,52.26381861518584,52.55526730512629
Essential,336,50.18929004286126,50.48073873280171
Newspoll2,341,52.53694979066981,52.416742853597796
YouGov,349,53.7628830566423,53.83528374674651
