Firm,Day,ALP FP,ALP FP adj
SMS Morgan,1,31.0,36.79984880933859
SMS Morgan,42,29.5,35.29984880933859
SMS Morgan,70,27.5,33.29984880933859
SMS Morgan,112,28.5,34.29984880933859
SMS Morgan,141,25.0,30.79984880933859
Newspoll2,143,33.0,33.15863481128737
Essential,187,34.0,32.818666771188504
SMS Morgan,184,24.5,30.29984880933859
Essential,218,33.0,31.8186667711885
Newspoll2,234,33.0,33.15863481128737
SMS Morgan,239,22.5,28.29984880933859
Essential,248,33.0,31.8186667711885
Essential,279,34.0,32.818666771188504
SMS Morgan,295,24.5,30.29984880933859
Essential,310,34.0,32.818666771188504
Essential,339,33.0,31.8186667711885
SMS Morgan,351,27.0,32.79984880933859
Essential,401,37.0,35.818666771188504
SMS Morgan,406,29.0,34.79984880933859
Essential,461,36.0,34.818666771188504
SMS Morgan,498,30.5,36.29984880933859
Essential,492,36.0,34.818666771188504
ReachTEL,502,38.0,38.974152412309444
Newspoll2,509,36.0,36.15863481128737
Essential,523,39.0,37.818666771188504
SMS Morgan,539,31.5,37.29984880933859
Essential,553,39.0,37.818666771188504
Essential,584,36.0,34.818666771188504
Newspoll2,589,36.0,36.15863481128737
ReachTEL,600,35.0,35.974152412309444
Essential,614,39.0,37.818666771188504
ReachTEL,650,28.0,28.974152412309444
Essential,676,36.0,34.818666771188504
Newspoll2,690,34.0,34.15863481128737
Essential,766,37.0,35.818666771188504
Essential,827,37.0,35.818666771188504
Essential,858,38.0,36.818666771188504
Essential,889,38.0,36.818666771188504
ReachTEL,908,33.7,34.674152412309446
Essential,919,40.0,38.818666771188504
Essential,950,37.0,35.818666771188504
Essential,980,40.0,38.818666771188504
Newspoll2,1043,34.0,34.15863481128737
ReachTEL,1069,34.6,35.574152412309445
ReachTEL,1258,33.5,34.17245011569131
Galaxy,1328,39.0,38.57443641871204
ReachTEL,1329,35.5,35.860520622577646
Newspoll2,1387,36.0,36.149463556781505
Essential,1404,36.0,35.66026274624193
ReachTEL,1426,35.8,36.16052062257764
Newspoll2,1429,36.0,36.149463556781505
Galaxy,1435,38.0,37.57443641871204
Newspoll2,1439,35.0,35.149463556781505
