Firm,Day,ALP FP,ALP FP adj
Essential,1,38.0,37.934330879462564
Galaxy,55,37.0,37.02014142375254
Galaxy,147,38.0,38.02014142375254
Galaxy,237,35.0,35.02014142375254
Galaxy,330,36.0,36.02014142375254
Galaxy,426,35.0,35.02014142375254
Galaxy,622,32.0,32.02014142375254
Galaxy,783,34.0,34.02014142375254
Galaxy,902,32.0,32.030500338651166
Newspoll2,954,34.0,33.944502343515424
Galaxy,1018,37.0,37.03336557043164
Newspoll2,1032,37.0,36.944502343515424
Morgan SMS,1041,36.0,36.1043088432817
Newspoll2,1048,37.0,36.944502343515424
