Firm,Day,TPP ALP,TPP ALP adj
Newspoll2,1,47.0,46.98787201144235
Newspoll2,22,49.0,48.98787201144235
Newspoll2,42,49.0,48.98787201144235
Newspoll2,64,49.0,48.98787201144235
Newspoll2,85,49.0,48.98787201144235
Newspoll2,106,50.0,49.98787201144235
Newspoll2,119,49.0,48.98787201144235
Newspoll2,133,48.0,47.98787201144235
Newspoll2,168,51.0,50.98787201144235
Newspoll2,189,52.0,51.98787201144235
ANU,184,51.5,51.46240755122238
Essential,168,52.12765957,52.13981438127779
Essential,182,52.12765957,52.13981438127779
Essential,196,53.26086957,53.273024381277786
Essential,210,51.61290323,51.62505804127779
Newspoll2,210,51.0,50.98787201144235
Essential,225,50.53763441,50.54978922127779
Newspoll2,231,51.0,50.98787201144235
Essential,239,52.17391304,52.18606785127779
Essential,246,50.54945055,50.56160536127779
Newspoll2,251,49.0,48.98787201144235
Essential,253,51.08695652,51.09911133127779
Essential,260,50.53763441,50.54978922127779
Essential,267,47.31182796,47.32398277127779
Newspoll2,273,50.0,49.98787201144235
Morgan multi-mode,271,48.5,48.130539758595695
Essential,274,48.38709677,48.39925158127779
Essential,281,51.08695652,51.09911133127779
Essential,288,46.23655914,46.248713951277786
Newspoll2,294,49.0,48.98787201144235
Essential,295,50.0,50.01215481127779
Essential,302,50.53763441,50.54978922127779
Essential,309,48.93617021,48.94832502127779
Newspoll2,315,49.0,48.98787201144235
Essential,318,48.91304348,48.92519829127779
Essential,325,50.0,50.01215481127779
Morgan multi-mode,327,49.5,49.130539758595695
Essential,332,48.93617021,48.94832502127779
Newspoll2,335,49.0,48.98787201144235
Essential,339,48.91304348,48.92519829127779
Essential,351,50.54945055,50.56160536127779
Newspoll2,357,47.0,46.98787201144235
Morgan multi-mode,355,48.5,48.130539758595695
Essential,365,51.08695652,51.09911133127779
Newspoll2,378,48.0,47.98787201144235
Essential,379,48.9,48.91215481127779
Morgan multi-mode,383,46.0,45.630539758595695
Essential,393,48.9,48.91215481127779
Newspoll2,399,50.0,49.98787201144235
Essential,407,51.1,51.11215481127779
Newspoll2,420,49.0,48.98787201144235
Essential,421,46.2,46.21215481127779
Essential,435,49.5,49.51215481127779
Newspoll2,441,48.0,47.98787201144235
Essential,442,48.4,48.41215481127779
Essential,449,48.4,48.41215481127779
Newspoll2,469,49.0,48.98787201144235
Morgan multi-mode,481,49.5,49.130539758595695
Newspoll2,490,49.0,48.98787201144235
Essential,463,51.1,51.11215481127779
Essential,477,51.0,51.01215481127779
Essential,491,46.7,46.71215481127779
Essential,505,50.5,50.51215481127779
Essential,540,48.4,48.41215481127779
Newspoll2,553,50.0,49.98787201144235
Essential,554,51.6,51.61215481127779
Morgan multi-mode,565,50.5,50.130539758595695
Newspoll2,574,50.0,49.98787201144235
Newspoll2,595,52.0,51.98787201144235
Morgan multi-mode,593,50.5,50.130539758595695
Newspoll2,609,52.0,51.98787201144235
Newspoll2,637,51.0,50.98787201144235
Newspoll2,659,51.0,50.98787201144235
Newspoll2,679,50.0,49.98787201144235
Morgan multi-mode,677,51.0,50.630539758595695
Morgan multi-mode,691,50.5,50.130539758595695
Newspoll2,700,51.0,50.98787201144235
Newspoll2,721,53.0,52.98787201144235
Essential,567,50.0,50.01215481127779
Essential,581,51.61290323,51.62505804127779
Essential,595,50.0,50.01215481127779
Essential,609,50.53763441,50.54978922127779
Essential,623,51.61290323,51.62505804127779
Essential,637,50.0,50.01215481127779
Essential,651,52.17391304,52.18606785127779
Essential,665,52.17391304,52.18606785127779
Essential,679,52.17391304,52.18606785127779
Essential,693,51.08695652,51.09911133127779
Essential,707,52.17391304,52.18606785127779
Essential,721,51.08695652,51.09911133127779
Morgan multi-mode,719,52.5,52.130539758595695
Morgan multi-mode,733,53.5,53.130539758595695
Newspoll2,742,53.0,52.98787201144235
Morgan multi-mode,747,54.0,53.630539758595695
Newspoll2,763,54.0,53.98787201144235
Morgan multi-mode,761,54.5,54.130539758595695
Morgan multi-mode,775,52.5,52.130539758595695
Newspoll2,784,53.0,52.98787201144235
Morgan multi-mode,789,54.0,53.630539758595695
Newspoll2,798,53.0,52.98787201144235
Morgan multi-mode,803,53.0,52.630539758595695
Newspoll2,819,54.0,53.98787201144235
Morgan multi-mode,817,54.0,53.630539758595695
Essential,735,51.08695652,51.09911133127779
Essential,749,51.08695652,51.09911133127779
Essential,763,51.61290323,51.62505804127779
Essential,777,50.0,50.01215481127779
Essential,791,51.06382979,51.07598460127779
Essential,805,50.54945055,50.56160536127779
Essential,819,52.68817204,52.70032685127779
Morgan multi-mode,831,53.5,53.130539758595695
Newspoll2,840,53.0,52.98787201144235
Essential,833,51.11111111,51.12326592127779
Essential,847,51.61290323,51.62505804127779
Morgan multi-mode,845,55.5,55.130539758595695
Newspoll2,861,53.0,52.98787201144235
