Firm,Day,@TPP,@TPP adj,@TPP reported
SMS Morgan,2,52.98905,51.97401950868111,51.5
Redbridge,1,54.076950000000004,53.95273045988632,54.0
SMS Morgan,16,52.85775,51.842719508681114,51.5
Galaxy,54,55.4759,55.15303962914374,55.0
SMS Morgan,57,58.692150000000005,57.677119508681116,58.5
ResolvePM,263,53.279898989898996,53.21499978797915,nan
Redbridge,274,51.757799999999996,51.63358045988631,52.4
ResolvePM,324,55.581500000000005,55.51660079808016,nan
ResolvePM,385,55.059000000000005,54.99410079808016,nan
SMS Morgan,423,59.16877551020408,58.15374501888519,58.0
Newspoll2,429,57.4459,57.45285189661392,58.0
SMS Morgan,436,60.663450000000005,59.648419508681116,59.5
ResolvePM,457,58.38590000000001,58.32100079808016,nan
ResolvePM,566,54.98663366336634,54.90914388111888,nan
SMS Morgan,655,60.4333,59.133820543049744,59.5
SMS Morgan,697,60.549600000000005,59.175265552094125,60.5
Newspoll2,709,56.5772,56.99617404712855,56.0
Essential,719,55.41654000000001,56.00453374739244,nan
Morgan multi-mode,700,58.1745918367347,56.82686952302864,58.0
ResolvePM,720,60.6978,60.38108919152771,nan
Morgan multi-mode,731,61.61892857142856,60.271206257722504,60.0
Morgan multi-mode,761,62.035561224489804,60.687838910783746,60.5
ResolvePM,769,57.27050505050505,56.95379424203276,59.0
Newspoll2,779,54.0547,54.47367404712855,54.0
Freshwater,782,55.859100000000005,55.475997819969685,56.0
SMS Morgan,787,58.9551,57.58076555209412,57.0
Redbridge,780,54.712042042042036,54.55947819375871,53.5
ResolvePM,795,53.29169,52.97497919152771,52.7
SMS Morgan,800,56.615,55.24066555209412,55.0
Newspoll2,800,55.2203,55.63927404712855,54.5
