Firm,Day,OTH FP,OTH FP adj
Newspoll2,1,13.0,13.327
Newspoll2,126,14.0,14.327
ResolvePM,233,17.0,16.387
Newspoll2,287,15.0,15.327
ResolvePM,373,19.0,18.387
Newspoll2,405,15.0,15.327
Freshwater,495,15.0,15.358
ResolvePM,495,19.0,18.387
Redbridge,557,19.0,18.978
YouGov2,606,13.0,13.415
ResolvePM,618,11.0,10.387
uComms,660,15.9,16.081
uComms,669,14.3,14.481
uComms,729,16.3,16.481
Newspoll,748,15.0,15.201
uComms,784,16.667,16.975
YouGov2,782,14.0,14.337
ResolvePM,774,18.0,17.332
Redbridge,770,13.0,13.026
uComms,813,11.19,11.579
YouGov2,872,17.0,17.213
Wolf&Smith,909,21.0,20.496
ResolvePM,880,21.0,20.214
Redbridge,866,18.0,18.149
Newspoll,937,16.0,16.489
Freshwater,950,15.0,15.439
YouGov2,965,17.0,17.213
ResolvePM,969,17.0,16.943
Newspoll,973,14.0,14.489
uComms,976,14.2,14.701
