Firm,Day,ONP FP,ONP FP adj
Morgan multi-mode,19,3.5,4.69
Morgan multi-mode,26,4.0,5.19
Newspoll2,69,6.0,5.404
Morgan multi-mode,82,3.991,5.182
Morgan multi-mode,89,2.586,3.777
ResolvePM,90,5.0,5.534
Morgan multi-mode,96,4.025,5.216
Morgan multi-mode,103,4.064,5.254
Newspoll2,105,7.0,6.404
Morgan multi-mode,110,3.727,4.918
Morgan multi-mode,117,3.928,5.118
ResolvePM,120,6.0,6.534
Morgan multi-mode,124,3.401,4.591
Morgan multi-mode,131,3.586,4.777
Morgan multi-mode,138,3.598,4.788
ResolvePM,141,5.0,5.534
Morgan multi-mode,145,4.184,5.374
Morgan multi-mode,152,4.255,5.446
Morgan multi-mode,159,2.979,4.169
Newspoll2,161,6.0,5.404
ResolvePM,160,4.0,4.534
Morgan multi-mode,162,3.0,4.19
Morgan multi-mode,166,3.909,5.099
Morgan multi-mode,173,2.165,3.355
Morgan multi-mode,180,3.788,4.978
Morgan multi-mode,187,4.04,5.231
Morgan multi-mode,194,2.679,3.869
Newspoll2,195,6.0,5.404
ResolvePM,195,4.0,4.534
Morgan multi-mode,203,4.452,5.642
Freshwater,210,4.0,4.119
Morgan multi-mode,233,5.161,6.352
ResolvePM,246,4.0,4.534
Morgan multi-mode,247,5.223,6.413
Newspoll2,259,6.0,5.404
Essential,259,6.316,5.489
Morgan multi-mode,257,5.42,6.611
Morgan multi-mode,264,5.005,6.196
Morgan multi-mode,271,5.309,6.499
ResolvePM,272,5.0,5.534
Essential,272,6.383,5.556
Morgan multi-mode,278,4.113,5.303
Morgan multi-mode,285,5.167,6.357
Essential,286,7.527,6.7
Newspoll2,287,7.0,6.404
Morgan multi-mode,292,4.865,6.055
Morgan multi-mode,299,5.206,6.396
Essential,300,5.263,4.437
ResolvePM,300,5.0,5.534
Morgan multi-mode,306,5.998,7.188
Newspoll2,314,8.0,7.404
Morgan multi-mode,313,4.941,6.131
Essential,314,6.316,5.489
Morgan multi-mode,320,6.311,7.502
Morgan multi-mode,327,4.984,6.174
Essential,328,6.186,5.359
ResolvePM,328,6.0,6.534
Newspoll2,335,7.0,6.404
Morgan multi-mode,334,4.672,5.862
Essential,342,5.319,4.493
Morgan multi-mode,341,5.778,6.968
Morgan multi-mode,348,5.42,6.61
Newspoll2,356,7.0,6.404
Essential,356,5.319,4.493
ResolvePM,356,5.0,5.534
Morgan multi-mode,355,4.868,6.058
Morgan multi-mode,362,4.757,5.947
Essential,370,6.316,5.489
Morgan multi-mode,369,4.676,5.866
Newspoll2,377,6.0,5.404
Morgan multi-mode,376,5.464,6.655
Essential,384,5.263,4.437
ResolvePM,384,6.0,6.534
Newspoll2,398,6.0,5.404
Essential,398,7.527,6.7
Essential,412,8.421,7.594
Newspoll2,419,7.0,6.404
ResolvePM,419,6.0,6.534
Essential,426,7.447,6.62
Essential,440,8.602,7.776
ResolvePM,447,5.0,5.534
Essential,454,5.263,4.437
Morgan multi-mode,453,5.5,6.69
Morgan multi-mode,460,5.0,6.19
Newspoll,468,7.0,6.89
Essential,468,7.447,6.62
ResolvePM,475,5.0,5.534
Essential,482,8.511,7.684
Newspoll,490,6.0,5.89
Essential,496,6.383,5.556
Newspoll2,503,5.0,4.404
ResolvePM,495,7.0,7.534
YouGov2,505,6.0,5.199
Newspoll,505,6.0,5.89
Morgan multi-mode,509,5.0,6.19
Morgan multi-mode,516,4.5,5.69
Essential,524,7.368,6.542
Newspoll,529,6.0,5.89
ResolvePM,531,7.0,7.534
Essential,538,7.368,6.542
YouGov2,540,7.0,6.199
Morgan multi-mode,544,6.5,7.69
Newspoll,550,6.0,5.89
Essential,552,7.447,6.62
Morgan multi-mode,551,5.0,6.19
ResolvePM,559,5.0,5.534
Morgan multi-mode,558,5.0,6.19
YouGov2,561,7.0,6.199
Morgan multi-mode,565,5.0,6.19
Essential,566,6.316,5.489
Newspoll,571,7.0,6.89
Morgan multi-mode,572,4.5,5.69
Morgan multi-mode,594,5.0,6.19
Morgan multi-mode,601,4.5,5.69
YouGov2,604,7.0,6.199
Morgan multi-mode,608,5.0,6.19
Morgan multi-mode,615,5.5,6.69
