Firm,Day,@TPP,@TPP adj,@TPP reported
Dynata,1,55.145,55.435,53.0
Wolf&Smith,703,59.23,59.274,60.0
DemosAU,890,58.359,58.99,59.0
YouGov2,980,67.864,67.031,67.0
DemosAU,1122,65.031,65.318,66.0
Fox & Hedgehog,1172,61.633,62.112,61.0
Fox & Hedgehog,1238,61.257,61.736,61.0
YouGov2,1246,59.315,60.295,59.0
Newspoll3,1248,65.274,63.752,nan
DemosAU,1242,63.419,63.558,nan
SMS Morgan,1255,58.576,59.722,61.0
Fox & Hedgehog,1273,60.237,60.716,60.0
YouGov2,1275,59.98,60.96,59.0
DemosAU,1277,59.96,60.099,nan
Newspoll3,1277,62.457,60.936,nan
