Firm,Day,GRN FP,GRN FP adj
ResolvePM,1,9.0,9.445
ResolvePM,62,10.0,10.445
ResolvePM,124,9.0,9.445
ResolvePM,277,12.0,12.445
ResolvePM,341,12.0,12.445
Redbridge,337,11.0,11.583
ResolvePM,397,11.0,11.445
ResolvePM,453,12.0,12.445
Wolf&Smith,476,12.0,11.721
ResolvePM,509,11.0,11.445
Redbridge,573,9.0,9.583
ResolvePM,581,11.0,11.445
ResolvePM,643,14.0,14.445
DemosAU,695,14.0,12.536
ResolvePM,702,11.0,11.445
ResolvePM,793,13.0,13.445
ResolvePM,855,10.0,10.445
DemosAU,904,13.0,11.536
ResolvePM,916,10.0,10.445
Redbridge,946,10.0,10.583
Spectre,959,11.0,10.717
ResolvePM,993,10.0,10.454
SMS Morgan,1025,12.5,12.034
DemosAU,1035,15.0,13.679
ResolvePM,1047,10.0,10.477
ResolvePM,1097,10.0,10.496
DemosAU,1144,13.0,11.805
ResolvePM,1158,11.0,11.496
DemosAU,1211,13.0,11.805
