Firm,Day,OTH FP,OTH FP adj
ResolvePM,1,15.0,14.772
ResolvePM,62,16.0,15.772
ResolvePM,124,17.0,16.772
ResolvePM,277,17.0,16.772
ResolvePM,341,19.0,18.772
Redbridge,337,14.0,15.19
ResolvePM,397,22.0,21.772
ResolvePM,453,20.0,19.772
Wolf&Smith,476,18.0,18.053
ResolvePM,509,20.0,19.772
Redbridge,573,13.0,14.19
ResolvePM,581,20.0,19.772
ResolvePM,643,19.0,18.772
DemosAU,695,19.0,19.5
ResolvePM,702,20.0,19.772
ResolvePM,793,18.0,17.772
ResolvePM,855,23.0,22.772
DemosAU,904,20.0,20.5
ResolvePM,916,26.0,25.772
Redbridge,946,22.0,23.19
Spectre,959,29.0,28.528
ResolvePM,993,26.0,25.74
SMS Morgan,1025,43.5,41.755
DemosAU,1035,28.0,28.553
ResolvePM,1047,36.0,35.662
ResolvePM,1097,32.0,31.598
DemosAU,1144,35.0,35.599
ResolvePM,1158,37.0,36.598
DemosAU,1211,30.0,30.599
