Start date day,Month,Year
18,01,1978
Day,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
0,DEM FP,4.514,6.148,6.502,6.756,6.979,7.081,7.234,7.347,7.477,7.58,7.673,7.742,7.808,7.874,7.945,8.0,8.077,8.131,8.183,8.226,8.267,8.302,8.342,8.391,8.438,8.476,8.533,8.598,8.639,8.681,8.712,8.748,8.773,8.815,8.851,8.89,8.925,8.958,8.998,9.033,9.073,9.104,9.142,9.182,9.214,9.244,9.277,9.326,9.367,9.397,9.438,9.477,9.511,9.547,9.579,9.62,9.643,9.677,9.714,9.754,9.781,9.813,9.844,9.895,9.925,9.953,9.988,10.033,10.071,10.101,10.139,10.183,10.221,10.256,10.297,10.343,10.384,10.416,10.47,10.526,10.565,10.606,10.653,10.715,10.774,10.819,10.899,10.997,11.073,11.128,11.218,11.311,11.365,11.477,11.583,11.702,11.814,11.987,12.291,12.759,13.584
1,DEM FP,4.514,6.148,6.502,6.756,6.979,7.081,7.234,7.347,7.477,7.58,7.673,7.742,7.808,7.874,7.945,8.0,8.077,8.131,8.183,8.226,8.267,8.302,8.342,8.391,8.438,8.476,8.533,8.598,8.639,8.681,8.712,8.748,8.773,8.815,8.851,8.89,8.925,8.958,8.998,9.033,9.073,9.104,9.142,9.182,9.214,9.244,9.277,9.326,9.367,9.397,9.438,9.477,9.511,9.547,9.579,9.62,9.643,9.677,9.714,9.754,9.781,9.813,9.844,9.895,9.925,9.953,9.988,10.033,10.071,10.101,10.139,10.183,10.221,10.256,10.297,10.343,10.384,10.416,10.47,10.526,10.565,10.606,10.653,10.715,10.774,10.819,10.899,10.997,11.073,11.128,11.218,11.311,11.365,11.477,11.583,11.702,11.814,11.987,12.291,12.759,13.584
2,DEM FP,4.638,6.164,6.513,6.738,6.994,7.174,7.305,7.409,7.494,7.621,7.694,7.771,7.823,7.866,7.971,8.019,8.078,8.135,8.189,8.227,8.302,8.358,8.392,8.435,8.468,8.513,8.56,8.594,8.633,8.66,8.693,8.734,8.755,8.796,8.838,8.887,8.922,8.965,8.999,9.029,9.062,9.087,9.126,9.155,9.197,9.232,9.266,9.295,9.336,9.372,9.406,9.44,9.473,9.51,9.538,9.575,9.609,9.648,9.695,9.734,9.767,9.802,9.83,9.854,9.883,9.911,9.953,9.985,10.016,10.066,10.098,10.137,10.177,10.227,10.261,10.303,10.365,10.399,10.43,10.469,10.518,10.579,10.628,10.699,10.768,10.865,10.913,10.955,11.006,11.08,11.172,11.259,11.348,11.452,11.585,11.681,11.812,11.989,12.216,12.586,13.77
3,DEM FP,4.638,6.164,6.513,6.738,6.994,7.174,7.305,7.409,7.494,7.621,7.694,7.771,7.823,7.866,7.971,8.019,8.078,8.135,8.189,8.227,8.302,8.358,8.392,8.435,8.468,8.513,8.56,8.594,8.633,8.66,8.693,8.734,8.755,8.796,8.838,8.887,8.922,8.965,8.999,9.029,9.062,9.087,9.126,9.155,9.197,9.232,9.266,9.295,9.336,9.372,9.406,9.44,9.473,9.51,9.538,9.575,9.609,9.648,9.695,9.734,9.767,9.802,9.83,9.854,9.883,9.911,9.953,9.985,10.016,10.066,10.098,10.137,10.177,10.227,10.261,10.303,10.365,10.399,10.43,10.469,10.518,10.579,10.628,10.699,10.768,10.865,10.913,10.955,11.006,11.08,11.172,11.259,11.348,11.452,11.585,11.681,11.812,11.989,12.216,12.586,13.77
4,DEM FP,4.538,6.21,6.604,6.884,7.07,7.182,7.37,7.464,7.549,7.619,7.705,7.796,7.882,7.941,7.983,8.025,8.085,8.133,8.19,8.247,8.295,8.346,8.382,8.427,8.467,8.51,8.553,8.585,8.624,8.67,8.699,8.739,8.77,8.81,8.838,8.864,8.898,8.931,8.96,8.996,9.039,9.06,9.089,9.13,9.162,9.201,9.245,9.284,9.31,9.354,9.381,9.427,9.481,9.513,9.544,9.577,9.611,9.643,9.677,9.718,9.746,9.778,9.822,9.848,9.882,9.915,9.945,9.991,10.032,10.074,10.104,10.161,10.198,10.233,10.267,10.314,10.351,10.4,10.426,10.453,10.5,10.584,10.655,10.695,10.745,10.8,10.866,10.913,10.975,11.053,11.126,11.22,11.289,11.361,11.467,11.57,11.698,11.969,12.194,12.607,13.677
5,DEM FP,4.538,6.21,6.604,6.884,7.07,7.182,7.37,7.464,7.549,7.619,7.705,7.796,7.882,7.941,7.983,8.025,8.085,8.133,8.19,8.247,8.295,8.346,8.382,8.427,8.467,8.51,8.553,8.585,8.624,8.67,8.699,8.739,8.77,8.81,8.838,8.864,8.898,8.931,8.96,8.996,9.039,9.06,9.089,9.13,9.162,9.201,9.245,9.284,9.31,9.354,9.381,9.427,9.481,9.513,9.544,9.577,9.611,9.643,9.677,9.718,9.746,9.778,9.822,9.848,9.882,9.915,9.945,9.991,10.032,10.074,10.104,10.161,10.198,10.233,10.267,10.314,10.351,10.4,10.426,10.453,10.5,10.584,10.655,10.695,10.745,10.8,10.866,10.913,10.975,11.053,11.126,11.22,11.289,11.361,11.467,11.57,11.698,11.969,12.194,12.607,13.677
6,DEM FP,4.542,6.146,6.61,6.808,7.014,7.155,7.322,7.427,7.51,7.632,7.731,7.797,7.872,7.924,7.982,8.063,8.103,8.149,8.194,8.237,8.267,8.312,8.359,8.409,8.456,8.491,8.536,8.594,8.634,8.667,8.706,8.74,8.766,8.825,8.851,8.878,8.915,8.943,8.979,9.012,9.037,9.078,9.113,9.145,9.171,9.205,9.232,9.257,9.284,9.336,9.381,9.401,9.437,9.487,9.526,9.551,9.575,9.617,9.66,9.693,9.724,9.749,9.786,9.825,9.862,9.905,9.929,9.964,9.996,10.034,10.072,10.114,10.139,10.189,10.239,10.299,10.341,10.384,10.442,10.491,10.522,10.56,10.615,10.671,10.708,10.764,10.807,10.876,10.954,11.015,11.106,11.194,11.24,11.328,11.406,11.525,11.716,11.935,12.109,12.466,13.838
7,DEM FP,4.542,6.146,6.61,6.808,7.014,7.155,7.322,7.427,7.51,7.632,7.731,7.797,7.872,7.924,7.982,8.063,8.103,8.149,8.194,8.237,8.267,8.312,8.359,8.409,8.456,8.491,8.536,8.594,8.634,8.667,8.706,8.74,8.766,8.825,8.851,8.878,8.915,8.943,8.979,9.012,9.037,9.078,9.113,9.145,9.171,9.205,9.232,9.257,9.284,9.336,9.381,9.401,9.437,9.487,9.526,9.551,9.575,9.617,9.66,9.693,9.724,9.749,9.786,9.825,9.862,9.905,9.929,9.964,9.996,10.034,10.072,10.114,10.139,10.189,10.239,10.299,10.341,10.384,10.442,10.491,10.522,10.56,10.615,10.671,10.708,10.764,10.807,10.876,10.954,11.015,11.106,11.194,11.24,11.328,11.406,11.525,11.716,11.935,12.109,12.466,13.838
8,DEM FP,4.541,6.282,6.626,6.865,7.009,7.171,7.351,7.483,7.581,7.667,7.728,7.793,7.859,7.918,7.965,8.016,8.066,8.134,8.176,8.225,8.274,8.33,8.373,8.412,8.461,8.482,8.525,8.567,8.603,8.628,8.669,8.706,8.733,8.763,8.797,8.828,8.859,8.907,8.928,8.959,9.006,9.055,9.079,9.111,9.143,9.169,9.226,9.25,9.29,9.331,9.371,9.406,9.439,9.475,9.511,9.546,9.577,9.611,9.638,9.677,9.707,9.728,9.773,9.819,9.846,9.889,9.916,9.966,10.011,10.047,10.085,10.118,10.154,10.196,10.236,10.266,10.308,10.383,10.426,10.473,10.52,10.566,10.6,10.657,10.7,10.747,10.787,10.85,10.909,10.974,11.051,11.121,11.193,11.304,11.412,11.519,11.685,11.896,12.008,12.286,13.652
