Start date day,Month,Year
04,04,1990
Day,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
0,ALP FP,38.937,39.514,39.821,39.968,40.09,40.234,40.346,40.427,40.492,40.568,40.62,40.69,40.742,40.781,40.818,40.859,40.899,40.938,40.973,41.025,41.062,41.111,41.151,41.181,41.204,41.231,41.254,41.293,41.326,41.358,41.392,41.413,41.439,41.463,41.498,41.525,41.547,41.572,41.596,41.631,41.654,41.684,41.709,41.742,41.765,41.792,41.818,41.846,41.868,41.905,41.931,41.953,41.973,42.0,42.02,42.044,42.071,42.095,42.116,42.136,42.165,42.192,42.227,42.252,42.278,42.3,42.328,42.35,42.387,42.414,42.448,42.472,42.503,42.539,42.568,42.592,42.628,42.663,42.699,42.729,42.768,42.798,42.837,42.891,42.931,42.978,43.021,43.069,43.14,43.202,43.263,43.323,43.378,43.453,43.557,43.66,43.754,43.894,44.092,44.324,44.935
1,ALP FP,38.937,39.514,39.821,39.968,40.09,40.234,40.346,40.427,40.492,40.568,40.62,40.69,40.742,40.781,40.818,40.859,40.899,40.938,40.973,41.025,41.062,41.111,41.151,41.181,41.204,41.231,41.254,41.293,41.326,41.358,41.392,41.413,41.439,41.463,41.498,41.525,41.547,41.572,41.596,41.631,41.654,41.684,41.709,41.742,41.765,41.792,41.818,41.846,41.868,41.905,41.931,41.953,41.973,42.0,42.02,42.044,42.071,42.095,42.116,42.136,42.165,42.192,42.227,42.252,42.278,42.3,42.328,42.35,42.387,42.414,42.448,42.472,42.503,42.539,42.568,42.592,42.628,42.663,42.699,42.729,42.768,42.798,42.837,42.891,42.931,42.978,43.021,43.069,43.14,43.202,43.263,43.323,43.378,43.453,43.557,43.66,43.754,43.894,44.092,44.324,44.935
2,ALP FP,38.867,39.507,39.755,39.992,40.116,40.248,40.323,40.394,40.473,40.544,40.61,40.674,40.717,40.77,40.813,40.835,40.869,40.906,40.952,40.983,41.024,41.058,41.089,41.113,41.15,41.176,41.206,41.249,41.281,41.305,41.329,41.361,41.389,41.422,41.45,41.478,41.504,41.53,41.55,41.576,41.604,41.629,41.661,41.692,41.712,41.737,41.759,41.787,41.821,41.841,41.863,41.893,41.922,41.952,41.976,41.993,42.014,42.041,42.067,42.092,42.12,42.141,42.165,42.192,42.219,42.248,42.279,42.305,42.334,42.365,42.393,42.417,42.449,42.472,42.5,42.542,42.567,42.603,42.642,42.674,42.703,42.737,42.786,42.831,42.872,42.919,42.96,43.005,43.05,43.106,43.162,43.213,43.294,43.367,43.446,43.534,43.653,43.803,43.972,44.164,44.746
3,ALP FP,38.867,39.507,39.755,39.992,40.116,40.248,40.323,40.394,40.473,40.544,40.61,40.674,40.717,40.77,40.813,40.835,40.869,40.906,40.952,40.983,41.024,41.058,41.089,41.113,41.15,41.176,41.206,41.249,41.281,41.305,41.329,41.361,41.389,41.422,41.45,41.478,41.504,41.53,41.55,41.576,41.604,41.629,41.661,41.692,41.712,41.737,41.759,41.787,41.821,41.841,41.863,41.893,41.922,41.952,41.976,41.993,42.014,42.041,42.067,42.092,42.12,42.141,42.165,42.192,42.219,42.248,42.279,42.305,42.334,42.365,42.393,42.417,42.449,42.472,42.5,42.542,42.567,42.603,42.642,42.674,42.703,42.737,42.786,42.831,42.872,42.919,42.96,43.005,43.05,43.106,43.162,43.213,43.294,43.367,43.446,43.534,43.653,43.803,43.972,44.164,44.746
4,ALP FP,38.887,39.465,39.786,39.942,40.095,40.231,40.312,40.389,40.47,40.513,40.564,40.618,40.664,40.713,40.759,40.799,40.84,40.882,40.932,40.96,40.995,41.031,41.07,41.103,41.132,41.168,41.192,41.23,41.259,41.291,41.328,41.357,41.381,41.403,41.428,41.452,41.475,41.501,41.519,41.547,41.569,41.592,41.612,41.636,41.667,41.688,41.712,41.738,41.77,41.8,41.83,41.852,41.879,41.901,41.925,41.949,41.978,42.008,42.035,42.053,42.081,42.105,42.127,42.149,42.18,42.2,42.225,42.245,42.275,42.302,42.329,42.357,42.38,42.409,42.444,42.472,42.501,42.529,42.558,42.584,42.609,42.643,42.683,42.713,42.759,42.794,42.849,42.892,42.942,42.995,43.052,43.112,43.163,43.223,43.298,43.39,43.509,43.627,43.796,44.079,44.947
5,ALP FP,38.887,39.465,39.786,39.942,40.095,40.231,40.312,40.389,40.47,40.513,40.564,40.618,40.664,40.713,40.759,40.799,40.84,40.882,40.932,40.96,40.995,41.031,41.07,41.103,41.132,41.168,41.192,41.23,41.259,41.291,41.328,41.357,41.381,41.403,41.428,41.452,41.475,41.501,41.519,41.547,41.569,41.592,41.612,41.636,41.667,41.688,41.712,41.738,41.77,41.8,41.83,41.852,41.879,41.901,41.925,41.949,41.978,42.008,42.035,42.053,42.081,42.105,42.127,42.149,42.18,42.2,42.225,42.245,42.275,42.302,42.329,42.357,42.38,42.409,42.444,42.472,42.501,42.529,42.558,42.584,42.609,42.643,42.683,42.713,42.759,42.794,42.849,42.892,42.942,42.995,43.052,43.112,43.163,43.223,43.298,43.39,43.509,43.627,43.796,44.079,44.947
6,ALP FP,38.924,39.521,39.812,39.982,40.091,40.219,40.293,40.362,40.434,40.501,40.555,40.607,40.656,40.699,40.736,40.775,40.827,40.866,40.9,40.934,40.959,40.99,41.027,41.061,41.092,41.114,41.142,41.166,41.194,41.218,41.248,41.283,41.305,41.329,41.361,41.394,41.416,41.452,41.48,41.507,41.534,41.558,41.583,41.601,41.633,41.653,41.68,41.712,41.736,41.759,41.779,41.801,41.82,41.844,41.869,41.892,41.922,41.945,41.965,41.987,42.014,42.041,42.063,42.084,42.103,42.124,42.156,42.183,42.206,42.235,42.268,42.294,42.321,42.344,42.375,42.403,42.444,42.477,42.511,42.549,42.575,42.601,42.635,42.663,42.707,42.734,42.795,42.838,42.871,42.917,42.967,43.019,43.072,43.144,43.214,43.303,43.394,43.513,43.67,43.972,44.785
7,ALP FP,38.924,39.521,39.812,39.982,40.091,40.219,40.293,40.362,40.434,40.501,40.555,40.607,40.656,40.699,40.736,40.775,40.827,40.866,40.9,40.934,40.959,40.99,41.027,41.061,41.092,41.114,41.142,41.166,41.194,41.218,41.248,41.283,41.305,41.329,41.361,41.394,41.416,41.452,41.48,41.507,41.534,41.558,41.583,41.601,41.633,41.653,41.68,41.712,41.736,41.759,41.779,41.801,41.82,41.844,41.869,41.892,41.922,41.945,41.965,41.987,42.014,42.041,42.063,42.084,42.103,42.124,42.156,42.183,42.206,42.235,42.268,42.294,42.321,42.344,42.375,42.403,42.444,42.477,42.511,42.549,42.575,42.601,42.635,42.663,42.707,42.734,42.795,42.838,42.871,42.917,42.967,43.019,43.072,43.144,43.214,43.303,43.394,43.513,43.67,43.972,44.785
8,ALP FP,39.02,39.558,39.815,39.988,40.096,40.19,40.254,40.341,40.401,40.461,40.526,40.581,40.634,40.692,40.733,40.768,40.812,40.858,40.89,40.919,40.948,40.981,41.016,41.042,41.065,41.096,41.123,41.155,41.181,41.218,41.243,41.268,41.304,41.34,41.364,41.384,41.407,41.438,41.467,41.492,41.516,41.538,41.562,41.586,41.605,41.642,41.665,41.692,41.719,41.741,41.769,41.789,41.814,41.835,41.855,41.875,41.896,41.923,41.946,41.969,41.992,42.016,42.04,42.063,42.087,42.115,42.146,42.177,42.203,42.229,42.249,42.28,42.306,42.334,42.365,42.392,42.423,42.452,42.484,42.51,42.543,42.584,42.628,42.667,42.691,42.73,42.766,42.806,42.858,42.928,42.98,43.033,43.091,43.157,43.229,43.308,43.414,43.51,43.715,43.969,44.685
