Start date day,Month,Year
01,02,1992
Day,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
0,DEM FP,2.49,3.027,3.229,3.361,3.501,3.617,3.694,3.76,3.824,3.885,3.929,3.998,4.087,4.109,4.133,4.172,4.232,4.268,4.289,4.314,4.337,4.36,4.393,4.423,4.447,4.496,4.529,4.56,4.586,4.615,4.64,4.657,4.686,4.716,4.747,4.773,4.792,4.822,4.859,4.885,4.922,4.94,4.964,4.978,4.996,5.018,5.042,5.06,5.093,5.128,5.15,5.177,5.202,5.228,5.259,5.287,5.324,5.351,5.374,5.392,5.411,5.434,5.457,5.48,5.51,5.543,5.571,5.597,5.631,5.651,5.678,5.715,5.74,5.776,5.804,5.835,5.874,5.913,5.955,5.984,6.015,6.041,6.068,6.101,6.133,6.178,6.215,6.259,6.303,6.351,6.387,6.444,6.52,6.6,6.654,6.726,6.834,6.961,7.074,7.24,7.823
1,DEM FP,2.49,3.027,3.229,3.361,3.501,3.617,3.694,3.76,3.824,3.885,3.929,3.998,4.087,4.109,4.133,4.172,4.232,4.268,4.289,4.314,4.337,4.36,4.393,4.423,4.447,4.496,4.529,4.56,4.586,4.615,4.64,4.657,4.686,4.716,4.747,4.773,4.792,4.822,4.859,4.885,4.922,4.94,4.964,4.978,4.996,5.018,5.042,5.06,5.093,5.128,5.15,5.177,5.202,5.228,5.259,5.287,5.324,5.351,5.374,5.392,5.411,5.434,5.457,5.48,5.51,5.543,5.571,5.597,5.631,5.651,5.678,5.715,5.74,5.776,5.804,5.835,5.874,5.913,5.955,5.984,6.015,6.041,6.068,6.101,6.133,6.178,6.215,6.259,6.303,6.351,6.387,6.444,6.52,6.6,6.654,6.726,6.834,6.961,7.074,7.24,7.823
2,DEM FP,2.304,2.887,3.182,3.329,3.473,3.542,3.647,3.727,3.794,3.841,3.899,3.936,3.992,4.028,4.053,4.097,4.139,4.178,4.239,4.29,4.319,4.339,4.367,4.408,4.444,4.475,4.506,4.537,4.568,4.597,4.637,4.656,4.681,4.713,4.74,4.762,4.796,4.816,4.851,4.875,4.903,4.922,4.945,4.969,4.989,5.011,5.041,5.059,5.088,5.116,5.152,5.179,5.215,5.251,5.276,5.304,5.318,5.345,5.374,5.412,5.435,5.462,5.479,5.508,5.531,5.554,5.582,5.609,5.631,5.669,5.695,5.716,5.739,5.763,5.796,5.838,5.867,5.9,5.941,5.975,6.003,6.044,6.096,6.133,6.17,6.205,6.257,6.308,6.359,6.404,6.457,6.53,6.579,6.665,6.742,6.831,6.914,7.013,7.18,7.407,7.803
3,DEM FP,2.304,2.887,3.182,3.329,3.473,3.542,3.647,3.727,3.794,3.841,3.899,3.936,3.992,4.028,4.053,4.097,4.139,4.178,4.239,4.29,4.319,4.339,4.367,4.408,4.444,4.475,4.506,4.537,4.568,4.597,4.637,4.656,4.681,4.713,4.74,4.762,4.796,4.816,4.851,4.875,4.903,4.922,4.945,4.969,4.989,5.011,5.041,5.059,5.088,5.116,5.152,5.179,5.215,5.251,5.276,5.304,5.318,5.345,5.374,5.412,5.435,5.462,5.479,5.508,5.531,5.554,5.582,5.609,5.631,5.669,5.695,5.716,5.739,5.763,5.796,5.838,5.867,5.9,5.941,5.975,6.003,6.044,6.096,6.133,6.17,6.205,6.257,6.308,6.359,6.404,6.457,6.53,6.579,6.665,6.742,6.831,6.914,7.013,7.18,7.407,7.803
4,DEM FP,2.263,2.797,3.011,3.253,3.389,3.461,3.558,3.649,3.709,3.809,3.85,3.912,3.947,3.996,4.037,4.087,4.115,4.159,4.192,4.227,4.271,4.299,4.337,4.36,4.39,4.422,4.46,4.506,4.542,4.573,4.599,4.631,4.666,4.698,4.72,4.742,4.771,4.797,4.825,4.845,4.881,4.916,4.936,4.962,4.99,5.014,5.036,5.057,5.084,5.113,5.135,5.169,5.188,5.219,5.262,5.291,5.318,5.352,5.378,5.401,5.439,5.464,5.491,5.519,5.549,5.576,5.602,5.636,5.662,5.687,5.716,5.74,5.772,5.805,5.845,5.871,5.893,5.934,5.962,5.991,6.012,6.039,6.079,6.131,6.16,6.218,6.265,6.329,6.391,6.435,6.511,6.582,6.635,6.714,6.764,6.854,6.967,7.12,7.262,7.463,7.949
5,DEM FP,2.263,2.797,3.011,3.253,3.389,3.461,3.558,3.649,3.709,3.809,3.85,3.912,3.947,3.996,4.037,4.087,4.115,4.159,4.192,4.227,4.271,4.299,4.337,4.36,4.39,4.422,4.46,4.506,4.542,4.573,4.599,4.631,4.666,4.698,4.72,4.742,4.771,4.797,4.825,4.845,4.881,4.916,4.936,4.962,4.99,5.014,5.036,5.057,5.084,5.113,5.135,5.169,5.188,5.219,5.262,5.291,5.318,5.352,5.378,5.401,5.439,5.464,5.491,5.519,5.549,5.576,5.602,5.636,5.662,5.687,5.716,5.74,5.772,5.805,5.845,5.871,5.893,5.934,5.962,5.991,6.012,6.039,6.079,6.131,6.16,6.218,6.265,6.329,6.391,6.435,6.511,6.582,6.635,6.714,6.764,6.854,6.967,7.12,7.262,7.463,7.949
6,DEM FP,1.963,2.654,3.038,3.211,3.306,3.388,3.506,3.622,3.687,3.761,3.808,3.852,3.907,3.944,3.978,4.033,4.069,4.113,4.16,4.205,4.239,4.283,4.322,4.362,4.391,4.433,4.473,4.503,4.533,4.568,4.595,4.619,4.65,4.675,4.705,4.736,4.762,4.802,4.828,4.849,4.876,4.909,4.936,4.97,5.018,5.05,5.069,5.088,5.116,5.139,5.164,5.194,5.223,5.248,5.273,5.305,5.333,5.358,5.39,5.416,5.45,5.473,5.498,5.528,5.557,5.589,5.616,5.639,5.672,5.699,5.724,5.759,5.782,5.808,5.839,5.863,5.901,5.939,5.97,6.012,6.047,6.088,6.148,6.194,6.235,6.272,6.333,6.38,6.447,6.491,6.548,6.615,6.699,6.759,6.863,6.943,7.048,7.142,7.336,7.58,8.23
7,DEM FP,1.963,2.654,3.038,3.211,3.306,3.388,3.506,3.622,3.687,3.761,3.808,3.852,3.907,3.944,3.978,4.033,4.069,4.113,4.16,4.205,4.239,4.283,4.322,4.362,4.391,4.433,4.473,4.503,4.533,4.568,4.595,4.619,4.65,4.675,4.705,4.736,4.762,4.802,4.828,4.849,4.876,4.909,4.936,4.97,5.018,5.05,5.069,5.088,5.116,5.139,5.164,5.194,5.223,5.248,5.273,5.305,5.333,5.358,5.39,5.416,5.45,5.473,5.498,5.528,5.557,5.589,5.616,5.639,5.672,5.699,5.724,5.759,5.782,5.808,5.839,5.863,5.901,5.939,5.97,6.012,6.047,6.088,6.148,6.194,6.235,6.272,6.333,6.38,6.447,6.491,6.548,6.615,6.699,6.759,6.863,6.943,7.048,7.142,7.336,7.58,8.23
8,DEM FP,1.782,2.527,2.838,3.074,3.219,3.322,3.483,3.558,3.628,3.694,3.737,3.804,3.859,3.938,3.981,4.017,4.052,4.091,4.128,4.156,4.193,4.217,4.263,4.303,4.343,4.395,4.428,4.47,4.513,4.561,4.588,4.608,4.627,4.665,4.692,4.717,4.746,4.778,4.817,4.848,4.885,4.912,4.927,4.952,4.974,5.011,5.041,5.059,5.092,5.127,5.155,5.182,5.209,5.235,5.27,5.3,5.324,5.361,5.38,5.406,5.431,5.47,5.504,5.524,5.549,5.568,5.603,5.63,5.664,5.693,5.727,5.762,5.797,5.824,5.848,5.878,5.913,5.948,5.989,6.02,6.055,6.093,6.154,6.213,6.263,6.305,6.351,6.387,6.435,6.512,6.59,6.66,6.748,6.848,6.918,7.008,7.1,7.236,7.344,7.665,8.233
