Start date day,Month,Year
16,12,2017
Day,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
0,ONP FP,7.835,9.349,9.781,10.007,10.204,10.383,10.541,10.683,10.78,10.908,10.982,11.061,11.144,11.209,11.266,11.33,11.415,11.478,11.54,11.597,11.652,11.689,11.733,11.792,11.842,11.899,11.944,12.005,12.044,12.097,12.131,12.167,12.223,12.274,12.318,12.366,12.408,12.453,12.494,12.523,12.557,12.594,12.622,12.65,12.687,12.717,12.748,12.783,12.82,12.86,12.894,12.933,12.964,13.0,13.028,13.062,13.086,13.119,13.153,13.189,13.22,13.27,13.304,13.345,13.382,13.419,13.447,13.482,13.534,13.58,13.623,13.663,13.707,13.75,13.797,13.869,13.927,13.97,14.026,14.079,14.119,14.178,14.248,14.29,14.354,14.417,14.481,14.567,14.631,14.71,14.816,14.91,15.014,15.137,15.252,15.422,15.545,15.742,16.047,16.402,18.346
1,ONP FP,7.835,9.349,9.781,10.007,10.204,10.383,10.541,10.683,10.78,10.908,10.982,11.061,11.144,11.209,11.266,11.33,11.415,11.478,11.54,11.597,11.652,11.689,11.733,11.792,11.842,11.899,11.944,12.005,12.044,12.097,12.131,12.167,12.223,12.274,12.318,12.366,12.408,12.453,12.494,12.523,12.557,12.594,12.622,12.65,12.687,12.717,12.748,12.783,12.82,12.86,12.894,12.933,12.964,13.0,13.028,13.062,13.086,13.119,13.153,13.189,13.22,13.27,13.304,13.345,13.382,13.419,13.447,13.482,13.534,13.58,13.623,13.663,13.707,13.75,13.797,13.869,13.927,13.97,14.026,14.079,14.119,14.178,14.248,14.29,14.354,14.417,14.481,14.567,14.631,14.71,14.816,14.91,15.014,15.137,15.252,15.422,15.545,15.742,16.047,16.402,18.346
2,ONP FP,7.603,9.268,9.687,9.961,10.126,10.279,10.424,10.565,10.716,10.8,10.871,10.962,11.063,11.151,11.245,11.3,11.359,11.406,11.476,11.535,11.593,11.655,11.712,11.792,11.832,11.873,11.915,11.951,11.992,12.029,12.073,12.117,12.168,12.205,12.262,12.305,12.35,12.386,12.425,12.456,12.496,12.548,12.59,12.619,12.654,12.691,12.718,12.758,12.796,12.824,12.85,12.883,12.922,12.949,12.979,13.026,13.063,13.102,13.137,13.169,13.197,13.235,13.275,13.322,13.368,13.397,13.436,13.473,13.516,13.552,13.608,13.657,13.7,13.751,13.782,13.841,13.911,13.979,14.03,14.072,14.129,14.188,14.252,14.298,14.361,14.426,14.49,14.561,14.652,14.726,14.793,14.902,14.999,15.14,15.254,15.35,15.494,15.703,15.975,16.48,18.481
3,ONP FP,7.603,9.268,9.687,9.961,10.126,10.279,10.424,10.565,10.716,10.8,10.871,10.962,11.063,11.151,11.245,11.3,11.359,11.406,11.476,11.535,11.593,11.655,11.712,11.792,11.832,11.873,11.915,11.951,11.992,12.029,12.073,12.117,12.168,12.205,12.262,12.305,12.35,12.386,12.425,12.456,12.496,12.548,12.59,12.619,12.654,12.691,12.718,12.758,12.796,12.824,12.85,12.883,12.922,12.949,12.979,13.026,13.063,13.102,13.137,13.169,13.197,13.235,13.275,13.322,13.368,13.397,13.436,13.473,13.516,13.552,13.608,13.657,13.7,13.751,13.782,13.841,13.911,13.979,14.03,14.072,14.129,14.188,14.252,14.298,14.361,14.426,14.49,14.561,14.652,14.726,14.793,14.902,14.999,15.14,15.254,15.35,15.494,15.703,15.975,16.48,18.481
4,ONP FP,7.43,9.044,9.581,9.858,10.096,10.235,10.369,10.502,10.651,10.772,10.883,10.967,11.047,11.119,11.18,11.267,11.321,11.389,11.452,11.502,11.554,11.623,11.675,11.73,11.786,11.839,11.891,11.933,11.975,12.02,12.071,12.118,12.165,12.209,12.244,12.288,12.323,12.351,12.39,12.42,12.465,12.493,12.536,12.572,12.602,12.649,12.679,12.715,12.747,12.777,12.825,12.855,12.882,12.915,12.944,12.988,13.03,13.073,13.105,13.147,13.193,13.232,13.268,13.31,13.346,13.375,13.425,13.461,13.506,13.552,13.598,13.647,13.695,13.735,13.785,13.82,13.864,13.941,13.999,14.046,14.125,14.169,14.228,14.285,14.366,14.432,14.486,14.564,14.635,14.699,14.78,14.882,14.998,15.127,15.266,15.393,15.543,15.739,15.931,16.58,18.419
5,ONP FP,7.43,9.044,9.581,9.858,10.096,10.235,10.369,10.502,10.651,10.772,10.883,10.967,11.047,11.119,11.18,11.267,11.321,11.389,11.452,11.502,11.554,11.623,11.675,11.73,11.786,11.839,11.891,11.933,11.975,12.02,12.071,12.118,12.165,12.209,12.244,12.288,12.323,12.351,12.39,12.42,12.465,12.493,12.536,12.572,12.602,12.649,12.679,12.715,12.747,12.777,12.825,12.855,12.882,12.915,12.944,12.988,13.03,13.073,13.105,13.147,13.193,13.232,13.268,13.31,13.346,13.375,13.425,13.461,13.506,13.552,13.598,13.647,13.695,13.735,13.785,13.82,13.864,13.941,13.999,14.046,14.125,14.169,14.228,14.285,14.366,14.432,14.486,14.564,14.635,14.699,14.78,14.882,14.998,15.127,15.266,15.393,15.543,15.739,15.931,16.58,18.419
6,ONP FP,7.268,8.953,9.516,9.83,10.062,10.245,10.364,10.508,10.61,10.717,10.812,10.896,11.002,11.083,11.155,11.226,11.313,11.379,11.45,11.52,11.57,11.623,11.66,11.703,11.755,11.817,11.858,11.891,11.934,11.979,12.02,12.061,12.104,12.146,12.186,12.232,12.28,12.318,12.352,12.39,12.422,12.458,12.5,12.533,12.569,12.61,12.643,12.685,12.722,12.757,12.787,12.823,12.86,12.9,12.94,12.973,13.019,13.054,13.101,13.133,13.17,13.214,13.249,13.277,13.31,13.36,13.405,13.442,13.493,13.544,13.588,13.631,13.674,13.729,13.787,13.836,13.883,13.929,13.976,14.037,14.098,14.152,14.213,14.279,14.345,14.404,14.502,14.583,14.676,14.759,14.816,14.913,15.016,15.137,15.273,15.44,15.57,15.814,16.109,16.521,18.303
7,ONP FP,7.268,8.953,9.516,9.83,10.062,10.245,10.364,10.508,10.61,10.717,10.812,10.896,11.002,11.083,11.155,11.226,11.313,11.379,11.45,11.52,11.57,11.623,11.66,11.703,11.755,11.817,11.858,11.891,11.934,11.979,12.02,12.061,12.104,12.146,12.186,12.232,12.28,12.318,12.352,12.39,12.422,12.458,12.5,12.533,12.569,12.61,12.643,12.685,12.722,12.757,12.787,12.823,12.86,12.9,12.94,12.973,13.019,13.054,13.101,13.133,13.17,13.214,13.249,13.277,13.31,13.36,13.405,13.442,13.493,13.544,13.588,13.631,13.674,13.729,13.787,13.836,13.883,13.929,13.976,14.037,14.098,14.152,14.213,14.279,14.345,14.404,14.502,14.583,14.676,14.759,14.816,14.913,15.016,15.137,15.273,15.44,15.57,15.814,16.109,16.521,18.303
8,ONP FP,7.234,9.006,9.475,9.742,9.968,10.183,10.303,10.438,10.557,10.658,10.764,10.876,10.966,11.061,11.142,11.214,11.271,11.325,11.375,11.443,11.504,11.567,11.614,11.662,11.707,11.751,11.79,11.824,11.875,11.911,11.952,12.003,12.048,12.085,12.134,12.165,12.199,12.242,12.292,12.323,12.369,12.404,12.437,12.473,12.506,12.556,12.591,12.643,12.688,12.717,12.754,12.794,12.83,12.876,12.908,12.945,12.987,13.024,13.059,13.097,13.135,13.171,13.201,13.238,13.296,13.341,13.37,13.413,13.473,13.52,13.559,13.604,13.654,13.7,13.742,13.802,13.847,13.9,13.957,14.01,14.061,14.113,14.191,14.251,14.309,14.371,14.459,14.534,14.616,14.718,14.802,14.906,15.048,15.178,15.292,15.41,15.521,15.817,16.045,16.494,18.329
