Start date day,Month,Year
09,05,2025
Day,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
0,ONP FP,3.188,4.259,4.672,4.924,5.079,5.203,5.303,5.392,5.484,5.58,5.658,5.725,5.778,5.829,5.9,5.954,5.997,6.046,6.105,6.142,6.181,6.22,6.279,6.326,6.362,6.399,6.435,6.469,6.501,6.54,6.576,6.607,6.641,6.675,6.708,6.745,6.79,6.827,6.866,6.907,6.935,6.959,6.995,7.025,7.058,7.085,7.13,7.162,7.191,7.228,7.265,7.301,7.334,7.376,7.406,7.427,7.462,7.491,7.522,7.549,7.584,7.615,7.648,7.68,7.707,7.748,7.781,7.813,7.849,7.891,7.929,7.961,7.998,8.041,8.086,8.118,8.149,8.193,8.248,8.289,8.331,8.376,8.419,8.466,8.517,8.567,8.628,8.691,8.762,8.83,8.893,8.962,9.035,9.144,9.22,9.355,9.487,9.673,9.866,10.176,11.414
1,ONP FP,3.188,4.259,4.672,4.924,5.079,5.203,5.303,5.392,5.484,5.58,5.658,5.725,5.778,5.829,5.9,5.954,5.997,6.046,6.105,6.142,6.181,6.22,6.279,6.326,6.362,6.399,6.435,6.469,6.501,6.54,6.576,6.607,6.641,6.675,6.708,6.745,6.79,6.827,6.866,6.907,6.935,6.959,6.995,7.025,7.058,7.085,7.13,7.162,7.191,7.228,7.265,7.301,7.334,7.376,7.406,7.427,7.462,7.491,7.522,7.549,7.584,7.615,7.648,7.68,7.707,7.748,7.781,7.813,7.849,7.891,7.929,7.961,7.998,8.041,8.086,8.118,8.149,8.193,8.248,8.289,8.331,8.376,8.419,8.466,8.517,8.567,8.628,8.691,8.762,8.83,8.893,8.962,9.035,9.144,9.22,9.355,9.487,9.673,9.866,10.176,11.414
2,ONP FP,3.355,4.371,4.838,5.039,5.179,5.278,5.394,5.474,5.545,5.629,5.701,5.772,5.835,5.899,5.965,6.007,6.074,6.121,6.157,6.197,6.232,6.276,6.317,6.361,6.396,6.432,6.469,6.512,6.554,6.585,6.629,6.669,6.705,6.73,6.761,6.792,6.823,6.856,6.892,6.918,6.948,6.979,7.005,7.037,7.071,7.099,7.144,7.167,7.194,7.227,7.26,7.292,7.325,7.357,7.389,7.428,7.455,7.496,7.528,7.563,7.588,7.613,7.645,7.687,7.712,7.74,7.773,7.812,7.846,7.871,7.901,7.951,7.982,8.02,8.054,8.091,8.129,8.168,8.221,8.261,8.309,8.347,8.395,8.442,8.487,8.54,8.594,8.649,8.717,8.767,8.833,8.894,8.959,9.052,9.14,9.268,9.417,9.606,9.797,10.127,11.068
3,ONP FP,3.355,4.371,4.838,5.039,5.179,5.278,5.394,5.474,5.545,5.629,5.701,5.772,5.835,5.899,5.965,6.007,6.074,6.121,6.157,6.197,6.232,6.276,6.317,6.361,6.396,6.432,6.469,6.512,6.554,6.585,6.629,6.669,6.705,6.73,6.761,6.792,6.823,6.856,6.892,6.918,6.948,6.979,7.005,7.037,7.071,7.099,7.144,7.167,7.194,7.227,7.26,7.292,7.325,7.357,7.389,7.428,7.455,7.496,7.528,7.563,7.588,7.613,7.645,7.687,7.712,7.74,7.773,7.812,7.846,7.871,7.901,7.951,7.982,8.02,8.054,8.091,8.129,8.168,8.221,8.261,8.309,8.347,8.395,8.442,8.487,8.54,8.594,8.649,8.717,8.767,8.833,8.894,8.959,9.052,9.14,9.268,9.417,9.606,9.797,10.127,11.068
4,ONP FP,3.497,4.559,4.911,5.092,5.247,5.372,5.456,5.544,5.623,5.698,5.799,5.847,5.905,5.96,6.012,6.059,6.106,6.15,6.203,6.259,6.298,6.343,6.385,6.419,6.457,6.489,6.524,6.558,6.583,6.618,6.657,6.678,6.713,6.734,6.759,6.791,6.82,6.84,6.868,6.904,6.929,6.957,6.995,7.031,7.061,7.087,7.126,7.162,7.194,7.221,7.244,7.277,7.308,7.345,7.383,7.414,7.433,7.46,7.493,7.531,7.568,7.6,7.634,7.656,7.682,7.712,7.748,7.781,7.811,7.844,7.879,7.909,7.949,7.983,8.023,8.067,8.111,8.151,8.183,8.219,8.255,8.293,8.331,8.38,8.429,8.48,8.519,8.564,8.625,8.682,8.752,8.815,8.889,8.961,9.039,9.155,9.288,9.448,9.673,10.005,10.989
5,ONP FP,3.497,4.559,4.911,5.092,5.247,5.372,5.456,5.544,5.623,5.698,5.799,5.847,5.905,5.96,6.012,6.059,6.106,6.15,6.203,6.259,6.298,6.343,6.385,6.419,6.457,6.489,6.524,6.558,6.583,6.618,6.657,6.678,6.713,6.734,6.759,6.791,6.82,6.84,6.868,6.904,6.929,6.957,6.995,7.031,7.061,7.087,7.126,7.162,7.194,7.221,7.244,7.277,7.308,7.345,7.383,7.414,7.433,7.46,7.493,7.531,7.568,7.6,7.634,7.656,7.682,7.712,7.748,7.781,7.811,7.844,7.879,7.909,7.949,7.983,8.023,8.067,8.111,8.151,8.183,8.219,8.255,8.293,8.331,8.38,8.429,8.48,8.519,8.564,8.625,8.682,8.752,8.815,8.889,8.961,9.039,9.155,9.288,9.448,9.673,10.005,10.989
6,ONP FP,3.719,4.417,4.984,5.176,5.32,5.433,5.537,5.622,5.726,5.811,5.885,5.935,5.978,6.03,6.075,6.117,6.169,6.217,6.261,6.301,6.334,6.366,6.403,6.441,6.476,6.515,6.551,6.586,6.625,6.659,6.696,6.726,6.756,6.791,6.813,6.843,6.876,6.904,6.927,6.954,6.983,7.016,7.043,7.07,7.1,7.128,7.154,7.178,7.202,7.23,7.261,7.291,7.322,7.343,7.371,7.408,7.443,7.465,7.487,7.516,7.544,7.57,7.604,7.637,7.668,7.702,7.734,7.766,7.794,7.827,7.856,7.881,7.912,7.947,7.978,8.024,8.058,8.088,8.118,8.163,8.201,8.233,8.275,8.316,8.356,8.409,8.449,8.504,8.567,8.636,8.677,8.761,8.823,8.926,8.987,9.067,9.209,9.328,9.535,9.82,10.453
7,ONP FP,3.719,4.417,4.984,5.176,5.32,5.433,5.537,5.622,5.726,5.811,5.885,5.935,5.978,6.03,6.075,6.117,6.169,6.217,6.261,6.301,6.334,6.366,6.403,6.441,6.476,6.515,6.551,6.586,6.625,6.659,6.696,6.726,6.756,6.791,6.813,6.843,6.876,6.904,6.927,6.954,6.983,7.016,7.043,7.07,7.1,7.128,7.154,7.178,7.202,7.23,7.261,7.291,7.322,7.343,7.371,7.408,7.443,7.465,7.487,7.516,7.544,7.57,7.604,7.637,7.668,7.702,7.734,7.766,7.794,7.827,7.856,7.881,7.912,7.947,7.978,8.024,8.058,8.088,8.118,8.163,8.201,8.233,8.275,8.316,8.356,8.409,8.449,8.504,8.567,8.636,8.677,8.761,8.823,8.926,8.987,9.067,9.209,9.328,9.535,9.82,10.453
8,ONP FP,3.855,4.734,5.044,5.273,5.388,5.499,5.586,5.697,5.782,5.845,5.904,5.956,6.027,6.076,6.132,6.171,6.22,6.275,6.312,6.35,6.385,6.416,6.45,6.489,6.53,6.568,6.603,6.629,6.658,6.693,6.719,6.745,6.773,6.797,6.826,6.857,6.883,6.905,6.929,6.962,6.996,7.026,7.051,7.083,7.107,7.131,7.156,7.182,7.209,7.233,7.262,7.295,7.318,7.344,7.367,7.404,7.428,7.458,7.491,7.514,7.542,7.573,7.603,7.624,7.645,7.675,7.7,7.736,7.765,7.789,7.821,7.847,7.875,7.908,7.94,7.98,8.008,8.048,8.073,8.103,8.134,8.168,8.204,8.24,8.286,8.332,8.378,8.417,8.493,8.551,8.614,8.675,8.745,8.788,8.887,8.983,9.124,9.239,9.44,9.684,10.364
