1983 Federal Election
Seat,Adelaide
fp
Chris Hurford,Labor,39134,55.8,3.7
Barry James,Liberal,24156,34.4,-1.8
Eileen Farmer,Democrats,4604,6.6,-5.1
John Buik,Independent,1894,2.7,2.7
Paul Petit,Left-wing,385,0.5,0.5
tcp
Chris Hurford,Labor,43928,62.6,4.1
Barry James,Liberal,26245,37.4,-4.1
Seat,Balaclava
fp
Ian Macphee,Liberal,31642,50.1,-1.5
Chris Kennedy,Labor,25867,41.0,4.8
Zelma Furey,Democrats,5004,7.9,-4.3
Timothy Warner,Right-wing Populist,600,1.0,1.0
tcp
Ian Macphee,Liberal,33702,53.4,-2.7
Chris Kennedy,Labor,29411,46.6,2.7
Seat,Ballarat
fp
John Mildren,Labor,34616,50.7,5.5
John Ronan,Liberal,30078,44.1,-1.9
Graham Gough,Democrats,2123,3.1,-2.5
John Blower,Independent,1148,1.7,1.7
Albert Ireland,Independent,275,0.4,0.4
tcp
John Mildren,Labor,36918,54.1,3.4
John Ronan,Liberal,31322,45.9,-3.4
Seat,Banks
fp
John Mountford,Labor,39013,57.8,4.2
Andrew Fairbairn,Liberal,23962,35.5,-1.3
Montague Greene,Democrats,3908,5.8,-3.8
David Holmes,Left-wing,572,0.8,0.8
tcp
John Mountford,Labor,41822,62.0,3.2
Andrew Fairbairn,Liberal,25633,38.0,-3.2
Seat,Barker
fp
James Porter,Liberal,42333,57.3,-0.2
Valerie Young,Labor,23906,32.4,3.5
Meg Lees,Democrats,3974,5.4,-0.2
Anthony Beck,National,3650,4.9,-3.2
tcp
James Porter,Liberal,47125,63.8,-2.3
Valerie Young,Labor,26738,36.2,2.3
Seat,Barton
fp
Gary Punch,Labor,31308,49.7,2.6
Jim Bradfield,Liberal,26086,41.4,-5.0
Bruce Barton,Independent,3153,5.0,5.0
Ronald George,Democrats,1812,2.9,-0.9
Jean Lindsay,Independent,284,0.5,0.5
Peter Wright,Right-wing Populist,172,0.3,0.3
Charles Bellchambers,Independent,166,0.3,-2.4
tcp
Gary Punch,Labor,34010,54.0,4.4
Jim Bradfield,Liberal,28971,46.0,-4.4
Seat,Bass
fp
Kevin Newman,Liberal,28448,53.5,0.5
John McDonald,Labor,19590,36.8,-7.7
Nick Goldie,Democrats,3291,6.2,6.2
Richard Hutchison,Independent,1884,3.5,3.5
tcp
Kevin Newman,Liberal,31023,58.3,4.4
John McDonald,Labor,22190,41.7,-4.4
Seat,Batman
fp
Brian Howe,Labor,42398,63.7,8.2
Maxwell Playford,Liberal,19193,28.8,-2.3
Gwendoline Naug,Democrats,2836,4.3,-1.7
Philip L'Huillier,Democratic Labour,1756,2.6,-4.8
John Percy,Left-wing,380,0.6,0.6
tcp
Brian Howe,Labor,51320,77.1,6.4
Maxwell Playford,Liberal,15243,22.9,-6.4
Seat,Bendigo
fp
John Brumby,Labor,34908,49.7,5.7
John Bourchier,Liberal,30352,43.2,-4.1
Neil Jewell,Democrats,3078,4.4,-4.4
Robert Denahy,Democratic Labour,1859,2.6,2.6
tcp
John Brumby,Labor,37064,52.8,4.1
John Bourchier,Liberal,33133,47.2,-4.1
Seat,Bennelong
fp
John Howard,Liberal,33721,50.3,-3.6
Donald Vickers,Labor,23799,35.5,-0.7
Milo Dunphy,Misc,8495,12.7,12.7
Steve Gabell,Independent,1000,1.5,1.5
tcp
John Howard,Liberal,37998,56.7,-1.7
Donald Vickers,Labor,29017,43.3,1.7
Seat,Berowra
fp
Harry Edwards,Liberal,40676,60.1,-1.3
Maurice Marshan,Labor,20943,31.0,1.5
Pamela Tuckwell,Democrats,6015,8.9,-0.2
tcp
Harry Edwards,Liberal,43083,63.7,-1.3
Maurice Marshan,Labor,24551,36.3,1.3
Seat,Blaxland
fp
Paul Keating,Labor,41609,62.9,3.3
David Brown,Liberal,21604,32.7,1.7
Phillip Grattan,Democrats,2504,3.8,0.5
Siong Hoe Goh,Left-wing,388,0.6,-4.4
tcp
Paul Keating,Labor,43431,65.7,-1.5
David Brown,Liberal,22674,34.3,1.5
Seat,Bonython
fp
Neal Blewett,Labor,48097,60.5,6.1
Neville Joyce,Liberal,24391,30.7,-2.0
John Longhurst,Democrats,7006,8.8,-2.3
tcp
Neal Blewett,Labor,52307,65.8,3.4
Neville Joyce,Liberal,27187,34.2,-3.4
Seat,Boothby
fp
Steele Hall,Liberal,42676,55.1,-1.1
Bruce Whyatt,Labor,26343,34.0,4.3
John Coulter,Democrats,8424,10.9,-2.2
tcp
Steele Hall,Liberal,46543,60.1,-2.5
Bruce Whyatt,Labor,30900,39.9,2.5
Seat,Bowman
fp
Len Keogh,Labor,37666,49.7,3.8
David Jull,Liberal,30522,40.3,-8.5
Craig Brown,National,4579,6.0,6.0
Ronald Heindorff,Democrats,3040,4.0,-1.3
tcp
Len Keogh,Labor,39571,52.2,3.4
David Jull,Liberal,36236,47.8,-3.4
Seat,Braddon
fp
