1984 NSW Election
Seat,Albury
fp
Harold Mair,Labor,15788,50.8,-4.5
Ian Glachan,Liberal,14617,47.1,2.4
Christopher Rooke,Democrats,665,2.1,2.1
tcp
Harold Mair,Labor,16125,51.9,-3.4
Ian Glachan,Liberal,14945,48.1,3.4
Seat,Ashfield
fp
Paul Whelan,Labor,16290,59.9,-5.6
Geoffrey Howe,Liberal,10891,40.1,9.8
tcp
Paul Whelan,Labor,16290,59.9,-5.6
Geoffrey Howe,Liberal,10891,40.1,9.8
Seat,Auburn
fp
Peter Cox,Labor,17831,66.8,-3.5
Rudolph Ognibene,Liberal,8856,33.2,3.5
tcp
Peter Cox,Labor,17831,66.8,-3.5
Rudolph Ognibene,Liberal,8856,33.2,3.5
Seat,Balmain
fp
Peter Crawford,Labor,15158,60.7,1.5
Gibson Bennie,Liberal,6003,24.0,9.4
Noel Hazard,Left-wing,2061,8.3,5.5
Karen McEwan,Democrats,1763,7.1,0.1
tcp
Peter Crawford,Labor,17240,69.0,-12.0
Gibson Bennie,Liberal,7745,31.0,12.0
Seat,Bankstown
fp
Ric Mochalski,Labor,19403,64.5,-0.4
Terry McDonald,Liberal,10668,35.5,5.6
tcp
Ric Mochalski,Labor,19403,64.5,-0.4
Terry McDonald,Liberal,10668,35.5,5.6
Seat,Barwon
fp
Wal Murray,National,18503,58.5,-4.7
Bill Sinclair,Labor,10368,32.8,-4.0
Andrew Von Mengersen,Independent,2729,8.6,8.6
tcp
Wal Murray,National,19908,63.0,-0.2
Bill Sinclair,Labor,11692,37.0,0.2
Seat,Bass Hill
fp
Neville Wran,Labor,19432,64.1,-11.6
Peter Swiderski,Liberal,8897,29.4,5.1
Sandor Torzsok,Misc,1330,4.4,4.4
Julien Droulers,Misc,642,2.1,2.1
tcp
Neville Wran,Labor,20393,67.3,-8.4
Peter Swiderski,Liberal,9908,32.7,8.4
Seat,Bathurst
fp
Mick Clough,Labor,17400,52.9,2.8
Clive Osborne,National,10364,31.5,-18.4
Trevor Toole,National,4298,13.1,13.1
Louis Winters,Democrats,848,2.6,2.6
tcp
Mick Clough,Labor,18199,55.3,5.2
Clive Osborne,National,14711,44.7,-5.2
Seat,Blacktown
fp
John Aquilina,Labor,20605,66.6,-6.5
David Bannerman,Liberal,10319,33.4,6.5
tcp
John Aquilina,Labor,20605,66.6,-6.5
David Bannerman,Liberal,10319,33.4,6.5
Seat,Bligh
fp
Michael Yabsley,Liberal,13134,48.5,4.2
Fred Miller,Labor,12279,45.3,-2.3
Brian Hillman,Democrats,1689,6.2,2.0
tcp
Michael Yabsley,Liberal,13740,51.2,3.9
Fred Miller,Labor,13085,48.8,-3.9
Seat,Blue Mountains
fp
Bob Debus,Labor,16830,48.5,-9.9
Margaret Bradshaw,Liberal,12962,37.3,-2.2
