2002 SA Election
Seat,Adelaide
fp
Michael Harbison,Liberal,8621,42.4,-1.3
Jane Lomax-Smith,Labor,8215,40.4,6.8
Cherie Prosser,Democrats,1197,5.9,-11.0
Jake Bugden,Greens,1058,5.2,0.1
Albert Bensimon,Misc,492,2.4,2.4
Andrea Mason,Christian,310,1.5,1.5
Ben Krieg,Centre-left,236,1.2,1.2
Roy Bedford,One Nation,143,0.7,0.7
Tom Bertuleit,Independent,61,0.3,0.3
tcp
Jane Lomax-Smith,Labor,10375,51.0,3.2
Michael Harbison,Liberal,9958,49.0,-3.2
Seat,Ashford
fp
Steph Key,Labor,8425,40.7,10.2
Peter Panagaris,Liberal,7682,37.1,2.5
Sue Mann,Democrats,1987,9.6,-2.2
Michelle Drummond,Greens,1111,5.4,5.4
James Troup,Christian,632,3.0,3.0
Paul Vanderkop,Independent,559,2.7,2.7
Jos Underhill,One Nation,326,1.6,1.6
tcp
Steph Key,Labor,11118,53.7,0.8
Peter Panagaris,Liberal,9604,46.3,-0.8
Seat,Bragg
fp
Vickie Chapman,Liberal,12568,61.9,0.4
Karen Atherton,Labor,4267,21.0,1.1
Julia Grant,Democrats,2150,10.6,-7.4
John Wood,Centre-left,614,3.0,3.0
Jamilah Lovibond,Christian,551,2.7,2.7
Betty Bedford,One Nation,169,0.8,0.8
tcp
Vickie Chapman,Liberal,14143,69.6,-0.4
Karen Atherton,Labor,6176,30.4,0.4
Seat,Bright
fp
Wayne Matthew,Liberal,9086,44.6,-1.0
Ron Baronian,Labor,6784,33.3,1.3
Fiona Blinco,Democrats,1672,8.2,-12.8
Bob Darlington,Greens,961,4.7,4.7
Vasiliki Savvas,Christian,593,2.9,2.9
Kathy Williams,Centre-left,476,2.3,2.3
Laurel Payne,One Nation,403,2.0,2.0
Cheryl Connor,Independent,390,1.9,1.9
tcp
Wayne Matthew,Liberal,11192,55.0,0.6
Ron Baronian,Labor,9173,45.0,-0.6
Seat,Chaffey
fp
Karlene Maywald,National,9929,49.2,12.4
Kent Andrew,Liberal,6337,31.4,-10.5
Waluwe Simpson-Lyttle,Labor,2419,12.0,-2.0
Graham McNaughton,Democrats,800,4.0,-3.2
Shirley Faulkner,One Nation,676,3.4,3.4
tcp
Karlene Maywald,National,12899,64.0,11.5
Kent Andrew,Liberal,7262,36.0,-11.5
Seat,Cheltenham
fp
Jay Weatherill,Labor,9457,48.6,-6.4
Sue Lawrie,Liberal,4627,23.8,-1.2
Murray De Laine,Independent,1886,9.7,9.7
Cheryl Glenie,Democrats,1329,6.8,-9.0
