2009 QLD Election
Seat,Albert
fp
Margaret Keech,Labor,12649,49.98,-7.2
Andrea Johanson,Liberal,9841,38.89,7.4
Marlee Bruinsma,Greens,1792,7.08,-0.2
Geoff Flannery,Independent,1024,4.05,4.0
tcp
Margaret Keech,Labor,13409,56.47,-7.3
Andrea Johanson,Liberal,10335,43.53,7.3
Seat,Algester
fp
Karen Struthers,Labor,13600,52.6,-8.2
Anthony Shorten,Liberal,9174,35.5,7.4
Stan Cajdler,Greens,1920,7.4,-1.9
Steve Christian,Christian,1147,4.4,2.7
tcp
Karen Struthers,Labor,14451,59.2,-8.6
Anthony Shorten,Liberal,9956,40.8,8.6
Seat,Ashgrove
fp
Kate Jones,Labor,12629,45.7,-1.9
Scott McConnel,Liberal,10293,37.3,1.4
Robert Hogg,Greens,3425,12.4,-3.4
Ian Saunders,Independent,799,2.9,2.9
Bill Grieve,Single issue,355,1.3,1.3
Ruth Spencer,Independent,127,0.5,0.5
tcp
Kate Jones,Labor,14842,57.1,-1.4
Scott McConnel,Liberal,11153,42.9,1.4
Seat,Aspley
fp
Tracy Davis,Liberal,13400,50.0,7.1
Bonny Barry,Labor,10940,40.8,-7.0
Peter Jeremijenko,Greens,1836,6.8,0.2
Allan Vincent,Christian,633,2.4,1.6
tcp
Tracy Davis,Liberal,14083,54.5,7.5
Bonny Barry,Labor,11775,45.5,-7.5
Seat,Barron River
fp
Wendy Richardson,Liberal,12025,43.8,8.6
Steve Wettenhall,Labor,11864,43.2,1.9
Sarah Isaacs,Greens,3545,12.9,-0.8
tcp
Steve Wettenhall,Labor,13742,52.3,-2.4
Wendy Richardson,Liberal,12522,47.7,2.4
Seat,Beaudesert
fp
Aidan McLindon,Liberal,10700,37.9,-12.6
Brett McCreadie,Labor,7012,24.8,-13.3
Pauline Hanson,Independent,5998,21.2,21.2
Keith Gee,Independent,2191,7.8,7.8
Andy Grodecki,Greens,1970,7.0,-4.4
Russell Pata,Single issue,193,0.7,0.7
Richard Somers,Independent,166,0.6,0.6
tcp
Aidan McLindon,Liberal,12418,58.3,2.4
Brett McCreadie,Labor,8879,41.7,-2.4
Seat,Brisbane Central
fp
Grace Grace,Labor,10238,42.2,-7.7
Mark Wood,Liberal,9042,37.2,8.1
Anne Boccabella,Greens,4129,17.0,-1.5
Adrian Miller,Single issue,873,3.6,3.6
tcp
Grace Grace,Labor,12548,56.0,-8.4
Mark Wood,Liberal,9870,44.0,8.4
Seat,Broadwater
fp
Peta-Kaye Croft,Labor,12090,46.8,-5.5
Richard Towson,Liberal,11345,43.9,3.9
Graeme Maizey,Greens,1289,5.0,-0.3
Ben Monaghan,Single issue,646,2.5,2.5
Rohan Turnley,Independent,458,1.8,1.8
tcp
Peta-Kaye Croft,Labor,12829,52.0,-4.6
Richard Towson,Liberal,11829,48.0,4.6
Seat,Buderim
fp
Steve Dickson,Liberal,14349,57.0,5.3
Laura Hawkins,Labor,7410,29.4,-4.6
Danny Stevens,Greens,2075,8.2,-3.7
Neil Heyme,Single issue,719,2.9,2.9
Cathy Turner,Christian,611,2.4,2.4
tcp
Steve Dickson,Liberal,15120,64.3,4.9
Laura Hawkins,Labor,8402,35.7,-4.9
Seat,Bulimba
fp
Di Farmer,Labor,13131,47.7,-9.6
Paul Walker,Liberal,10197,37.1,7.3
Angela Dean,Greens,3202,11.6,0.2
Angela Wright,Single issue,976,3.5,3.5
tcp
Di Farmer,Labor,14968,57.8,-8.3
Paul Walker,Liberal,10940,42.2,8.3
Seat,Bundaberg
fp
Jack Dempsey,Liberal,14594,53.7,9.0
Phil Freeman,Labor,11297,41.6,-3.1
Erin Hall,Greens,1281,4.7,0.8
tcp
Jack Dempsey,Liberal,14851,56.0,5.0
Phil Freeman,Labor,11660,44.0,-5.0
Seat,Bundamba
fp
Jo-Ann Miller,Labor,15470,61.3,-7.5
Simon Ingram,Liberal,5846,23.2,1.6
Ric Nattrass,Greens,1808,7.2,-0.7
Patricia Petersen,Independent,1026,4.1,4.1
Bevan Smith,Christian,666,2.6,2.6
Cameron Hodges,Single issue,411,1.6,1.6
tcp
Jo-Ann Miller,Labor,16559,71.2,-4.0
Simon Ingram,Liberal,6687,28.8,4.0
Seat,Burdekin
fp
Rosemary Menkens,Liberal,13438,50.5,5.2
Les Walker,Labor,11648,43.8,-3.4
Maria Macdonald,Greens,1532,5.8,1.8
tcp
Rosemary Menkens,Liberal,13705,53.1,4.0
Les Walker,Labor,12082,46.9,-4.0
Seat,Burleigh
fp
Christine Smith,Labor,12637,46.8,-6.1
Michael Hart,Liberal,10498,38.9,1.6
Anja Light,Greens,2065,7.6,-2.2
Bryden Elssmann,Single issue,807,3.0,2.5
Jeremy Fredericks,Christian,516,1.9,1.9
Ray Sperring,Independent,476,1.8,1.8
tcp
Christine Smith,Labor,13733,54.9,-3.9
Michael Hart,Liberal,11281,45.1,3.9
Seat,Burnett
fp
Rob Messenger,Liberal,15055,56.6,-0.8
Chris Pianta,Labor,9206,34.6,-7.9
Bernie Williams,Greens,1324,5.0,5.0
Peter Wyatt,Independent,760,2.9,2.9
Robert Bromwich,Independent,232,0.9,0.9
tcp
Rob Messenger,Liberal,15432,61.1,3.7
Chris Pianta,Labor,9824,38.9,-3.7
Seat,Cairns
fp
Desley Boyle,Labor,12309,45.8,-3.5
Joel Harrop,Liberal,10689,39.8,5.5
Steve Brech,Greens,2947,11.0,2.8
Janice Skipp,Christian,943,3.5,3.5
tcp
Desley Boyle,Labor,13641,54.2,-3.8
Joel Harrop,Liberal,11548,45.8,3.8
Seat,Callide
fp
Jeff Seeney,Liberal,16365,59.0,-11.2
David Pullen,Labor,6636,23.9,-5.6
Clare Mildren,Independent,3680,13.3,13.3
Camilla Percy,Greens,1064,3.8,3.8
tcp
Jeff Seeney,Liberal,17537,69.4,-1.0
David Pullen,Labor,7746,30.6,1.0
Seat,Caloundra
fp
Mark McArdle,Liberal,12697,50.1,4.0
Jody Tunnicliffe,Labor,9348,36.9,-4.8
Roger Callen,Greens,2444,9.6,-0.9
John Fogarty,Single issue,519,2.0,2.0
Mike Jessop,Independent,358,1.4,1.4
tcp
Mark McArdle,Liberal,13277,56.2,4.3
Jody Tunnicliffe,Labor,10348,43.8,-4.3
Seat,Capalaba
fp
Michael Choi,Labor,15286,53.3,-4.2
Paul Gleeson,Liberal,10591,36.9,6.5
Chad Kirby,Greens,2817,9.8,-1.3
tcp
Michael Choi,Labor,16354,59.7,-5.1
Paul Gleeson,Liberal,11055,40.3,5.1
Seat,Chatsworth
fp
Andrea Caltabiano,Liberal,12760,45.0,-1.7
Steve Kilburn,Labor,12431,43.9,-1.0
Jason Cooney,Greens,1996,7.0,-1.2
Jason Furze,Single issue,799,2.8,2.8
Tony Zegenhagen,Independent,347,1.2,1.2
tcp
Steve Kilburn,Labor,13561,50.1,0.0
Andrea Caltabiano,Liberal,13487,49.9,-0.0
Seat,Clayfield
fp
Tim Nicholls,Liberal,13784,49.2,5.1
Joff Lelliott,Labor,10230,36.5,-4.7
Andrew Jeremijenko,Greens,2988,10.7,-0.1
Randle Thomas,Single issue,560,2.0,2.0
Brendan Wong,Christian,433,1.5,1.5
tcp
Tim Nicholls,Liberal,14738,55.8,6.1
Joff Lelliott,Labor,11656,44.2,-6.1
Seat,Cleveland
fp
Mark Robinson,Liberal,13199,46.0,5.3
Phil Weightman,Labor,12502,43.6,0.2
Carissa Patchett,Greens,2016,7.0,-1.3
Richard Jemison,Single issue,968,3.4,3.4
tcp
Mark Robinson,Liberal,13846,50.3,1.5
Phil Weightman,Labor,13691,49.7,-1.5
Seat,Condamine
fp
Ray Hopper,Liberal,14360,47.7,-11.6
Stuart Copeland,Independent,7664,25.4,25.4
Tracey Harris,Labor,5917,19.6,-7.1
Craig Sheehan,Greens,1009,3.3,1.3
Rod Watson,One Nation,860,2.9,2.9
Stephanie Bugg,Independent,323,1.1,1.1
tcp
Ray Hopper,Liberal,15200,61.6,None
Stuart Copeland,Independent,9491,38.4,None
Seat,Cook
fp
Jason O'Brien,Labor,10456,46.0,-4.3
Craig Batchelor,Liberal,9629,42.4,12.7
Neville St John-Wood,Greens,1510,6.7,-0.3
Michaelangelo Newie,Independent,1111,4.9,4.9
tcp
Jason O'Brien,Labor,11217,52.2,-9.2
Craig Batchelor,Liberal,10253,47.8,9.2
Seat,Coomera
fp
Michael Crandon,Liberal,11840,47.1,9.5
Leeanne Enoch,Labor,10761,42.8,-10.3
Petrina Maizey,Greens,1545,6.1,0.3
Russell Anderson,Single issue,977,3.9,3.9
tcp
Michael Crandon,Liberal,12404,51.9,10.2
Leeanne Enoch,Labor,11489,48.1,-10.2
Seat,Currumbin
fp
Jann Stuckey,Liberal,13790,51.1,3.2
Michael Riordan,Labor,9876,36.6,-6.1
Inge Light,Greens,2484,9.2,-0.2
Jason Hockings,Single issue,850,3.1,3.1
tcp
Jann Stuckey,Liberal,14551,56.9,4.7
Michael Riordan,Labor,11025,43.1,-4.7
Seat,Dalrymple
fp
Shane Knuth,Liberal,10597,41.4,6.5
Rosa Lee Long,One Nation,8178,32.0,-0.5
Jason Briskey,Labor,5668,22.2,-6.7
Glenn Martin,Greens,809,3.2,0.8
Adrienne Freeman,Independent,248,1.0,1.0
Harrison Duncan,Independent,87,0.3,0.3
tcp
Shane Knuth,Liberal,11517,55.2,None
Rosa Lee Long,One Nation,9355,44.8,None
Seat,Everton
fp
Murray Watt,Labor,12304,44.4,-8.4
Troy Knox,Liberal,12229,44.1,11.0
Bruce Hallett,Greens,2513,9.1,1.1
Anthony Vella,Single issue,674,2.4,2.4
tcp
Murray Watt,Labor,13605,51.4,-9.2
Troy Knox,Liberal,12870,48.6,9.2
Seat,Ferny Grove
fp
Geoff Wilson,Labor,12325,44.3,-7.1
Dale Shuttleworth,Liberal,10941,39.3,9.4
Howard Nielsen,Greens,3884,13.9,2.3
Mark White,Christian,698,2.5,-4.6
tcp
Geoff Wilson,Labor,14309,54.5,-7.6
Dale Shuttleworth,Liberal,11950,45.5,7.6
Seat,Gaven
fp
Alex Douglas,Liberal,11184,41.9,-0.1
Phil Gray,Labor,10617,39.8,-7.3
Sally Spain,Greens,1870,7.0,-1.5
David Montgomery,Independent,1656,6.2,6.2
Derek Radke,Christian,700,2.6,0.3
Ramiah Selwood,Independent,646,2.4,2.4
tcp
Alex Douglas,Liberal,12003,50.7,3.9
Phil Gray,Labor,11661,49.3,-3.9
Seat,Gladstone
fp
Liz Cunningham,Independent,15255,54.6,7.2
Peter O'Sullivan,Labor,11903,42.6,-3.8
Kirsten Neilson,Greens,760,2.7,2.7
tcp
Liz Cunningham,Independent,15458,56.1,4.1
Peter O'Sullivan,Labor,12084,43.9,-4.1
Seat,Glass House
fp
Andrew Powell,Liberal,13009,48.6,15.0
Jenny Hansen Read,Labor,9035,33.8,-2.3
Jenny Fitzgibbon,Greens,4713,17.6,8.0
tcp
Andrew Powell,Liberal,13860,55.8,5.8
Jenny Hansen Read,Labor,10975,44.2,-5.8
Seat,Greenslopes
fp
Cameron Dick,Labor,12450,46.3,-5.0
Ian Kaye,Liberal,10172,37.8,4.5
Darryl Rosin,Greens,3382,12.6,0.5
Brad Armstrong,Single issue,455,1.7,1.7
Doug Russell,Independent,444,1.7,1.7
tcp
Cameron Dick,Labor,14368,56.9,-4.3
Ian Kaye,Liberal,10864,43.1,4.3
Seat,Gregory
fp
Vaughan Johnson,Liberal,14054,61.8,5.5
Fabian Webber,Labor,7619,33.5,-1.2
Carla Dalton,Greens,1063,4.7,4.7
tcp
Vaughan Johnson,Liberal,14260,64.3,2.3
Fabian Webber,Labor,7932,35.7,-2.3
Seat,Gympie
fp
David Gibson,Liberal,16612,60.6,14.7
Daniel Tabone,Labor,4013,14.6,2.9
Elisa Roberts,Independent,3928,14.3,5.3
Kent Hutton,Greens,2847,10.4,1.8
tcp
David Gibson,Liberal,18057,77.2,5.2
Daniel Tabone,Labor,5331,22.8,-5.2
Seat,Hervey Bay
fp
Ted Sorensen,Liberal,14396,50.4,13.8
Andrew McNamara,Labor,11047,38.6,-3.0
Peter Schuback,Independent,1353,4.7,-1.1
Paul Brown,Greens,1278,4.5,-2.5
Jason Powning,Single issue,510,1.8,1.8
tcp
Ted Sorensen,Liberal,15251,56.5,8.6
Andrew McNamara,Labor,11741,43.5,-8.6
Seat,Hinchinbrook
fp
Andrew Cripps,Liberal,14551,58.0,10.1
Mark Platt,Labor,7433,29.6,-14.5
Raymond Thompson,Independent,1712,6.8,6.8
Michelle Macklin,Greens,1409,5.6,-0.6
tcp
Andrew Cripps,Liberal,15044,64.7,12.7
Mark Platt,Labor,8212,35.3,-12.7
Seat,Inala
fp
Annastacia Palaszczuk,Labor,16746,64.0,-5.3
Leo Perkins,Liberal,6212,23.7,2.8
Alan Maizey,Greens,2104,8.0,-1.7
Felicity Ryan,Christian,1124,4.3,4.3
tcp
Annastacia Palaszczuk,Labor,17779,71.5,-4.5
Leo Perkins,Liberal,7077,28.5,4.5
Seat,Indooroopilly
fp
Scott Emerson,Liberal,11570,44.5,2.3
Sarah Warner,Labor,6907,26.5,-14.4
Ronan Lee,Greens,6749,25.9,9.0
John Burkett,Single issue,802,3.1,3.1
tcp
Scott Emerson,Liberal,12891,55.9,8.6
Sarah Warner,Labor,10184,44.1,-8.6
Seat,Ipswich
fp
Rachel Nolan,Labor,16598,60.2,-5.8
Suzie Holmes,Liberal,8018,29.1,3.2
Peter Luxton,Greens,1848,6.7,-1.3
Elwyn Denman,Christian,1125,4.1,4.1
tcp
Rachel Nolan,Labor,17581,66.7,-4.7
Suzie Holmes,Liberal,8774,33.3,4.7
Seat,Ipswich West
fp
Wayne Wendt,Labor,14518,54.0,-0.2
Sean Choat,Liberal,10047,37.4,6.1
Di Clark,Greens,2327,8.7,1.7
tcp
Wayne Wendt,Labor,15370,59.5,-3.2
Sean Choat,Liberal,10442,40.5,3.2
Seat,Kallangur
fp
Mary-Anne O'Neill,Labor,11871,47.0,-6.7
Trevor Ruthenberg,Liberal,9955,39.4,6.0
Craig Graham,Greens,2193,8.7,-1.5
Alan Revie,Christian,801,3.2,3.2
Mark McDowell,Single issue,434,1.7,1.7
tcp
Mary-Anne O'Neill,Labor,12904,54.6,-6.4
Trevor Ruthenberg,Liberal,10717,45.4,6.4
Seat,Kawana
fp
Jarrod Bleijie,Liberal,14027,52.3,4.7
Jenny Goodwin,Labor,10127,37.7,-4.5
Lindsay Holt,Greens,2680,10.0,-0.2
tcp
Jarrod Bleijie,Liberal,14524,56.9,4.3
Jenny Goodwin,Labor,10989,43.1,-4.3
Seat,Keppel
fp
Paul Hoolihan,Labor,14841,52.6,1.1
Steve McKenna,Liberal,11118,39.4,3.5
Paul Bambrick,Greens,2267,8.0,5.1
tcp
Paul Hoolihan,Labor,15674,57.6,-0.5
Steve McKenna,Liberal,11527,42.4,0.5
Seat,Lockyer
fp
Ian Rickuss,Liberal,13761,53.6,7.5
John Kelly,Labor,9667,37.6,-2.4
Emma Hine,Greens,2267,8.8,2.9
tcp
Ian Rickuss,Liberal,14193,57.6,4.2
John Kelly,Labor,10444,42.4,-4.2
Seat,Logan
fp
John Mickel,Labor,14184,56.7,-4.8
Tristan McLindon,Liberal,7917,31.7,8.1
James Brown,Greens,2124,8.5,-0.8
Jenny Gear,Single issue,777,3.1,3.1
tcp
John Mickel,Labor,14982,63.9,-7.2
Tristan McLindon,Liberal,8453,36.1,7.2
Seat,Lytton
fp
Paul Lucas,Labor,14594,52.5,-4.3
Ryan Murphy,Liberal,8960,32.2,3.1
Daniel Crute,Greens,1982,7.1,-5.0
Trish Kelly,Independent,1526,5.5,5.5
Neil Plevey,Single issue,739,2.7,2.7
tcp
Paul Lucas,Labor,15968,62.2,-4.0
Ryan Murphy,Liberal,9699,37.8,4.0
Seat,Mackay
fp
Tim Mulherin,Labor,16273,61.4,-0.2
Bob Oakes,Liberal,8003,30.2,1.4
Jonathon Dykyj,Greens,2244,8.5,2.4
tcp
Tim Mulherin,Labor,16892,66.7,-0.5
Bob Oakes,Liberal,8426,33.3,0.5
Seat,Mansfield
fp
Phil Reeves,Labor,12354,47.3,-3.4
Adrian Hart,Liberal,10353,39.6,4.2
Dean Love,Greens,1768,6.8,-1.0
Jesse Webb,Christian,903,3.5,-2.4
Wendy Fitz-Gerald,Single issue,751,2.9,2.9
tcp
Phil Reeves,Labor,13555,54.4,-4.0
Adrian Hart,Liberal,11368,45.6,4.0
Seat,Maroochydore
fp
Fiona Simpson,Liberal,15398,56.3,5.9
Sue Carlos,Labor,8475,31.0,-2.9
Brenton Clutterbuck,Greens,3487,12.7,2.7
tcp
Fiona Simpson,Liberal,16131,62.8,4.5
Sue Carlos,Labor,9554,37.2,-4.5
Seat,Maryborough
fp
Chris Foley,Independent,14119,47.7,-17.7
Anne Maddern,Liberal,7633,25.8,13.6
Brad Hansen,Labor,6744,22.8,6.3
David Arthur,Greens,1120,3.8,-1.7
tcp
Chris Foley,Independent,16586,66.8,None
Anne Maddern,Liberal,8232,33.2,None
Seat,Mermaid Beach
fp
Ray Stevens,Liberal,14628,54.4,5.9
Christina Landis,Labor,8999,33.5,-9.3
Marella Pettinato,Greens,1798,6.7,-2.1
Ibolya Monai,Single issue,744,2.8,2.8
Shannon Crane,Independent,700,2.6,2.6
tcp
Ray Stevens,Liberal,15304,60.8,8.1
Christina Landis,Labor,9863,39.2,-8.1
Seat,Mirani
fp
Ted Malone,Liberal,13618,48.0,2.8
Scott Murphy,Labor,13215,46.5,-1.5
Christine Carlisle,Greens,1566,5.5,5.5
tcp
Ted Malone,Liberal,13965,50.6,1.8
Scott Murphy,Labor,13640,49.4,-1.8
Seat,Moggill
fp
Bruce Flegg,Liberal,13826,49.2,-1.5
Robert Colvin,Labor,6918,24.6,-7.4
Philip Machanick,Greens,3921,13.9,-3.3
Barry Searle,Independent,2346,8.3,8.3
Andrew Bradbury,Single issue,1102,3.9,3.9
tcp
Bruce Flegg,Liberal,15586,61.3,3.3
