2013 Federal Election
Seat,Adelaide
fp
Kate Ellis,Labor,38650,42.26,-1.52
Carmen Garcia,Liberal,38463,42.06,4.31
Ruth Beach,Greens,9251,10.12,-3.5
Peter Lee,Christian,2169,2.37,0.18
Vincent Scali,United Australia,1943,2.12,2.12
Liah Lazarou,Left-wing,980,1.07,0.18
tcp
Kate Ellis,Labor,49338,53.95,-3.57
Carmen Garcia,Liberal,42118,46.05,3.57
Seat,Aston
fp
Alan Tudge,Liberal,44030,51.59,6.04
Rupert Evans,Labor,27850,32.63,-6.71
Steve Raymond,Greens,5017,5.88,-3.89
Bradley Watt,United Australia,3206,3.76,3.76
Tony Foster,Christian,2362,2.77,-1.89
Charity Jenkins,Centre-left,2295,2.69,2.15
Jennifer Speer,Christian,581,0.68,0.68
tcp
Alan Tudge,Liberal,49672,58.2,7.53
Rupert Evans,Labor,35669,41.8,-7.53
Seat,Ballarat
fp
Catherine King,Labor,39251,41.91,-9.84
John Fitzgibbon,Liberal,35592,38.0,4.05
Stephanie Hodgins-May,Greens,8911,9.51,-1.83
Gerard Murphy,United Australia,3396,3.63,3.63
Joshua Mathieson,Centre-left,2135,2.28,2.28
Anne Foster,Christians,1139,1.22,1.22
Shane Clark,Christian,1139,1.22,-1.74
Stephen Vereker,Democratic Labour,1022,1.09,1.09
Shane Dunne,Katter's Australian,849,0.91,0.91
Ana Rojas,Christian,229,0.24,0.24
tcp
Catherine King,Labor,51411,54.89,-6.81
John Fitzgibbon,Liberal,42252,45.11,6.81
Seat,Banks
fp
David Coleman,Liberal,39899,47.01,1.49
Daryl Melham,Labor,34835,41.04,-1.92
Paul Spight,Greens,4242,5.0,-4.61
Jake Wellham,United Australia,2125,2.5,2.5
Mark Falanga,Christian,1983,2.34,2.34
Sayed Khedr,Independent,768,0.9,0.9
Ross Richardson,Katter's Australian,553,0.65,0.65
Robert Haddad,Democratic Labour,470,0.55,0.55
tcp
David Coleman,Liberal,43990,51.83,3.28
Daryl Melham,Labor,40885,48.17,-3.28
Seat,Barker
fp
Tony Pasin,Liberal,48678,52.61,-2.47
Phil Golding,Labor,16993,18.37,-9.62
Kristin Lambert,Christian,7368,7.96,1.78
Richard Sage,Independent,6617,7.15,7.15
Mark Keough,Greens,5224,5.65,-3.39
Miles Hannemann,National,4021,4.35,4.35
Balwinder Singh Jhandi,United Australia,3623,3.92,3.92
tcp
Tony Pasin,Liberal,61571,66.55,3.54
Phil Golding,Labor,30953,33.45,-3.54
Seat,Barton
fp
Nickolas Varvaris,Liberal,33881,42.35,1.68
Steve McMahon,Labor,32345,40.43,-8.05
Jackie Brooker,Greens,4788,5.98,-4.87
Edward Caruana,United Australia,3114,3.89,3.89
Michael Nagi,Independent,3071,3.84,3.84
Kylie French,Christian,1549,1.94,1.94
Perry Theo,One Nation,686,0.86,0.86
Rodney Wyse,Katter's Australian,567,0.71,0.71
tcp
Nickolas Varvaris,Liberal,40245,50.31,7.17
Steve McMahon,Labor,39756,49.69,-7.17
Seat,Bass
fp
Andrew Nikolic,Liberal,31267,47.85,8.14
Geoff Lyons,Labor,22643,34.65,-8.78
Lucy Landon-Lane,Greens,5160,7.9,-7.68
Christopher Dobson,United Australia,3520,5.39,5.39
Christine Bergman,Christian,1407,2.15,2.15
Ray Kroeze,Christians,963,1.47,1.47
Jin-oh Choi,Centre-left,384,0.59,0.59
tcp
Andrew Nikolic,Liberal,35310,54.04,10.78
Geoff Lyons,Labor,30034,45.96,-10.78
Seat,Batman
fp
David Feeney,Labor,36798,41.29,-10.62
Alex Bhathal,Greens,23522,26.4,2.65
George Souris,Liberal,20017,22.46,2.4
Lianna Sliwczynski,Centre-left,2301,2.58,2.48
Franco Guardiani,United Australia,2253,2.53,2.53
Rosemary Lavin,Centre-left,1250,1.4,1.4
Ken Smithies,Christian,1126,1.26,-1.92
Pat Winterton,Christian,1121,1.26,1.26
Philip Sutton,Independent,726,0.81,0.81
tcp
David Feeney,Labor,54009,60.61,2.86
Alex Bhathal,Greens,35105,39.39,-2.86
Seat,Bendigo
fp
Greg Bickley,Liberal,36701,39.67,3.77
Lisa Chesters,Labor,33829,36.56,-10.38
Lachlan Slade,Greens,8600,9.3,-3.65
Sarah Sheedy,National,4644,5.02,5.02
Anita Donlon,United Australia,2336,2.52,2.52
Charlie Crutchfield,Centre-left,2220,2.4,2.4
Alan Howard,Christian,1036,1.12,-2.98
Stephen Stingel,Katter's Australian,745,0.81,0.81
Ewan McDonald,Christians,567,0.61,0.61
Daniel Abikhair,Independent,545,0.59,0.59
Rod Leunig,Country Alliance,538,0.58,0.58
Sandra Caddy,Christian,499,0.54,0.54
Matine Rahmani,Independent,259,0.28,0.28
tcp
Lisa Chesters,Labor,47426,51.26,-8.16
Greg Bickley,Liberal,45093,48.74,8.16
Seat,Bennelong
fp
John Alexander,Liberal,46907,52.99,4.46
Jason Yat-Sen Li,Labor,28726,32.45,-4.67
Lindsay Peters,Greens,7454,8.42,0.47
Julie Worsley,Christian,2135,2.41,0.28
Robert Marks,United Australia,1589,1.8,1.8
Lachlan McCaffrey,Democratic Labour,617,0.7,0.7
John August,Centre-left,602,0.68,0.68
Victor Waterson,Right-wing Populist,492,0.56,0.56
tcp
