2022 VIC Election
Seat,Albert Park
fp
Nina Taylor,Labor,14254,36.4,-7.0
Lauren Sherson,Liberal,11659,29.8,-1.6
Kim Samiotis,Greens,8178,20.9,4.5
Georgie Dragwidge,Independent,2294,5.9,5.9
Cassandra Westwood,Centre-left,1207,3.1,-0.9
Lance Smart,Liberal Democrats,534,1.4,1.4
Elizabeth Antunovic,Freedom,518,1.3,1.3
Viorel Bradea,Christian,466,1.2,1.2
tcp
Nina Taylor,Labor,23916,61.2,-1.9
Lauren Sherson,Liberal,15194,38.8,1.9
Seat,Ashwood
fp
Matt Fregon,Labor,18014,40.3,-0.1
Asher Judah,Liberal,16618,37.2,-7.1
Peter Morgan,Greens,6612,14.8,2.7
Milton Griffiths,Centre-left,880,2.0,0.5
Keith Geyer,Christian,847,1.9,1.9
Lynnette Saloumi,Independent,704,1.6,1.6
Norman F. Baker,Freedom,568,1.3,1.3
Michael Doyle,Independent,467,1.0,1.0
tcp
Matt Fregon,Labor,25106,56.2,4.2
Asher Judah,Liberal,19604,43.8,-4.2
Seat,Bass
fp
Jordan Crugnale,Labor,13478,32.6,-4.1
Aaron Brown,Liberal,12482,30.1,-13.4
Brett Tessari,National,5506,13.3,13.3
Callum Bugbird,Greens,3369,8.1,1.9
Mark O'Neill,Democratic Labour,1465,3.5,1.7
Martin Verhagen,Christian,1164,2.8,2.8
Elly Mousellis,Centre-left,1085,2.6,1.4
Marcus Munday,Freedom,1013,2.4,2.4
Jeni Jobe,Independent,970,2.3,2.3
Meg Edwards,Independent,872,2.1,2.1
tcp
Jordan Crugnale,Labor,20803,50.2,0.9
Aaron Brown,Liberal,20601,49.8,-0.9
Seat,Bayswater
fp
Jackson Taylor,Labor,17609,41.3,0.5
Nick Wakeling,Liberal,15174,35.6,-12.1
Nadia Sirninger Rankin,Greens,3151,7.4,-1.4
Ashley Heap,Single issue,1653,3.9,3.9
Gary Coombes,Christian,1397,3.3,3.3
Thomas Dolan,Democratic Labour,948,2.2,2.2
Chris Field,Freedom,937,2.2,2.2
Chloe Mackallah,Independent,890,2.1,2.1
Alyssa Wormald,Centre-left,840,2.0,-0.6
tcp
Jackson Taylor,Labor,23101,54.2,4.8
Nick Wakeling,Liberal,19498,45.8,-4.8
Seat,Bellarine
fp
Alison Marchant,Labor,20103,42.63,-7.24
Donnie Grigau,Liberal,15617,33.12,-2.37
Rachel Semmens,Greens,5557,11.74,2.75
Sarah Fenton,Independent,2158,4.58,4.58
Adam Cardilini,Centre-left,1088,2.31,-2.16
Guy Manuell,Christian,1033,2.19,2.19
Brett Anthony Ritchie,Centre-left,770,1.63,1.63
Kylee Muse,Freedom,458,0.97,0.97
Brendan Taylor,Angry Victorians,389,0.82,0.82
tcp
Alison Marchant,Labor,27567,58.46,-2.99
Donnie Grigau,Liberal,19586,41.54,2.99
Seat,Benambra
fp
Bill Tilley,Liberal,17658,42.9,2.8
Jacqui Hawkins,Independent,13038,31.7,15.6
Mark Tait,Labor,5375,13.1,-4.6
Luke Brady,Greens,1592,3.9,0.4
Mike Fuery,Centre-left,1170,2.8,2.8
Janelle Stratton,Christian,815,2.0,2.0
Dean Rossiter,Liberal Democrats,804,2.0,2.0
Adrian James O'Brien,Freedom,683,1.7,1.7
tcp
Bill Tilley,Liberal,20956,50.9,-1.7
Jacqui Hawkins,Independent,20179,49.1,1.7
Seat,Bendigo East
fp
Jacinta Allan,Labor,22010,48.3,-2.0
Darin Schade,Liberal,12478,27.4,6.5
Michael Tolhurst,Greens,3944,8.7,0.7
Ben Mihail,One Nation,2597,5.7,5.7
James Laurie,Misc,1603,3.5,3.5
Vyonne McLelland-Howe,Centre-left,1574,3.5,3.5
Evelyn Keetelaar,Christian,1362,3.0,3.0
tcp
Jacinta Allan,Labor,27727,60.8,-1.3
Darin Schade,Liberal,17841,39.2,1.3
Seat,Bendigo West
fp
Maree Edwards,Labor,18704,46.47,-7.01
Ken Price,Liberal,10057,24.99,-2.1
James Searle,Greens,4634,11.51,-1.54
Wayne Taylor,Single issue,2175,5.4,5.4
Steve Serpell,Christian,1704,4.23,4.23
Victoria Maxwell,Centre-left,1040,2.58,-3.8
Matt Bansemer,Independent,979,2.43,2.43
Richard James Woolley,Freedom,606,1.51,1.51
Marilyn Nuske,Independent,349,0.87,0.87
tcp
Maree Edwards,Labor,25967,64.35,-4.2
Ken Price,Liberal,14388,35.65,4.2
Seat,Bentleigh
fp
Nick Staikos,Labor,20656,45.8,-3.9
Debbie Taylor-Haynes,Liberal,16401,36.3,3.0
Alana Galli-McRostie,Greens,4845,10.7,2.5
Paul Ryan,Christian,1331,2.9,2.9
David Harris,Centre-left,1098,2.4,0.7
Simon Gnieslaw,Misc,789,1.7,1.7
tcp
Nick Staikos,Labor,26153,58.0,-3.4
Debbie Taylor-Haynes,Liberal,18972,42.0,3.4
Seat,Berwick
fp
Brad Battin,Liberal,20031,45.2,-2.6
Malik Zaveer,Labor,15874,35.8,-6.6
Hayley Perry,Greens,4297,9.7,2.4
Kerry Haupt,Freedom,1570,3.5,3.5
Joel van der Horst,Christian,1488,3.4,3.4
