2025 WA Election
Seat,Albany
fp
Rebecca Stephens,Labor,8825,29.9,-18.8
Scott Leary,National,6496,22.0,7.4
Tom Brough,Liberal,6451,21.8,4.8
Lynn MacLaren,Greens,2348,7.9,2.4
Mario Lionetti,Independent,2121,7.2,7.2
Gerrit Ballast,Christians,1504,5.1,0.4
Quintin Bisschoff,One Nation,813,2.8,0.2
Philip Arnatt,Single issue,693,2.3,0.5
Synjon Anstee-Brook,SFF,311,1.1,-1.3
tcp
Scott Leary,National,16615,56.3,None
Rebecca Stephens,Labor,12914,43.7,None
Seat,Armadale
fp
Tony Buti,Labor,13141,52.5,-20.6
Jason McNamara,Liberal,4374,17.5,8.4
Shelley Harrington,Greens,3033,12.1,7.4
Elizabeth Ierardi,One Nation,2060,8.2,5.6
Arthur Kleyn,Christians,1750,7.0,1.5
C. Ling,Stop Pedophiles,673,2.7,2.7
tcp
Tony Buti,Labor,17223,68.9,-15.0
Jason McNamara,Liberal,7792,31.1,15.0
Seat,Balcatta
fp
David Michael,Labor,12404,49.4,-17.1
James Helliwell,Liberal,6500,25.9,7.1
Trevor Don,Greens,3120,12.4,4.8
David Potter,One Nation,1055,4.2,4.2
Chris Cole,Single issue,896,3.6,3.6
Wesley D'Costa,Christians,632,2.5,0.4
Robert Hollier,SFF,514,2.0,2.0
tcp
David Michael,Labor,16192,64.5,-11.2
James Helliwell,Liberal,8908,35.5,11.2
Seat,Baldivis
fp
Reece Whitby,Labor,12546,50.7,-28.4
Dylan Mbano,Liberal,5193,21.0,11.9
Annabelle Newbury,Greens,2491,10.1,6.4
Dylan Vermeulen,One Nation,2023,8.2,6.0
Mark Charles,Single issue,1285,5.2,5.2
Yvette Holmes,Christians,739,3.0,3.0
Phillip Da Silva,SFF,460,1.9,1.9
tcp
Reece Whitby,Labor,16480,66.7,-19.1
Dylan Mbano,Liberal,8240,33.3,19.1
Seat,Bassendean
fp
Dave Kelly,Labor,13961,52.3,-19.0
Ash Kumar,Liberal,4220,15.8,3.7
Ren\xc3\xa9e McLennan,Independent,3083,11.5,11.5
Callan Gray,Greens,2854,10.7,2.9
Chris Fenech,One Nation,1301,4.9,2.9
David Kingston,Christians,1300,4.9,1.9
tcp
Dave Kelly,Labor,17532,65.7,None
Ren\xc3\xa9e McLennan,Independent,9163,34.3,None
Seat,Bateman
fp
Kim Giddens,Labor,11093,40.2,-5.6
Nitin Vashisht,Liberal,9455,34.3,-2.7
Juanita Doorey,Greens,2910,10.5,3.7
Donna Gordin,National,1689,6.1,6.1
Kirsty Robbie,Christians,1000,3.6,0.7
Michael Mabood,One Nation,478,1.7,0.9
Tony Stokes,Independent,431,1.6,1.6
Colleen Saporita,Centre-left,353,1.3,1.3
Anahita Ghassemifar,Misc,180,0.7,-0.6
tcp
Kim Giddens,Labor,14700,53.3,-3.4
Nitin Vashisht,Liberal,12881,46.7,3.4
Seat,Belmont
fp
Cassie Rowe,Labor,12807,53.6,-17.2
Biju Anthony,Liberal,5492,23.0,7.2
Helen Olivieri,Greens,3656,15.3,8.5
Liviu Filip Tomules,One Nation,1237,5.2,3.3
Nathanael Yap,Christians,718,3.0,0.6
tcp
Cassie Rowe,Labor,16577,69.4,-10.1
Biju Anthony,Liberal,7326,30.6,10.1
Seat,Bibra Lake
fp
Sook Yee Lai,Labor,10664,41.8,-23.9
Atul Garg,Liberal,4450,17.5,-0.0
Robyn Walsh,Greens,4282,16.8,6.5
Michael Separovich,Independent,2059,8.1,8.1
Lisa Griffiths,Independent,1288,5.1,5.1
Bradley Dickinson,One Nation,1063,4.2,2.8
Bradley Gibb,Single issue,926,3.6,3.6
Leon Yeap,Christians,753,3.0,3.0
tcp
Sook Yee Lai,Labor,16339,64.2,None
Robyn Walsh,Greens,9092,35.8,None
Seat,Bicton
fp
Lisa O'Malley,Labor,12438,45.1,-11.2
Chris Dowson,Liberal,9562,34.7,4.6
Adam Bennett,Greens,3982,14.5,5.3
Tim Smith,One Nation,868,3.2,1.8
Bill Koul,National,704,2.6,2.6
tcp
Lisa O'Malley,Labor,16346,59.3,-6.8
Chris Dowson,Liberal,11200,40.7,6.8
Seat,Bunbury
fp
Don Punch,Labor,10669,40.9,-19.6
Heather Reid,Liberal,7223,27.7,8.8
Patricia Perks,Greens,2530,9.7,4.9
John Bell,Single issue,1631,6.2,3.9
Shane Myles,One Nation,1556,6.0,3.3
Codee-Lee Down,National,1425,5.5,1.0
Boyd Davey,Christians,721,2.8,2.8
Cameron Van Veen,SFF,351,1.3,-1.2
tcp
Don Punch,Labor,14901,57.1,-15.4
Heather Reid,Liberal,11178,42.9,15.4
Seat,Butler
fp
Lorna Clarke,Labor,12605,47.2,-30.0
Rikki Baulch,Liberal,6007,22.5,8.9
Matthew Price,Greens,2851,10.7,6.6
Mark Powley,One Nation,2088,7.8,7.8
Ramon Granados,Single issue,2025,7.6,7.6
Vanessa Montgomery,Christians,1151,4.3,2.2
tcp
Lorna Clarke,Labor,17276,64.7,-17.9
Rikki Baulch,Liberal,9433,35.3,17.9
Seat,Cannington
fp
Ron Sao,Labor,13178,54.2,-17.7
Bruce Henderson,Liberal,5882,24.2,11.3
Eric Hayward,Greens,3730,15.4,8.9
Mark Staer,Christians,1507,6.2,1.9
tcp
Ron Sao,Labor,16490,67.9,-12.8
Bruce Henderson,Liberal,7798,32.1,12.8
Seat,Carine
fp
Liam Staltari,Liberal,15027,52.1,9.1
Paul Lilburne,Labor,9096,31.5,-14.5
Lisa Hindmarsh,Greens,3805,13.2,5.0
Sallyann Bone,Christians,927,3.2,3.2
tcp
Liam Staltari,Liberal,16608,57.6,11.4
Paul Lilburne,Labor,12244,42.4,-11.4
Seat,Central Wheatbelt
fp
Lachlan Hunter,National,12417,46.7,1.3
Rebecca Atkinson,Labor,5314,20.0,-14.8
Lance French,Liberal,3928,14.8,5.8
Peter Lines,One Nation,2475,9.3,7.3
Peter Stephen Leam,Greens,1447,5.4,3.2
Les Holten,Christians,1030,3.9,2.2
tcp
Lachlan Hunter,National,19490,73.3,14.1
Rebecca Atkinson,Labor,7096,26.7,-14.1
Seat,Churchlands
fp
Basil Zempilas,Liberal,12199,43.7,0.5
Christine Tonkin,Labor,8049,28.8,-11.4
Lisa Thornton,Independent,3912,14.0,14.0
Caroline McLean,Greens,2838,10.2,-0.2
James Rai,Christians,477,1.7,0.2
Anthony Fels,Independent,268,1.0,1.0
Tian Carrie-Wilson,Fusion,169,0.6,0.6
tcp
Basil Zempilas,Liberal,14271,51.1,2.7
Christine Tonkin,Labor,13635,48.9,-2.7
Seat,Cockburn
fp
David Scaife,Labor,14219,52.2,-17.7
Brunetta Di Russo,Liberal,6750,24.8,7.2
Brendan Graham Sturcke,Greens,3282,12.0,5.9
Christopher Rennick,Single issue,1577,5.8,5.8
Gopi Veloo,Christians,1424,5.2,5.2
tcp
David Scaife,Labor,18479,67.8,-10.2
Brunetta Di Russo,Liberal,8764,32.2,10.2
Seat,Collie-Preston
fp
Jodie Hanns,Labor,11361,40.6,-21.0
Matt Sharp,Liberal,6393,22.9,8.5
Cam Parsons,National,3571,12.8,3.8
Jess Adams,One Nation,2076,7.4,5.4
Robert Mann,Greens,1919,6.9,2.8
Paul Gullan,Single issue,1142,4.1,2.3
Joshua Wray Coffey,SFF,764,2.7,-0.2
Norm Wiese,Christians,736,2.6,2.6
tcp
Jodie Hanns,Labor,15177,54.3,-19.0
Matt Sharp,Liberal,12760,45.7,19.0
Seat,Cottesloe
fp
Sandra Brewer,Liberal,14612,50.7,3.8
Rachel Horncastle,Independent,7771,26.9,26.9
Amy Astill,Labor,3445,11.9,-16.4
Heidi Hardisty,Greens,2376,8.2,-4.4
Jessica Yu,Single issue,636,2.2,2.2
tcp
Sandra Brewer,Liberal,16019,55.6,None
Rachel Horncastle,Independent,12817,44.4,None
Seat,Darling Range
fp
Hugh Jones,Labor,10983,40.9,-16.0
Paul Mansfield,Liberal,6462,24.1,-3.5
Liam John Heerema,One Nation,2174,8.1,6.0
Dominic Firmager,Greens,2151,8.0,3.6
Quintin Kleyn,Christians,1540,5.7,1.1
Morgan Byas,National,1522,5.7,5.7
Robert Peters,Single issue,1331,5.0,5.0
Ian Blevin,SFF,665,2.5,2.5
tcp
Hugh Jones,Labor,14765,55.1,-9.0
Paul Mansfield,Liberal,12046,44.9,9.0
Seat,Dawesville
fp
Lisa Munday,Labor,10900,41.6,-15.4
Owen Mulder,Liberal,10151,38.7,6.0
Wayne Fuller,One Nation,1826,7.0,5.4
Susanne Godden,Greens,1699,6.5,3.3
Sharlene Mavor,Single issue,788,3.0,1.7
Kerry Stewart,Christians,417,1.6,1.6
Sam Walker,SFF,416,1.6,0.1
tcp
Lisa Munday,Labor,13430,51.3,-11.9
Owen Mulder,Liberal,12761,48.7,11.9
Seat,Forrestfield
fp
Stephen Price,Labor,11241,41.3,-24.3
George Tilbury,Liberal,8894,32.7,10.9
River Clarke,Greens,2496,9.2,4.2
Peter Nicholls,One Nation,1283,4.7,2.6
Ian Blayney,National,1078,4.0,4.0
Steve Emmons,Single issue,969,3.6,3.6
Jacob Morrow,Christians,839,3.1,0.5
Chris D. Munro,SFF,407,1.5,1.5
tcp
Stephen Price,Labor,14707,54.1,-18.8
George Tilbury,Liberal,12479,45.9,18.8
Seat,Fremantle
fp
Simone McGurk,Labor,8418,33.6,-21.8
Kate Hulett,Independent,6411,25.6,25.6
Serena Kipling,Liberal,4709,18.8,2.5
Felicity Townsend,Greens,3983,15.9,-4.4
Dave Foley,Single issue,596,2.4,2.4
Natashia Boland,Centre-left,399,1.6,1.6
Peter Watt,Christians,344,1.4,1.4
Nicoletta Raffaelli,SFF,217,0.9,0.9
tcp
Simone McGurk,Labor,12734,50.8,None
Kate Hulett,Independent,12310,49.2,None
Seat,Geraldton
fp
Kirrilee Warr,National,7452,28.4,1.8
Lara Dalton,Labor,6390,24.3,-28.0
Shane van Styn,Independent,5339,20.3,20.3
Tim Milnes,Liberal,4212,16.0,3.3
Madeline Doncon,Greens,994,3.8,1.2
David Van Beek,Single issue,594,2.3,2.3
Eugenie Harris,Christians,571,2.2,2.2
Aaron Horsman,Independent,468,1.8,1.8
Jack Ostle,SFF,241,0.9,-1.1
tcp
Kirrilee Warr,National,16812,64.1,None
Lara Dalton,Labor,9414,35.9,None
Seat,Girrawheen
fp
Meredith Hammat,Labor,12915,52.2,-20.2
Jacques Lombard,Liberal,4458,18.0,7.7
Evan Beasley,Greens,2940,11.9,6.2
Nathan Kirk,Single issue,2229,9.0,9.0
Tracey Purser,Christians,1346,5.4,2.5
Kim Mubarak,Independent,873,3.5,2.7
tcp
Meredith Hammat,Labor,17649,71.3,-12.1
Jacques Lombard,Liberal,7090,28.7,12.1
Seat,Hillarys
fp
Caitlin Collins,Labor,15021,52.5,-8.7
