2004,fed,2001-11-11,2004-10-09
2007,fed,2004-10-10,2007-11-24
2010,fed,2007-11-25,2010-08-21
2013,fed,2010-08-22,2013-09-07
2016,fed,2013-09-08,2016-07-02
2019,fed,2016-07-03,2019-05-18
2022,fed,2019-05-19,2022-05-21
2007,nsw,2003-03-23,2007-03-24
2011,nsw,2007-03-25,2011-03-26
2015,nsw,2011-03-27,2015-03-28
2019,nsw,2015-03-29,2019-03-23
2023,nsw,2019-03-24,2023-03-25
2006,vic,2002-12-01,2006-11-25
2010,vic,2006-11-26,2010-11-27
2014,vic,2010-11-28,2014-11-29
2018,vic,2014-11-30,2018-11-24
2022,vic,2018-11-25,2022-11-26
2006,qld,2004-02-08,2006-09-09
2009,qld,2006-09-10,2009-03-21
2012,qld,2009-03-22,2012-03-24
2015,qld,2012-03-25,2015-01-31
2017,qld,2015-02-01,2017-11-25
2020,qld,2017-11-26,2020-10-31
2008,wa,2005-02-27,2008-09-06
2013,wa,2008-09-07,2013-07-06
2017,wa,2013-07-07,2017-03-11
2021,wa,2017-03-12,2021-03-13
2006,sa,2002-02-09,2006-03-18
2010,sa,2006-03-19,2010-03-20
2014,sa,2010-03-21,2014-03-15
2018,sa,2014-03-16,2018-03-17
2022,sa,2018-03-18,2022-03-19
