MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,SFF FP,DEM FP,OTH FP,GLApp,GLDis,Comments
1985-12-01,Newspoll,,#N/A,44,46,#N/A,#N/A,#N/A,8,2,49,47,
1986-02-01,Newspoll,,#N/A,44,47,#N/A,#N/A,#N/A,7,2,48,44,
1986-04-01,Newspoll,,#N/A,43,52,#N/A,#N/A,#N/A,3,2,49,44,
1986-06-01,Newspoll,,#N/A,47,45,#N/A,#N/A,#N/A,6,2,48,45,
1986-08-01,Newspoll,,#N/A,46,44,#N/A,#N/A,#N/A,8,2,35,20,
1986-10-01,Newspoll,,#N/A,48,41,#N/A,#N/A,#N/A,9,2,38,36,
1986-12-01,Newspoll,,#N/A,50,41,#N/A,#N/A,#N/A,6,3,40,36,
1987-02-01,Newspoll,,#N/A,45,46,#N/A,#N/A,#N/A,5,4,51,32,
1987-04-01,Newspoll,,#N/A,42,50,#N/A,#N/A,#N/A,5,3,58,29,
1987-07-01,Newspoll,,#N/A,42,48,#N/A,#N/A,#N/A,8,2,55,32,
1987-10-01,Newspoll,,#N/A,47,41,#N/A,#N/A,#N/A,8,4,47,40,
1987-11-01,Newspoll,,#N/A,48,39,#N/A,#N/A,#N/A,9,4,46,45,
1987-12-01,Newspoll,,#N/A,45,42,#N/A,#N/A,#N/A,10,3,51,43,
1988-02-20,Newspoll,,#N/A,51,36,#N/A,#N/A,#N/A,8,5,38,51,
1988-03-16,Newspoll,,#N/A,49,36,#N/A,#N/A,#N/A,6,9,43,51,
1988-03-17,Newspoll,,#N/A,46,39,#N/A,#N/A,#N/A,6,9,43,48,
1988-04-01,Newspoll,,#N/A,52,33,#N/A,#N/A,#N/A,8,7,56,18,
1988-06-01,Newspoll,,#N/A,49,37,#N/A,#N/A,#N/A,8,6,52,35,
1988-08-01,Newspoll,,#N/A,50,39,#N/A,#N/A,#N/A,7,4,44,45,
1988-10-01,Newspoll,,#N/A,48,41,#N/A,#N/A,#N/A,7,4,48,43,
1988-12-01,Newspoll,,#N/A,44,44,#N/A,#N/A,#N/A,6,6,44,47,
1989-02-01,Newspoll,,#N/A,43,44,#N/A,#N/A,#N/A,7,6,45,46,
1989-04-01,Newspoll,,#N/A,44,42,#N/A,#N/A,#N/A,7,7,44,47,
