MidDate,Quality Adjustment,Firm,@TPP,LNP FP,ALP FP,GRN FP,SAB FP,DEM FP,FF FP,OTH FP
2005-06-15,3,F2F Morgan,62,33,54,4,#N/A,1,4,4
2005-08-15,3,F2F Morgan,62,32,53,3.5,#N/A,3,4,4.5
2005-08-15,1,Newspoll,54,40,45,4,#N/A,1,1,10
2005-10-15,3,F2F Morgan,62.5,33,50,4.5,#N/A,3.5,3.5,5.5
2005-11-15,1,Newspoll,56,37,46,4,#N/A,1,2,10
2005-12-15,3,F2F Morgan,60.5,32,49,4,#N/A,4,5.5,5.5
2006-01-15,3,F2F Morgan,60.5,33,50.5,4.5,#N/A,3,3.5,5.5
2006-02-01,1,Newspoll,54,39,44,3,#N/A,2,3,10
2006-02-15,3,F2F Morgan,61.5,31.5,50.5,4,#N/A,5,3.5,5.5
2006-02-23,3,F2F Morgan,61.5,30.5,50.5,2,#N/A,2,2,7
2006-03-08,1,Advertiser,55,37.5,45.5,2.3,#N/A,3.4,5.7,5.7
2006-03-15,1,Advertiser,#N/A,31.8,42,6.8,#N/A,1.1,8,9.1
2006-03-16,1,Newspoll,57,34.5,46,4,#N/A,1.5,3,11
2006-11-15,1,Newspoll,58,34,47,4,#N/A,2,3,10
2006-12-15,3,F2F Morgan,66,27,55.5,4,#N/A,3,4,6.5
2007-02-15,1,Newspoll,61,30,48,6,#N/A,4,2,10
2007-05-15,1,Newspoll,57,36,47,5,#N/A,1,2,9
2007-08-15,1,Newspoll,59,34,48,6,#N/A,2,2,8
2007-11-15,1,Newspoll,54,37,42,7,#N/A,2,3,9
2008-02-15,1,Newspoll,53,37,41,8,#N/A,1,1,10
2008-05-15,1,Newspoll,54,36,41,12,#N/A,0,2,9
2008-08-15,1,Newspoll,50,41,38,8,#N/A,1,1,11
2008-11-15,1,Newspoll,54,36,39,13,#N/A,0,1,11
2009-02-15,1,Newspoll,56,35,42,10,#N/A,1,1,11
2009-03-19,3,Advertiser,56,37,43,#N/A,#N/A,#N/A,#N/A,#N/A
2009-08-01,1,Newspoll,56,34,46,11,#N/A,1,1,12
2009-10-14,3,Advertiser,55,38.6,43.2,8,#N/A,#N/A,#N/A,10
2009-11-15,1,Newspoll,53,35,37,12,#N/A,1,1,13
2010-12-08,3,Advertiser,57,35,43,10,#N/A,#N/A,#N/A,12
2010-02-01,1,Newspoll,50,36,39,10,#N/A,#N/A,1,12
2010-02-03,3,Advertiser,52,39,38,9,#N/A,#N/A,#N/A,14
2010-03-12,1,Galaxy,49,42,36,10,#N/A,#N/A,6,5
2010-03-18,0,Newspoll,48,42.5,35.3,9.3,#N/A,0,3.2,9.1
2010-10-13,3,Advertiser,46,46,30,16,#N/A,#N/A,#N/A,8
2011-02-11,3,Advertiser,46,45,31,14,#N/A,#N/A,#N/A,10
2011-03-02,0,Newspoll,44,43,29,14,#N/A,#N/A,#N/A,14
2011-04-18,3,Advertiser,40,50,24,11,#N/A,#N/A,#N/A,15
2011-05-15,1,Newspoll,46,40,30,14,#N/A,#N/A,#N/A,15
2011-06-24,3,Advertiser,42,49,25,6,#N/A,#N/A,#N/A,20
2011-11-16,3,Advertiser,49,43,38,#N/A,#N/A,#N/A,#N/A,#N/A
2011-12-01,1,Newspoll,48,42,34,9,#N/A,#N/A,#N/A,15
2012-02-15,1,Newspoll,48,40,34,11,#N/A,#N/A,#N/A,15
2012-08-15,1,Newspoll,43,44,28,11,#N/A,#N/A,#N/A,17
2012-08-28,3,Advertiser,47,45,33,7,#N/A,#N/A,3,12
2012-11-15,1,Newspoll,49,41,37,9,#N/A,#N/A,#N/A,10
2013-03-12,3,Advertiser,41,54,30,6,#N/A,#N/A,#N/A,10
2013-03-15,1,Newspoll,46,44,33,10,#N/A,#N/A,#N/A,13
2013-05-15,1,Newspoll,44,32,45,10,#N/A,#N/A,#N/A,13
2013-11-12,2,Galaxy,46,44,36,8,#N/A,#N/A,#N/A,12
2013-11-15,1,Newspoll,47,40,33,10,#N/A,#N/A,#N/A,17
2014-02-12,3,Galaxy,45,46,35,7,#N/A,#N/A,#N/A,12
2014-02-24,1,Newspoll,46,44,34,7,#N/A,#N/A,#N/A,15
2014-03-12,0,Newspoll,47.7,41,34,9,#N/A,#N/A,#N/A,16
2014-08-15,1,Newspoll,51,36,34,9,#N/A,#N/A,#N/A,21
2014-09-28,3,SMS Morgan,49.5,40,35.5,10,#N/A,#N/A,4,10.5
2014-10-26,3,SMS Morgan,52.5,35.5,34.5,12.5,#N/A,#N/A,7,10.5
2014-11-15,1,Newspoll,53,33,35,10,#N/A,#N/A,#N/A,22
2014-11-23,3,SMS Morgan,51.5,38.5,35,13,#N/A,#N/A,4.5,9
2015-01-17,3,SMS Morgan,52,39.5,38,10.5,#N/A,#N/A,3.5,8.5
