MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,UAP FP,DEM FP,OTH FP,GLApp,GLDis,Comments,,
1985-12-01,Newspoll,,#N/A,46,48,#N/A,#N/A,#N/A,6,0.5,52,40,,,
1986-02-01,Newspoll,,#N/A,40,54,#N/A,#N/A,#N/A,5,1,62,28,,,
1986-04-01,Newspoll,,#N/A,39,54,#N/A,#N/A,#N/A,6,1,59,28,,,
1986-06-01,Newspoll,,#N/A,43,51,#N/A,#N/A,#N/A,5,1,58,32,,,
1986-08-01,Newspoll,,#N/A,46,48,#N/A,#N/A,#N/A,5,1,57,34,,,
1986-10-01,Newspoll,,#N/A,42,48,#N/A,#N/A,#N/A,8,2,60,33,,,
1986-12-01,Newspoll,,#N/A,40,53,#N/A,#N/A,#N/A,5,2,59,32,,,
1987-02-01,Newspoll,,#N/A,41,51,#N/A,#N/A,#N/A,7,1,61,30,,,
1987-04-01,Newspoll,,#N/A,38,57,#N/A,#N/A,#N/A,4,1,65,28,,,
1987-07-01,Newspoll,,#N/A,40,53,#N/A,#N/A,#N/A,5,2,63,32,,,
1987-10-01,Newspoll,,#N/A,40,50,#N/A,#N/A,#N/A,8,2,58,34,,,
1987-11-01,Newspoll,,#N/A,41,50,#N/A,#N/A,#N/A,7,2,53,39,,,
1988-02-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,9,1,49,43,,,
1988-03-15,F2F Morgan,,#N/A,35,45,#N/A,#N/A,#N/A,,20,,,,,
1988-04-01,Newspoll,,#N/A,43,47,#N/A,#N/A,#N/A,8,2,53,40,,,
1988-04-15,F2F Morgan,,#N/A,37,42,#N/A,#N/A,#N/A,#N/A,21,,,,,
1988-06-01,Newspoll,,#N/A,45,43,#N/A,#N/A,#N/A,9,3,55,39,,,
1988-08-01,Newspoll,,#N/A,43,46,#N/A,#N/A,#N/A,9,2,59,34,,,
1988-09-10,Newspoll,,#N/A,44,47,#N/A,#N/A,#N/A,6,3,59,34,,,
1988-09-17,F2F Morgan,,#N/A,44,50,#N/A,#N/A,#N/A,2,4,,,,,
1988-09-20,Saulwick,,#N/A,42,47,#N/A,#N/A,#N/A,8,3,,,#Date estimated,,
1988-09-24,Newspoll,,#N/A,45,51,#N/A,#N/A,#N/A,3,1,56,37,,,
1988-09-29,Newspoll,,#N/A,43,50,#N/A,#N/A,#N/A,4,3,54,38,,,
1988-12-01,Newspoll,,#N/A,48,44,#N/A,#N/A,#N/A,5,3,56,35,,,
1989-02-01,Newspoll,,#N/A,45.5,45.5,#N/A,#N/A,#N/A,5,4,54,37,,,
1989-04-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,7,3,54,40,,,
1989-06-01,Newspoll,,#N/A,47,43,#N/A,#N/A,#N/A,7,3,51,40,,,
1989-08-01,Newspoll,,#N/A,47,44,#N/A,#N/A,#N/A,7,2,51,41,,,
1989-10-01,Newspoll,,#N/A,43,45,#N/A,#N/A,#N/A,9,3,47,42,,,
1989-12-01,Newspoll,,#N/A,45,42,#N/A,#N/A,#N/A,9,4,43,48,,,
1990-02-01,Newspoll,,#N/A,47,38,#N/A,#N/A,#N/A,13,2,39,54,,,
1990-04-01,Newspoll,,#N/A,47,36,#N/A,#N/A,#N/A,13,4,32,59,,,
1990-06-01,Newspoll,,#N/A,53,31,#N/A,#N/A,#N/A,13,3,25,68,,,
1990-07-01,Newspoll,,#N/A,55,30,#N/A,#N/A,#N/A,12,3,25,66,,,
1990-08-01,Saulwick,,#N/A,56,23,#N/A,#N/A,#N/A,16,5,18,51,,,
1990-09-01,Newspoll,,#N/A,54,29,#N/A,#N/A,#N/A,14,3,33,30,,,
1990-11-01,Newspoll,,#N/A,61,25,#N/A,#N/A,#N/A,11,3,34,45,,,
1990-12-01,Newspoll,,#N/A,55,25,#N/A,#N/A,#N/A,15,5,35,47,,,
1991-01-15,Morgan F2F,,#N/A,57,24,#N/A,#N/A,#N/A,9,10,,,"#""Morgan Gallup""",,
1991-02-01,Newspoll,,#N/A,57,26,#N/A,#N/A,#N/A,12,5,32,55,,,
1991-04-01,Newspoll,,#N/A,60,25,#N/A,#N/A,#N/A,11,4,32,58,,,
1991-04-24,Saulwick,,#N/A,61,20,#N/A,#N/A,#N/A,#N/A,19,,,,,
1991-04-25,Newspoll,,#N/A,57,28,#N/A,#N/A,#N/A,9,6,35,58,,,
1991-05-11,Newspoll,,#N/A,62,25,#N/A,#N/A,#N/A,11,2,36,57,,,
1991-05-27,Newspoll,,#N/A,50,30,#N/A,#N/A,#N/A,12,8,37,56,,,
1991-05-16,Saulwick,,#N/A,53.4,27,#N/A,#N/A,#N/A,#N/A,19.6,27,37,,,
