StartDate,EndDate,Firm,Size,National,NSW,VIC,QLD,WA,SA,WSTAN
#N/A,#N/A,Election,#N/A,6.4,6.02,5.79,7.84,7.61,6.15,6.34
2025-08-11,2025-08-17,ResolvePM,1,9,12,6,9,#N/A,#N/A,10
2025-09-09,2025-09-13,ResolvePM,1,12,16,9,12,#N/A,#N/A,11
2025-10-06,2025-10-12,ResolvePM,1,12,14,10,13,#N/A,#N/A,11
2025-11-03,2025-11-09,ResolvePM,1,12,13,12,11,#N/A,#N/A,13
2025-10-15,2025-10-20,Freshwater,1,10,10,8,18,7,8,#N/A
2025-10-20,2025-11-16,Morgan multi-mode,3,14,14.5,10.5,18,16.5,11.5,#N/A
2025-10-05,2025-11-11,DemosAU,5,17,17,16,20,19,16,#N/A
2025-12-02,2025-12-07,ResolvePM,1,14,17,11,11,#N/A,#N/A,15
2025-11-17,2025-12-14,Morgan multi-mode,3,17,17.5,10,22,17.5,13.5,#N/A
2025-12-17,2025-12-20,ResolvePM,1,16,20,15,14,#N/A,#N/A,13
2025-09-29,2025-11-20,Newspoll3,2,14,14,11,18,14,15,#N/A
2026-01-05,2026-01-06,Fox&Hedgehog,1,21,19,19,25,#N/A,#N/A,23
2026-01-12,2026-01-16,ResolvePM,1,18,20,17,19,#N/A,#N/A,16
2026-01-20,2026-01-27,YouGov2,1,25,26,25,28,18,29,#N/A
2026-01-16,2026-01-18,Freshwater,1,19,21,16,24,10,14,#N/A
2026-01-05,2026-02-01,Morgan multi-mode,3,20.875,25.5,17.5,24,20,20.5,#N/A
