StartDate,EndDate,Firm,Size,National,NSW,VIC,QLD,WA,SA,WSTAN
#N/A,#N/A,Election,#N/A,55.3,55.47,56.46,49.42,55.84,59.2,59.05339671
2025-05-05,2025-06-01,Morgan multi-mode,3,58.5,59,59.5,52.5,58.5,58.5,#N/A
2025-06-30,2025-07-27,Morgan multi-mode,3,57,56.5,57.5,53.5,54.5,62,#N/A
2025-07-13,2025-07-19,ResolvePM,1,56.3428,55.37969697,58.54920792,52.49585859,#N/A,#N/A,58.91070707
2025-08-11,2025-08-17,ResolvePM,1,56.93841584,56.41059406,56.85636364,57.199,#N/A,#N/A,57.9709
2025-07-29,2025-08-24,Morgan multi-mode,3,56.5,55,58,52,56.5,59,#N/A
2025-09-08,2025-09-14,ResolvePM,1,56.96705,54.58410891,55.76856436,57.5595,#N/A,#N/A,61.94811881
2025-07-14,2025-09-11,Newspoll3,2,57,60,58,51,54,55,#N/A
2025-08-25,2025-09-21,Morgan multi-mode,3,55.5,56.5,56.5,48.5,53,58.5,#N/A
2025-10-06,2025-10-12,ResolvePM,1,55.95747525,54.86595,55.6606,59.63628713,#N/A,#N/A,51.8525
2025-09-22,2025-10-19,Morgan multi-mode,3,57,57.5,59.5,50.5,53.5,59.5,#N/A
2025-11-03,2025-11-09,ResolvePM,1,54.27050505,52.99585859,54.60861386,57.7816,#N/A,#N/A,51.1802
2025-10-15,2025-10-20,Freshwater,1,55,52,55,53,68,56,#N/A
2025-10-20,2025-11-16,Morgan multi-mode,3,57,55.5,59.5,51,53,59.5,#N/A
2025-10-08,2025-11-11,DemosAU,5,56,55,58,52,56,60,#N/A
2025-12-02,2025-12-07,ResolvePM,1,55.9009,55.0204902,52.20292929,57.5628,#N/A,#N/A,62.4928
2025-12-17,2025-12-20,ResolvePM,1,53.2028,50.07633663,51.46242424,56.4566,#N/A,#N/A,56.84128713
2025-09-29,2025-11-20,Newspoll3,2,57,58,60,52,56,58,#N/A
2026-01-05,2026-01-06,Fox&Hedgehog,1,53,52,51,49,#N/A,#N/A,59
2026-01-05,2026-01-11,Morgan multi-mode,1,52,54.5,55,46,45.5,50,#N/A
2026-01-12,2026-01-16,ResolvePM,1,51.039,52.69584158,47.86108911,48.80594059,#N/A,#N/A,54.72868687
