State,Division,PPVC,Issue Date,Total Votes
ACT,Bean,Belconnen BEAN PPVC,22/04/2025,98
ACT,Bean,Belconnen BEAN PPVC,23/04/2025,80
ACT,Bean,Belconnen BEAN PPVC,24/04/2025,129
ACT,Bean,Belconnen BEAN PPVC,26/04/2025,119
ACT,Bean,Belconnen BEAN PPVC,28/04/2025,132
ACT,Bean,Belconnen BEAN PPVC,29/04/2025,155
ACT,Bean,Belconnen BEAN PPVC,30/04/2025,141
ACT,Bean,Belconnen BEAN PPVC,1/05/2025,190
ACT,Bean,Belconnen BEAN PPVC,2/05/2025,244
ACT,Bean,City BEAN PPVC,22/04/2025,106
ACT,Bean,City BEAN PPVC,23/04/2025,102
ACT,Bean,City BEAN PPVC,24/04/2025,117
ACT,Bean,City BEAN PPVC,26/04/2025,31
ACT,Bean,City BEAN PPVC,28/04/2025,201
ACT,Bean,City BEAN PPVC,29/04/2025,219
ACT,Bean,City BEAN PPVC,30/04/2025,245
ACT,Bean,City BEAN PPVC,1/05/2025,279
ACT,Bean,City BEAN PPVC,2/05/2025,257
ACT,Bean,City North BEAN PPVC,22/04/2025,15
ACT,Bean,City North BEAN PPVC,23/04/2025,17
ACT,Bean,City North BEAN PPVC,24/04/2025,28
ACT,Bean,City North BEAN PPVC,26/04/2025,28
ACT,Bean,City North BEAN PPVC,28/04/2025,71
ACT,Bean,City North BEAN PPVC,29/04/2025,88
ACT,Bean,City North BEAN PPVC,30/04/2025,72
ACT,Bean,City North BEAN PPVC,1/05/2025,118
ACT,Bean,City North BEAN PPVC,2/05/2025,131
ACT,Bean,Gungahlin BEAN PPVC,22/04/2025,17
ACT,Bean,Gungahlin BEAN PPVC,23/04/2025,18
ACT,Bean,Gungahlin BEAN PPVC,24/04/2025,27
ACT,Bean,Gungahlin BEAN PPVC,26/04/2025,31
ACT,Bean,Gungahlin BEAN PPVC,28/04/2025,34
ACT,Bean,Gungahlin BEAN PPVC,29/04/2025,57
ACT,Bean,Gungahlin BEAN PPVC,30/04/2025,63
ACT,Bean,Gungahlin BEAN PPVC,1/05/2025,57
ACT,Bean,Gungahlin BEAN PPVC,2/05/2025,78
ACT,Bean,Parkes BEAN PPVC,26/04/2025,253
ACT,Bean,Parkes BEAN PPVC,28/04/2025,339
ACT,Bean,Parkes BEAN PPVC,29/04/2025,348
ACT,Bean,Parkes BEAN PPVC,30/04/2025,412
ACT,Bean,Parkes BEAN PPVC,1/05/2025,373
ACT,Bean,Parkes BEAN PPVC,2/05/2025,555
ACT,Bean,Queanbeyan BEAN PPVC,22/04/2025,18
ACT,Bean,Queanbeyan BEAN PPVC,23/04/2025,25
ACT,Bean,Queanbeyan BEAN PPVC,24/04/2025,38
ACT,Bean,Queanbeyan BEAN PPVC,26/04/2025,20
ACT,Bean,Queanbeyan BEAN PPVC,28/04/2025,66
ACT,Bean,Queanbeyan BEAN PPVC,29/04/2025,61
ACT,Bean,Queanbeyan BEAN PPVC,30/04/2025,69
ACT,Bean,Queanbeyan BEAN PPVC,1/05/2025,112
ACT,Bean,Queanbeyan BEAN PPVC,2/05/2025,123
ACT,Bean,Tuggeranong BEAN PPVC,22/04/2025,1733
ACT,Bean,Tuggeranong BEAN PPVC,23/04/2025,1811
ACT,Bean,Tuggeranong BEAN PPVC,24/04/2025,2171
ACT,Bean,Tuggeranong BEAN PPVC,26/04/2025,2122
ACT,Bean,Tuggeranong BEAN PPVC,28/04/2025,2671
ACT,Bean,Tuggeranong BEAN PPVC,29/04/2025,2639
ACT,Bean,Tuggeranong BEAN PPVC,30/04/2025,2710
ACT,Bean,Tuggeranong BEAN PPVC,1/05/2025,2666
ACT,Bean,Tuggeranong BEAN PPVC,2/05/2025,2874
ACT,Bean,Woden BEAN PPVC,22/04/2025,1036
ACT,Bean,Woden BEAN PPVC,23/04/2025,1241
ACT,Bean,Woden BEAN PPVC,24/04/2025,1321
ACT,Bean,Woden BEAN PPVC,26/04/2025,1201
ACT,Bean,Woden BEAN PPVC,28/04/2025,1474
