### FILE: Adelaide.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Adelaide: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"HOOD, Lucy (ALP)",Percentage,"SANDERSON, Rachel (LIB)",Percentage,Total
Adelaide,979,0.63,575,0.37,1554
Adelaide South,1079,0.653,574,0.347,1653
Adelaide West,577,0.684,267,0.316,844
Nailsworth,390,0.564,301,0.436,691
North Adelaide,1134,0.524,1032,0.476,2166
North Adelaide East,436,0.501,434,0.499,870
Prospect,1364,0.616,851,0.384,2215
Prospect North,177,0.663,90,0.337,267
Prospect South,978,0.58,708,0.42,1686
Walkerville,819,0.472,915,0.528,1734
Walkerville North,258,0.423,352,0.577,610
Polling Place Totals,8191,0.573,6099,0.427,14290
Declaration Ballot Papers,4906,0.543,4127,0.457,9033
District Total,13097,0.562,10226,0.438,23323

### FILE: Badcoe.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Badcoe: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"STINSON, Jayne (ALP)",Percentage,"DODD, Jordan (LIB)",Percentage,Total Votes
Ascot Park,250,0.665,126,0.335,376
Black Forest,933,0.707,386,0.293,1319
Black Forest East,670,0.606,435,0.394,1105
Edwardstown,982,0.654,520,0.346,1502
Goodwood,380,0.687,173,0.313,553
Keswick,522,0.704,219,0.296,741
Kurralta Park,1050,0.695,460,0.305,1510
Netley,584,0.6,390,0.4,974
Park Holme South,276,0.665,139,0.335,415
Plympton,941,0.633,545,0.367,1486
Plympton Park,755,0.616,471,0.384,1226
Plympton West,550,0.631,322,0.369,872
Richmond,365,0.689,165,0.311,530
South Plympton,1052,0.669,520,0.331,1572
South Plympton North,443,0.658,230,0.342,673
Polling Place Totals,9753,0.657,5101,0.343,14854
Declaration Ballot Papers,5510,0.633,3198,0.367,8708
District Total,15263,0.648,8299,0.352,23562

### FILE: Black.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Black: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"SPEIRS, David (LIB)",Percentage,"DIGHTON, Alex (ALP)",Percentage,Total Votes
Hallett Cove,866,0.511,828,0.489,1694
Hallett Cove East,1082,0.509,1044,0.491,2126
Hallett Cove South,799,0.589,558,0.411,1357
Marino,843,0.541,716,0.459,1559
Seacliff,760,0.515,716,0.485,1476
Seacombe Heights,297,0.432,390,0.568,687
Seaview Downs,654,0.513,620,0.487,1274
Sheidow Park,1021,0.537,882,0.463,1903
Sheidow Park South,1262,0.517,1181,0.483,2443
South Brighton,541,0.569,409,0.431,950
Polling Place Totals,8125,0.525,7344,0.475,15469
Declaration Ballot Papers,4368,0.532,3847,0.468,8215
District Total,12493,0.527,11191,0.473,23684

### FILE: Bragg.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Bragg: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"CHAPMAN, Vickie (LIB)",Percentage,"SARRE, Rick (ALP)",Percentage,Total Votes
Beaumont,1177,0.625,705,0.375,1882
Burnside,1167,0.577,855,0.423,2022
Glen Osmond,471,0.538,404,0.462,875
Glenunga,1054,0.523,963,0.477,2017
Kensington,401,0.535,348,0.465,749
Linden Park,784,0.553,633,0.447,1417
Magill South,149,0.567,114,0.433,263
Parkside,176,0.51,169,0.49,345
Rose Park,1071,0.582,770,0.418,1841
Tusmore,831,0.56,654,0.44,1485
Wattle Park,1025,0.609,658,0.391,1683
Polling Place Totals,8306,0.57,6273,0.43,14579
Declaration Ballot Papers,5490,0.601,3650,0.399,9140
District Total,13796,0.582,9923,0.418,23719

### FILE: Chaffey.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Chaffey: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"WHETSTONE, Tim (LIB)",Percentage,"SUTTON, Joanne (ALP)",Percentage,Total Votes
Barmera,824,0.635,473,0.365,1297
Berri,902,0.593,619,0.407,1521
Blanchetown,124,0.593,85,0.407,209
Cadell,98,0.613,62,0.388,160
Cambrai,107,0.522,98,0.478,205
Cobdogla,281,0.612,178,0.388,459
Gerard Mobile,2,0.286,5,0.714,7
Glossop,247,0.635,142,0.365,389
Karoonda,226,0.761,71,0.239,297
Loxton,1583,0.744,546,0.256,2129
Loxton North,539,0.7,231,0.3,770
Lyrup,158,0.738,56,0.262,214
Monash,366,0.655,193,0.345,559
Moorook,208,0.689,94,0.311,302
Morgan,208,0.623,126,0.377,334
Nildottie,92,0.754,30,0.246,122
Paringa,572,0.705,239,0.295,811
Purnong,104,0.727,39,0.273,143
Ramco,361,0.677,172,0.323,533
Renmark,1065,0.63,626,0.37,1691
Renmark North,440,0.678,209,0.322,649
Renmark West,490,0.671,240,0.329,730
Sedan,87,0.518,81,0.482,168
Swan Reach,96,0.555,77,0.445,173
Waikerie,984,0.689,445,0.311,1429
Walker Flat,76,0.563,59,0.437,135
Winkie,170,0.694,75,0.306,245
Polling Place Totals,10410,0.664,5271,0.336,15681
Declaration Ballot Papers,4410,0.692,1966,0.308,6376
District Total,14820,0.672,7237,0.328,22057

### FILE: Cheltenham.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Cheltenham: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"SZAKACS, Joe (ALP)",Percentage,"RIX, Shane (LIB)",Percentage,Total Votes
Beverley,588,0.711,239,0.289,827
Cheltenham,1426,0.695,625,0.305,2051
Findon,1038,0.672,507,0.328,1545
Findon West,873,0.688,395,0.312,1268
Kilkenny,370,0.66,191,0.34,561
Mansfield Park,209,0.741,73,0.259,282
Ottoway,104,0.707,43,0.293,147
Pennington,812,0.736,292,0.264,1104
Queenstown,824,0.715,329,0.285,1153
Rosewater,988,0.728,370,0.272,1358
Seaton Park,187,0.617,116,0.383,303
St Clair,1274,0.689,576,0.311,1850
Woodville Gardens,449,0.727,169,0.273,618
Woodville South,878,0.686,402,0.314,1280
Woodville West,825,0.702,350,0.298,1175
Polling Place Totals,10845,0.699,4677,0.301,15522
Declaration Ballot Papers,5349,0.675,2577,0.325,7926
District Total,16194,0.691,7254,0.309,23448

### FILE: Colton.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Colton: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"COWDREY, Matt (LIB)",Percentage,"ALEXANDRIDES, Paul (ALP)",Percentage,Total Votes
Fulham,579,0.533,507,0.467,1086
Grange,867,0.489,906,0.511,1773
Henley Beach,749,0.537,647,0.463,1396
