seat,early_voting_mark_offs,postal_vote_applications
Adelaide,8192,4101
Badcoe,8378,3974
Black,11095,3539
Bragg,9387,4479
Chaffey,8137,3279
Cheltenham,9484,3617
Colton,11213,4509
Croydon,7783,4060
Davenport,9422,3790
Dunstan,7975,4194
Elder,8942,3603
Elizabeth,7140,3665
Enfield,9155,3769
Finniss,12663,4109
Flinders,9902,2974
Florey,9946,3143
Gibson,10698,4289
Giles,13123,1961
Hammond,10244,3304
Hartley,10182,3937
Heysen,8248,3093
Hurtle Vale,11201,4626
Kaurna,9911,3795
Kavel,11151,3254
King,10037,4415
Lee,10280,3833
Light,10384,3488
MacKillop,7767,3809
Mawson,10152,3695
Morialta,10409,3748
Morphett,9329,3880
Mount Gambier,13116,1619
Narungga,9361,3991
Newland,10005,3502
Ngadjuri,8263,4198
Playford,9700,3578
Port Adelaide,7981,3812
Ramsay,9261,4247
Reynell,9860,3713
Schubert,10327,3234
Stuart,7629,3243
Taylor,10127,3683
Torrens,9426,4002
Unley,9963,3854
Waite,9149,3980
West Torrens,8160,3842
Wright,10602,3691
